series.release	series.code	series.description	geoAreaCode	X	Y	ISO3CD	geoAreaName	sliceId	Freq	Units	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	last.5.years.mean	latest.year	latest.value	latest.source	latest.nature
2017.Q2.G.01	GB_XPD_RSDV	Research and development (R&D) expenditure as a proportion of GDP	292	-5.347561686	36.13895036	GIB	Gibraltar	1	ANNUAL	PERCENT																					
2017.Q2.G.01	GB_XPD_RSDV	Research and development (R&D) expenditure as a proportion of GDP	296	-157.5643005	1.768837732	KIR	Kiribati	1	ANNUAL	PERCENT																					
2017.Q2.G.01	GB_XPD_RSDV	Research and development (R&D) expenditure as a proportion of GDP	300	22.58307827	39.47301873	GRC	Greece	1	ANNUAL	PERCENT		0.56		0.55	0.53	0.58	0.56	0.58	0.66	0.63	0.6	0.67	0.7	0.81	0.84		0.755	2014	0.84		C
2017.Q2.G.01	GB_XPD_RSDV	Research and development (R&D) expenditure as a proportion of GDP	304	-41.39371316	74.75625681	GRL	Greenland	1	ANNUAL	PERCENT																					
2017.Q2.G.01	GB_XPD_RSDV	Research and development (R&D) expenditure as a proportion of GDP	308	-61.68248568	12.11238395	GRD	Grenada	1	ANNUAL	PERCENT																					
2017.Q2.G.01	GB_XPD_RSDV	Research and development (R&D) expenditure as a proportion of GDP	312	-61.64762115	16.14416917	GLP	Guadeloupe	1	ANNUAL	PERCENT																					
2017.Q2.G.01	GB_XPD_RSDV	Research and development (R&D) expenditure as a proportion of GDP	316	144.7029305	13.35485404	GUM	Guam	1	ANNUAL	PERCENT																					
2017.Q2.G.01	GB_XPD_RSDV	Research and development (R&D) expenditure as a proportion of GDP	320	-91.2312746	15.00273719	GTM	Guatemala	1	ANNUAL	PERCENT						0.04	0.05	0.07	0.06	0.06	0.04	0.05	0.04				0.045	2012	0.04		C
2017.Q2.G.01	GB_XPD_RSDV	Research and development (R&D) expenditure as a proportion of GDP	324	-11.28173419	11.00210343	GIN	Guinea	1	ANNUAL	PERCENT																					
2017.Q2.G.01	GB_XPD_RSDV	Research and development (R&D) expenditure as a proportion of GDP	328	-58.97322037	4.788012784	GUY	Guyana	1	ANNUAL	PERCENT																					
2017.Q2.G.01	GB_XPD_RSDV	Research and development (R&D) expenditure as a proportion of GDP	332	-72.33640958	18.40426539	HTI	Haiti	1	ANNUAL	PERCENT																					
2017.Q2.G.01	GB_XPD_RSDV	Research and development (R&D) expenditure as a proportion of GDP	334	73.52633626	-53.09106147	HMD	Heard Island and McDonald Islands	1	ANNUAL	PERCENT																					
2017.Q2.G.01	GB_XPD_RSDV	Research and development (R&D) expenditure as a proportion of GDP	336	12.45315803	41.90343751	VAT	Holy See	1	ANNUAL	PERCENT																					
2017.Q2.G.01	GB_XPD_RSDV	Research and development (R&D) expenditure as a proportion of GDP	340	-86.59974381	14.82243161	HND	Honduras	1	ANNUAL	PERCENT	0.04	0.04	0.04	0.04	0.04													2004	0.04		C
2017.Q2.G.01	GB_XPD_RSDV	Research and development (R&D) expenditure as a proportion of GDP	344	114.0266445	22.41749934	HKG	China, Hong Kong Special Administrative Region	1	ANNUAL	PERCENT	0.46	0.54	0.58	0.68	0.72	0.77	0.79	0.75	0.72	0.77	0.75	0.72	0.73	0.73			0.726666666666667	2013	0.73		C
2017.Q2.G.01	GB_XPD_RSDV	Research and development (R&D) expenditure as a proportion of GDP	348	19.41221519	47.1651448	HUN	Hungary	1	ANNUAL	PERCENT	0.79	0.91	0.98	0.92	0.86	0.93	0.99	0.96	0.99	1.14	1.15	1.2	1.27	1.4	1.37		1.31	2014	1.37		C
2017.Q2.G.01	GB_XPD_RSDV	Research and development (R&D) expenditure as a proportion of GDP	352	-19.02116966	64.79134763	ISL	Iceland	1	ANNUAL	PERCENT	2.6	2.88	2.87	2.74		2.7	2.92	2.58	2.54	2.66		2.49		1.87	1.89		2.08333333333333	2014	1.89		C
2017.Q2.G.01	GB_XPD_RSDV	Research and development (R&D) expenditure as a proportion of GDP	356	79.3608464	22.34642074	IND	India	1	ANNUAL	PERCENT	0.74	0.72	0.71	0.71	0.74	0.81	0.8	0.79	0.84	0.82	0.8	0.82					0.82	2011	0.82		C
2017.Q2.G.01	GB_XPD_RSDV	Research and development (R&D) expenditure as a proportion of GDP	360	113.9174	-0.994582204	IDN	Indonesia	1	ANNUAL	PERCENT	0.07	0.05								0.08				0.08			0.08	2013	0.08		C
2017.Q2.G.01	GB_XPD_RSDV	Research and development (R&D) expenditure as a proportion of GDP	364	54.19766348	32.74370885	IRN	Iran (Islamic Republic of)	1	ANNUAL	PERCENT		0.5	0.5	0.59	0.52	0.64	0.58		0.67	0.28	0.28		0.33				0.33	2012	0.33		C
2017.Q2.G.01	GB_XPD_RSDV	Research and development (R&D) expenditure as a proportion of GDP	368	43.76606267	33.05013795	IRQ	Iraq	1	ANNUAL	PERCENT								0.05	0.03	0.05	0.04	0.03			0.04		0.035	2014	0.04		C
2017.Q2.G.01	GB_XPD_RSDV	Research and development (R&D) expenditure as a proportion of GDP	372	-7.121425272	53.25274054	IRL	Ireland	1	ANNUAL	PERCENT	1.09	1.05	1.06	1.12	1.18	1.19	1.2	1.23	1.39	1.61	1.61	1.53	1.56	1.54	1.52		1.5375	2014	1.52		C
2017.Q2.G.01	GB_XPD_RSDV	Research and development (R&D) expenditure as a proportion of GDP	376	34.62277992	31.06164552	ISR	Israel	1	ANNUAL	PERCENT	3.93	4.19	4.13	3.9	3.88	4.04	4.13	4.41	4.33	4.12	3.93	4.01	4.13	4.09	4.11		4.085	2014	4.11		C
2017.Q2.G.01	GB_XPD_RSDV	Research and development (R&D) expenditure as a proportion of GDP	380	12.57022427	42.79917282	ITA	Italy	1	ANNUAL	PERCENT	1.01	1.04	1.08	1.06	1.05	1.05	1.09	1.13	1.16	1.22	1.22	1.21	1.27	1.31	1.29		1.27	2014	1.29		C
2017.Q2.G.01	GB_XPD_RSDV	Research and development (R&D) expenditure as a proportion of GDP	384	-5.552690016	7.62211586	CIV	Côte d'Ivoire	1	ANNUAL	PERCENT																					
