series.release	series.code	series.description	geoAreaCode	X	Y	ISO3CD	geoAreaName	sliceId	Age	Freq	Location	Sex	Units	Bounds	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	last.5.years.mean	latest.year	latest.value	latest.source	latest.nature
2017.Q2.G.01	IT_NET_BBNDN	Fixed Internet broadband Subscriptions per 100 inhabitants	90	160.1584117	-9.622391719	SLB	Solomon Islands	1	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	NUMBER	MP					200	450	650	1000	1500	2000	2522	2430	2132	1884	1335	1420	1840.2	2015	1420	Telecommunications Commission of the Solomon Islands	
2017.Q2.G.01	IT_NET_BBNDN	Fixed Internet broadband Subscriptions per 100 inhabitants	92	-64.63294223	18.42256578	VGB	British Virgin Islands	1	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	NUMBER	MP										7690	6879	7301	7435	6182	6393	7000	6862.2	2015	7000	ITU estimate.	
2017.Q2.G.01	IT_NET_BBNDN	Fixed Internet broadband Subscriptions per 100 inhabitants	96	114.6288563	4.49736984	BRN	Brunei Darussalam	1	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	NUMBER	MP		1896	2757	3838	6262	8126	8964	11617	16891	20029	21699	23185	19849	27557	30259	34425	27055	2015	34425	Authority for Info-communications Technology Industry of Brunei Darussalam	
2017.Q2.G.01	IT_NET_BBNDN	Fixed Internet broadband Subscriptions per 100 inhabitants	100	25.23763153	42.75731323	BGR	Bulgaria	1	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	NUMBER	MP					6651	165469	384672	629076	843552	998035	1124723	1256796	1331746	1421552	1480889	1614541	1421104.8	2015	1614541	Communications Regulation Commission	
2017.Q2.G.01	IT_NET_BBNDN	Fixed Internet broadband Subscriptions per 100 inhabitants	104	96.51752295	21.19332882	MMR	Myanmar	1	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	NUMBER	MP						243	3961	6466	9995	23240	22950	21898				32921	27409.5	2015	32921	Posts and Telecommunications Department, Ministry of communications and Information Technology	
2017.Q2.G.01	IT_NET_BBNDN	Fixed Internet broadband Subscriptions per 100 inhabitants	108	29.89080992	-3.366387428	BDI	Burundi	1	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	NUMBER	MP									160	160	352	497	702	1534	1700	3639	1614.4	2015	3639	Agence de Régulation et de Contrôle des Télécommunications	
2017.Q2.G.01	IT_NET_BBNDN	Fixed Internet broadband Subscriptions per 100 inhabitants	112	28.04940161	53.54193075	BLR	Belarus	1	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	NUMBER	MP			20	123	750	1564	11419	169806	477980	1092290	1666631	2098068	2531842	2785842	2684347	2903497	2600719.2	2015	2903497		
2017.Q2.G.01	IT_NET_BBNDN	Fixed Internet broadband Subscriptions per 100 inhabitants	116	104.922836	12.71163737	KHM	Cambodia	1	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	NUMBER	MP			50	419	780	1000	2900	8450	16594	30000	35666	22000	29734	32648	66111	83504	46799.4	2015	83504	Telecommunication Regulator of Cambodia (TRC)	
2017.Q2.G.01	IT_NET_BBNDN	Fixed Internet broadband Subscriptions per 100 inhabitants	120	12.7419827	5.692387031	CMR	Cameroon	1	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	NUMBER	MP						202	421	640	860	900	5954	10713	13846	16900	16248	16000	14741.4	2015	16000	ITU estimate.	
2017.Q2.G.01	IT_NET_BBNDN	Fixed Internet broadband Subscriptions per 100 inhabitants	124	-101.6575058	57.72360191	CAN	Canada	1	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	NUMBER	MP	1410932	2836000	3515000	4513000	5416000	7004000	8044000	9075322	9842303	10290000	10817103	11282579	11689914	12094461	12568000	13030000	12132990.8	2015	13030000	Canadian Radio-television and Telecommunications Commission	
