series.release	series.code	series.description	geoAreaCode	X	Y	ISO3CD	geoAreaName	sliceId	Freq	Units	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	last.5.years.mean	latest.year	latest.value	latest.source	latest.nature
2017.Q2.G.01	DC_TOF_TRDDBML	Total official flows disbursed for Aid for Trade, by recipient	276	10.3806066	51.08862743	DEU	Germany	1	ANNUAL	CON_USD															
2017.Q2.G.01	DC_TOF_TRDDBML	Total official flows disbursed for Aid for Trade, by recipient	288	-1.205623522	7.964825185	GHA	Ghana	1	ANNUAL	CON_USD	291.192105	295.866093	343.738167	385.908287	523.576869	649.659302	587.592002	451.346262	498.809442	465.993245	530.6800506	2015	465.993245		
2017.Q2.G.01	DC_TOF_TRDDBML	Total official flows disbursed for Aid for Trade, by recipient	292	-5.347561686	36.13895036	GIB	Gibraltar	1	ANNUAL	CON_USD															
2017.Q2.G.01	DC_TOF_TRDDBML	Total official flows disbursed for Aid for Trade, by recipient	296	-157.5643005	1.768837732	KIR	Kiribati	1	ANNUAL	CON_USD	8.892726	11.156911	5.55369	5.763091	3.333379	11.842009	23.727848	27.92727	36.526485	25.754405	25.1556034	2015	25.754405		
2017.Q2.G.01	DC_TOF_TRDDBML	Total official flows disbursed for Aid for Trade, by recipient	300	22.58307827	39.47301873	GRC	Greece	1	ANNUAL	CON_USD															
2017.Q2.G.01	DC_TOF_TRDDBML	Total official flows disbursed for Aid for Trade, by recipient	304	-41.39371316	74.75625681	GRL	Greenland	1	ANNUAL	CON_USD															
2017.Q2.G.01	DC_TOF_TRDDBML	Total official flows disbursed for Aid for Trade, by recipient	308	-61.68248568	12.11238395	GRD	Grenada	1	ANNUAL	CON_USD	0.580611	0.581307	1.576522	2.286657	7.873961	6.632089	0.434025	3.715318	8.462708	12.347508	6.3183296	2015	12.347508		
2017.Q2.G.01	DC_TOF_TRDDBML	Total official flows disbursed for Aid for Trade, by recipient	312	-61.64762115	16.14416917	GLP	Guadeloupe	1	ANNUAL	CON_USD															
2017.Q2.G.01	DC_TOF_TRDDBML	Total official flows disbursed for Aid for Trade, by recipient	316	144.7029305	13.35485404	GUM	Guam	1	ANNUAL	CON_USD															
2017.Q2.G.01	DC_TOF_TRDDBML	Total official flows disbursed for Aid for Trade, by recipient	320	-91.2312746	15.00273719	GTM	Guatemala	1	ANNUAL	CON_USD	19.102049	24.063302	29.786364	51.817071	71.191185	43.729461	61.016828	129.992445	55.246437	55.476907	69.0924156	2015	55.476907		
2017.Q2.G.01	DC_TOF_TRDDBML	Total official flows disbursed for Aid for Trade, by recipient	324	-11.28173419	11.00210343	GIN	Guinea	1	ANNUAL	CON_USD	28.219608	37.295777	54.18422	49.558297	56.530554	63.949091	64.261522	75.670388	55.942571	53.114113	62.587537	2015	53.114113		
2017.Q2.G.01	DC_TOF_TRDDBML	Total official flows disbursed for Aid for Trade, by recipient	328	-58.97322037	4.788012784	GUY	Guyana	1	ANNUAL	CON_USD	5.633275	9.270414	32.144458	55.211631	55.739247	44.998902	55.700249	50.900629	23.710421	4.564135	35.9748672	2015	4.564135		
2017.Q2.G.01	DC_TOF_TRDDBML	Total official flows disbursed for Aid for Trade, by recipient	332	-72.33640958	18.40426539	HTI	Haiti	1	ANNUAL	CON_USD	30.602337	52.037607	74.624152	152.34751	286.354377	293.96369	261.643504	229.829339	235.675659	249.792342	254.1809068	2015	249.792342		
2017.Q2.G.01	DC_TOF_TRDDBML	Total official flows disbursed for Aid for Trade, by recipient	334	73.52633626	-53.09106147	HMD	Heard Island and McDonald Islands	1	ANNUAL	CON_USD															
2017.Q2.G.01	DC_TOF_TRDDBML	Total official flows disbursed for Aid for Trade, by recipient	336	12.45315803	41.90343751	VAT	Holy See	1	ANNUAL	CON_USD															
2017.Q2.G.01	DC_TOF_TRDDBML	Total official flows disbursed for Aid for Trade, by recipient	340	-86.59974381	14.82243161	HND	Honduras	1	ANNUAL	CON_USD	63.952407	54.258946	96.928014	154.492548	218.433441	154.345936	172.642912	241.800069	257.745596	144.013328	194.1095682	2015	144.013328		
2017.Q2.G.01	DC_TOF_TRDDBML	Total official flows disbursed for Aid for Trade, by recipient	344	114.0266445	22.41749934	HKG	China, Hong Kong Special Administrative Region	1	ANNUAL	CON_USD															
2017.Q2.G.01	DC_TOF_TRDDBML	Total official flows disbursed for Aid for Trade, by recipient	348	19.41221519	47.1651448	HUN	Hungary	1	ANNUAL	CON_USD															
2017.Q2.G.01	DC_TOF_TRDDBML	Total official flows disbursed for Aid for Trade, by recipient	352	-19.02116966	64.79134763	ISL	Iceland	1	ANNUAL	CON_USD															
