series.release	series.code	series.description	geoAreaCode	X	Y	ISO3CD	geoAreaName	sliceId	Freq	Units	1990	2000	2005	2010	2015	latest.year	latest.value	latest.source	latest.nature
2017.Q2.G.01	AG_LND_FRSTN	Forest area as a proportion of total land area	170	-73.07446751	3.888209046	COL	Colombia	1	ANNUAL	HECTARES	64417	61798.44	60201.36	58635.32	58501.74	2015	58501.74	Official submission of country data to FAO Global Forest Resources Assessment	C
2017.Q2.G.01	AG_LND_FRSTN	Forest area as a proportion of total land area	174	43.34234565	-11.66121732	COM	Comoros	1	ANNUAL	HECTARES	49	45	42	39	37	2015	37	FAO estimates	E
2017.Q2.G.01	AG_LND_FRSTN	Forest area as a proportion of total land area	175	45.14015057	-12.82217691	MYT	Mayotte	1	ANNUAL	HECTARES	10.67	8.73	7.76	6.79	5.82	2015	5.82	FAO estimates	E
2017.Q2.G.01	AG_LND_FRSTN	Forest area as a proportion of total land area	178	15.22052612	-0.840544119	COG	Congo	1	ANNUAL	HECTARES	22726	22556	22471	22411	22334	2015	22334	Official submission of country data to FAO Global Forest Resources Assessment	C
2017.Q2.G.01	AG_LND_FRSTN	Forest area as a proportion of total land area	180	23.65496507	-2.877154732	COD	Democratic Republic of the Congo	1	ANNUAL	HECTARES	160363	157249	155692	154135	152578	2015	152578	Official submission of country data to FAO Global Forest Resources Assessment	C
2017.Q2.G.01	AG_LND_FRSTN	Forest area as a proportion of total land area	184	-159.7711391	-21.22696458	COK	Cook Islands	1	ANNUAL	HECTARES	14.4	15.1	15.1	15.1	15.1	2015	15.1	Official submission of country data to FAO Global Forest Resources Assessment	C
2017.Q2.G.01	AG_LND_FRSTN	Forest area as a proportion of total land area	188	-84.19712782	9.970998683	CRI	Costa Rica	1	ANNUAL	HECTARES	2564	2376	2491	2605	2756	2015	2756	Official submission of country data to FAO Global Forest Resources Assessment	C
2017.Q2.G.01	AG_LND_FRSTN	Forest area as a proportion of total land area	191	17.95874553	45.45172212	HRV	Croatia	1	ANNUAL	HECTARES	1850	1885	1903	1920	1922	2015	1922	Official submission of country data to FAO Global Forest Resources Assessment	C
2017.Q2.G.01	AG_LND_FRSTN	Forest area as a proportion of total land area	192	-79.54460144	22.10030366	CUB	Cuba	1	ANNUAL	HECTARES	2058	2435	2697	2932	3200	2015	3200	Official submission of country data to FAO Global Forest Resources Assessment	C
2017.Q2.G.01	AG_LND_FRSTN	Forest area as a proportion of total land area	196	33.22285964	35.05659437	CYP	Cyprus	1	ANNUAL	HECTARES	161.11	171.61	172.851	172.841	172.7	2015	172.7	Official submission of country data to FAO Global Forest Resources Assessment	C
2017.Q2.G.01	AG_LND_FRSTN	Forest area as a proportion of total land area	203	15.33151382	49.73913871	CZE	Czechia	1	ANNUAL	HECTARES	2629	2637	2647	2657	2667	2015	2667	Official submission of country data to FAO Global Forest Resources Assessment	C
2017.Q2.G.01	AG_LND_FRSTN	Forest area as a proportion of total land area	204	2.339933594	9.65401646	BEN	Benin	1	ANNUAL	HECTARES	5761	5061	4811	4561	4311	2015	4311	Official submission of country data to FAO Global Forest Resources Assessment	C
2017.Q2.G.01	AG_LND_FRSTN	Forest area as a proportion of total land area	208	9.326571283	56.03829721	DNK	Denmark	1	ANNUAL	HECTARES	543.2	585.5	557.7	587.1	612.2	2015	612.2	Official submission of country data to FAO Global Forest Resources Assessment	C
2017.Q2.G.01	AG_LND_FRSTN	Forest area as a proportion of total land area	212	-61.3493756	15.43391378	DMA	Dominica	1	ANNUAL	HECTARES	50	47.33	45.99	44.66	43.33	2015	43.33	FAO estimates	E
2017.Q2.G.01	AG_LND_FRSTN	Forest area as a proportion of total land area	214	-70.49847576	18.89832088	DOM	Dominican Republic	1	ANNUAL	HECTARES	1105	1486	1652	1817	1983	2015	1983	Official submission of country data to FAO Global Forest Resources Assessment	C
2017.Q2.G.01	AG_LND_FRSTN	Forest area as a proportion of total land area	218	-78.37005241	-1.447785891	ECU	Ecuador	1	ANNUAL	HECTARES	14630.847	13728.916	13335.236	12941.556	12547.876	2015	12547.876	Official submission of country data to FAO Global Forest Resources Assessment	C
2017.Q2.G.01	AG_LND_FRSTN	Forest area as a proportion of total land area	222	-88.86862995	13.73603564	SLV	El Salvador	1	ANNUAL	HECTARES	377	332	309	287	265	2015	265	Official submission of country data to FAO Global Forest Resources Assessment	C
2017.Q2.G.01	AG_LND_FRSTN	Forest area as a proportion of total land area	226	10.46535826	1.565792376	GNQ	Equatorial Guinea	1	ANNUAL	HECTARES	1860	1743	1685	1626	1568	2015	1568	Official submission of country data to FAO Global Forest Resources Assessment	C
2017.Q2.G.01	AG_LND_FRSTN	Forest area as a proportion of total land area	231	39.63505296	8.631223181	ETH	Ethiopia	1	ANNUAL	HECTARES	15114	13705	13000	12296	12499	2015	12499	Official submission of country data to FAO Global Forest Resources Assessment	C
2017.Q2.G.01	AG_LND_FRSTN	Forest area as a proportion of total land area	232	38.11074289	16.12894644	ERI	Eritrea	1	ANNUAL	HECTARES	1621	1576	1554	1532	1510	2015	1510	FAO estimates	E
2017.Q2.G.01	AG_LND_FRSTN	Forest area as a proportion of total land area	233	25.84093481	58.68487172	EST	Estonia	1	ANNUAL	HECTARES	2206	2243	2252	2234	2232	2015	2232	Official submission of country data to FAO Global Forest Resources Assessment	C
2017.Q2.G.01	AG_LND_FRSTN	Forest area as a proportion of total land area	234	-7.122044325	62.21228119	FRO	Faroe Islands	1	ANNUAL	HECTARES	0.083	0.083	0.083	0.083	0.083	2015	0.083	FAO estimates	E
2017.Q2.G.01	AG_LND_FRSTN	Forest area as a proportion of total land area	238	-58.75246778	-51.74562601	FLK	Falkland Islands (Malvinas)	1	ANNUAL	HECTARES	0	0	0	0	0	2015	0	FAO estimates	E
2017.Q2.G.01	AG_LND_FRSTN	Forest area as a proportion of total land area	239	-36.90662765	-54.20736749	SGS	South Georgia and the South Sandwich Islands	1	ANNUAL	HECTARES									
2017.Q2.G.01	AG_LND_FRSTN	Forest area as a proportion of total land area	242	177.9660884	-17.83301566	FJI	Fiji	1	ANNUAL	HECTARES	952.9	980.44	997.26	992.896	1017.195	2015	1017.195	Official submission of country data to FAO Global Forest Resources Assessment	C
2017.Q2.G.01	AG_LND_FRSTN	Forest area as a proportion of total land area	246	23.308447	61.91586738	FIN	Finland	1	ANNUAL	HECTARES	21875	22445	22143	22218	22218	2015	22218	Official submission of country data to FAO Global Forest Resources Assessment	C
2017.Q2.G.01	AG_LND_FRSTN	Forest area as a proportion of total land area	248	19.80945969	60.1544901	ALA	Åland Islands	1	ANNUAL	HECTARES									
2017.Q2.G.01	AG_LND_FRSTN	Forest area as a proportion of total land area	250	2.457288129	46.62660861	FRA	France	1	ANNUAL	HECTARES	14436	15289	15861	16424	16989	2015	16989	Official submission of country data to FAO Global Forest Resources Assessment	C
2017.Q2.G.01	AG_LND_FRSTN	Forest area as a proportion of total land area	254	-53.23619089	3.922673437	GUF	French Guiana	1	ANNUAL	HECTARES	8218	8182	8168	8138	8130	2015	8130	Official submission of country data to FAO Global Forest Resources Assessment	C
2017.Q2.G.01	AG_LND_FRSTN	Forest area as a proportion of total land area	258	-149.4052367	-17.67709294	PYF	French Polynesia	1	ANNUAL	HECTARES	55	105	130	155	155	2015	155	FAO estimates	E
2017.Q2.G.01	AG_LND_FRSTN	Forest area as a proportion of total land area	260	69.64849091	-49.6068576	ATF	French Southern Territories	1	ANNUAL	HECTARES									
2017.Q2.G.01	AG_LND_FRSTN	Forest area as a proportion of total land area	262	42.18274707	11.56004161	DJI	Djibouti	1	ANNUAL	HECTARES	5.6	5.6	5.6	5.6	5.6	2015	5.6	FAO estimates	E
2017.Q2.G.01	AG_LND_FRSTN	Forest area as a proportion of total land area	266	11.78727747	-0.60687619	GAB	Gabon	1	ANNUAL	HECTARES	22000	22000	22000	22000	23000	2015	23000	Official submission of country data to FAO Global Forest Resources Assessment	C
2017.Q2.G.01	AG_LND_FRSTN	Forest area as a proportion of total land area	268	43.3713615	42.04813028	GEO	Georgia	1	ANNUAL	HECTARES	2752.3	2760.6	2772.5	2822.4	2822.4	2015	2822.4	Official submission of country data to FAO Global Forest Resources Assessment	C
2017.Q2.G.01	AG_LND_FRSTN	Forest area as a proportion of total land area	270	-15.39944785	13.45295927	GMB	Gambia	1	ANNUAL	HECTARES	442	461	471	480	488	2015	488	Official submission of country data to FAO Global Forest Resources Assessment	C
2017.Q2.G.01	AG_LND_FRSTN	Forest area as a proportion of total land area	275	35.25694122	31.94347933	PSE	State of Palestine	1	ANNUAL	HECTARES	9.08	9.08	9.17	9.17	9.17	2015	9.17	FAO estimates	E
2017.Q2.G.01	AG_LND_FRSTN	Forest area as a proportion of total land area	276	10.3806066	51.08862743	DEU	Germany	1	ANNUAL	HECTARES	11300	11354	11384	11409	11419	2015	11419	Official submission of country data to FAO Global Forest Resources Assessment	C
