series.release	series.code	series.description	geoAreaCode	X	Y	ISO3CD	geoAreaName	sliceId	Freq	Units	2015	latest.year	latest.value	latest.source	latest.nature
2017.Q2.G.01	AG_LND_TOTL	Forest area as a proportion of total land area	156	104.1403375	32.30955217	CHN	China	1	ANNUAL	METONS	942530	2015	942530	Official submission of country data to FAO Global Forest Resources Assessment	C
2017.Q2.G.01	AG_LND_TOTL	Forest area as a proportion of total land area	162	105.6426067	-10.4882473	CXR	Christmas Island	1	ANNUAL	METONS					
2017.Q2.G.01	AG_LND_TOTL	Forest area as a proportion of total land area	166	96.82633757	-12.18600682	CCK	Cocos (Keeling) Islands	1	ANNUAL	METONS					
2017.Q2.G.01	AG_LND_TOTL	Forest area as a proportion of total land area	170	-73.07446751	3.888209046	COL	Colombia	1	ANNUAL	METONS	110950	2015	110950	Official submission of country data to FAO Global Forest Resources Assessment	C
2017.Q2.G.01	AG_LND_TOTL	Forest area as a proportion of total land area	174	43.34234565	-11.66121732	COM	Comoros	1	ANNUAL	METONS	186	2015	186	FAO estimates	E
2017.Q2.G.01	AG_LND_TOTL	Forest area as a proportion of total land area	175	45.14015057	-12.82217691	MYT	Mayotte	1	ANNUAL	METONS	37.5	2015	37.5	FAO estimates	E
2017.Q2.G.01	AG_LND_TOTL	Forest area as a proportion of total land area	178	15.22052612	-0.840544119	COG	Congo	1	ANNUAL	METONS	34150	2015	34150	Official submission of country data to FAO Global Forest Resources Assessment	C
2017.Q2.G.01	AG_LND_TOTL	Forest area as a proportion of total land area	180	23.65496507	-2.877154732	COD	Democratic Republic of the Congo	1	ANNUAL	METONS	226705	2015	226705	Official submission of country data to FAO Global Forest Resources Assessment	C
2017.Q2.G.01	AG_LND_TOTL	Forest area as a proportion of total land area	184	-159.7711391	-21.22696458	COK	Cook Islands	1	ANNUAL	METONS	23.6	2015	23.6	Official submission of country data to FAO Global Forest Resources Assessment	C
2017.Q2.G.01	AG_LND_TOTL	Forest area as a proportion of total land area	188	-84.19712782	9.970998683	CRI	Costa Rica	1	ANNUAL	METONS	5106	2015	5106	Official submission of country data to FAO Global Forest Resources Assessment	C
2017.Q2.G.01	AG_LND_TOTL	Forest area as a proportion of total land area	191	17.95874553	45.45172212	HRV	Croatia	1	ANNUAL	METONS	5596	2015	5596	Official submission of country data to FAO Global Forest Resources Assessment	C
2017.Q2.G.01	AG_LND_TOTL	Forest area as a proportion of total land area	192	-79.54460144	22.10030366	CUB	Cuba	1	ANNUAL	METONS	10644	2015	10644	Official submission of country data to FAO Global Forest Resources Assessment	C
2017.Q2.G.01	AG_LND_TOTL	Forest area as a proportion of total land area	196	33.22285964	35.05659437	CYP	Cyprus	1	ANNUAL	METONS	924.15	2015	924.15	Official submission of country data to FAO Global Forest Resources Assessment	C
2017.Q2.G.01	AG_LND_TOTL	Forest area as a proportion of total land area	203	15.33151382	49.73913871	CZE	Czechia	1	ANNUAL	METONS	7722	2015	7722	Official submission of country data to FAO Global Forest Resources Assessment	C
2017.Q2.G.01	AG_LND_TOTL	Forest area as a proportion of total land area	204	2.339933594	9.65401646	BEN	Benin	1	ANNUAL	METONS	11062	2015	11062	Official submission of country data to FAO Global Forest Resources Assessment	C
2017.Q2.G.01	AG_LND_TOTL	Forest area as a proportion of total land area	208	9.326571283	56.03829721	DNK	Denmark	1	ANNUAL	METONS	4243	2015	4243	Official submission of country data to FAO Global Forest Resources Assessment	C
2017.Q2.G.01	AG_LND_TOTL	Forest area as a proportion of total land area	212	-61.3493756	15.43391378	DMA	Dominica	1	ANNUAL	METONS	75	2015	75	FAO estimates	E
2017.Q2.G.01	AG_LND_TOTL	Forest area as a proportion of total land area	214	-70.49847576	18.89832088	DOM	Dominican Republic	1	ANNUAL	METONS	4832	2015	4832	Official submission of country data to FAO Global Forest Resources Assessment	C
2017.Q2.G.01	AG_LND_TOTL	Forest area as a proportion of total land area	218	-78.37005241	-1.447785891	ECU	Ecuador	1	ANNUAL	METONS	24836	2015	24836	Official submission of country data to FAO Global Forest Resources Assessment	C
2017.Q2.G.01	AG_LND_TOTL	Forest area as a proportion of total land area	222	-88.86862995	13.73603564	SLV	El Salvador	1	ANNUAL	METONS	2072	2015	2072	Official submission of country data to FAO Global Forest Resources Assessment	C
2017.Q2.G.01	AG_LND_TOTL	Forest area as a proportion of total land area	226	10.46535826	1.565792376	GNQ	Equatorial Guinea	1	ANNUAL	METONS	2805	2015	2805	Official submission of country data to FAO Global Forest Resources Assessment	C
2017.Q2.G.01	AG_LND_TOTL	Forest area as a proportion of total land area	231	39.63505296	8.631223181	ETH	Ethiopia	1	ANNUAL	METONS	109631	2015	109631	Official submission of country data to FAO Global Forest Resources Assessment	C
2017.Q2.G.01	AG_LND_TOTL	Forest area as a proportion of total land area	232	38.11074289	16.12894644	ERI	Eritrea	1	ANNUAL	METONS	10100	2015	10100	FAO estimates	E
2017.Q2.G.01	AG_LND_TOTL	Forest area as a proportion of total land area	233	25.84093481	58.68487172	EST	Estonia	1	ANNUAL	METONS	4239	2015	4239	Official submission of country data to FAO Global Forest Resources Assessment	C
2017.Q2.G.01	AG_LND_TOTL	Forest area as a proportion of total land area	234	-7.122044325	62.21228119	FRO	Faroe Islands	1	ANNUAL	METONS	138.7	2015	138.7	FAO estimates	E
2017.Q2.G.01	AG_LND_TOTL	Forest area as a proportion of total land area	238	-58.75246778	-51.74562601	FLK	Falkland Islands (Malvinas)	1	ANNUAL	METONS	1217	2015	1217	FAO estimates	E
2017.Q2.G.01	AG_LND_TOTL	Forest area as a proportion of total land area	239	-36.90662765	-54.20736749	SGS	South Georgia and the South Sandwich Islands	1	ANNUAL	METONS					
2017.Q2.G.01	AG_LND_TOTL	Forest area as a proportion of total land area	242	177.9660884	-17.83301566	FJI	Fiji	1	ANNUAL	METONS	1827	2015	1827	Official submission of country data to FAO Global Forest Resources Assessment	C
2017.Q2.G.01	AG_LND_TOTL	Forest area as a proportion of total land area	246	23.308447	61.91586738	FIN	Finland	1	ANNUAL	METONS	30390	2015	30390	Official submission of country data to FAO Global Forest Resources Assessment	C
2017.Q2.G.01	AG_LND_TOTL	Forest area as a proportion of total land area	248	19.80945969	60.1544901	ALA	Åland Islands	1	ANNUAL	METONS					
2017.Q2.G.01	AG_LND_TOTL	Forest area as a proportion of total land area	250	2.457288129	46.62660861	FRA	France	1	ANNUAL	METONS	54766	2015	54766	Official submission of country data to FAO Global Forest Resources Assessment	C
2017.Q2.G.01	AG_LND_TOTL	Forest area as a proportion of total land area	254	-53.23619089	3.922673437	GUF	French Guiana	1	ANNUAL	METONS	8242	2015	8242	Official submission of country data to FAO Global Forest Resources Assessment	C
2017.Q2.G.01	AG_LND_TOTL	Forest area as a proportion of total land area	258	-149.4052367	-17.67709294	PYF	French Polynesia	1	ANNUAL	METONS	366	2015	366	FAO estimates	E
2017.Q2.G.01	AG_LND_TOTL	Forest area as a proportion of total land area	260	69.64849091	-49.6068576	ATF	French Southern Territories	1	ANNUAL	METONS					
2017.Q2.G.01	AG_LND_TOTL	Forest area as a proportion of total land area	262	42.18274707	11.56004161	DJI	Djibouti	1	ANNUAL	METONS	2317.6	2015	2317.6	FAO estimates	E
2017.Q2.G.01	AG_LND_TOTL	Forest area as a proportion of total land area	266	11.78727747	-0.60687619	GAB	Gabon	1	ANNUAL	METONS	25767	2015	25767	Official submission of country data to FAO Global Forest Resources Assessment	C
2017.Q2.G.01	AG_LND_TOTL	Forest area as a proportion of total land area	268	43.3713615	42.04813028	GEO	Georgia	1	ANNUAL	METONS	6949	2015	6949	Official submission of country data to FAO Global Forest Resources Assessment	C
2017.Q2.G.01	AG_LND_TOTL	Forest area as a proportion of total land area	270	-15.39944785	13.45295927	GMB	Gambia	1	ANNUAL	METONS	1000	2015	1000	Official submission of country data to FAO Global Forest Resources Assessment	C
2017.Q2.G.01	AG_LND_TOTL	Forest area as a proportion of total land area	275	35.25694122	31.94347933	PSE	State of Palestine	1	ANNUAL	METONS	602	2015	602	FAO estimates	E
2017.Q2.G.01	AG_LND_TOTL	Forest area as a proportion of total land area	276	10.3806066	51.08862743	DEU	Germany	1	ANNUAL	METONS	34861	2015	34861	Official submission of country data to FAO Global Forest Resources Assessment	C
2017.Q2.G.01	AG_LND_TOTL	Forest area as a proportion of total land area	288	-1.205623522	7.964825185	GHA	Ghana	1	ANNUAL	METONS	22754	2015	22754	Official submission of country data to FAO Global Forest Resources Assessment	C
2017.Q2.G.01	AG_LND_TOTL	Forest area as a proportion of total land area	292	-5.347561686	36.13895036	GIB	Gibraltar	1	ANNUAL	METONS	1	2015	1	FAO estimates	E
2017.Q2.G.01	AG_LND_TOTL	Forest area as a proportion of total land area	296	-157.5643005	1.768837732	KIR	Kiribati	1	ANNUAL	METONS	81	2015	81	FAO estimates	E
2017.Q2.G.01	AG_LND_TOTL	Forest area as a proportion of total land area	300	22.58307827	39.47301873	GRC	Greece	1	ANNUAL	METONS	12890	2015	12890	FAO estimates	E
2017.Q2.G.01	AG_LND_TOTL	Forest area as a proportion of total land area	304	-41.39371316	74.75625681	GRL	Greenland	1	ANNUAL	METONS	41045	2015	41045	FAO estimates	E
2017.Q2.G.01	AG_LND_TOTL	Forest area as a proportion of total land area	308	-61.68248568	12.11238395	GRD	Grenada	1	ANNUAL	METONS	34	2015	34	FAO estimates	E
2017.Q2.G.01	AG_LND_TOTL	Forest area as a proportion of total land area	312	-61.64762115	16.14416917	GLP	Guadeloupe	1	ANNUAL	METONS	168.1	2015	168.1	Official submission of country data to FAO Global Forest Resources Assessment	C
2017.Q2.G.01	AG_LND_TOTL	Forest area as a proportion of total land area	316	144.7029305	13.35485404	GUM	Guam	1	ANNUAL	METONS	54	2015	54	FAO estimates	E
2017.Q2.G.01	AG_LND_TOTL	Forest area as a proportion of total land area	320	-91.2312746	15.00273719	GTM	Guatemala	1	ANNUAL	METONS	10716	2015	10716	Official submission of country data to FAO Global Forest Resources Assessment	C
2017.Q2.G.01	AG_LND_TOTL	Forest area as a proportion of total land area	324	-11.28173419	11.00210343	GIN	Guinea	1	ANNUAL	METONS	24572	2015	24572	Official submission of country data to FAO Global Forest Resources Assessment	C
2017.Q2.G.01	AG_LND_TOTL	Forest area as a proportion of total land area	328	-58.97322037	4.788012784	GUY	Guyana	1	ANNUAL	METONS	19685	2015	19685	Official submission of country data to FAO Global Forest Resources Assessment	C
2017.Q2.G.01	AG_LND_TOTL	Forest area as a proportion of total land area	332	-72.33640958	18.40426539	HTI	Haiti	1	ANNUAL	METONS	2756	2015	2756	Official submission of country data to FAO Global Forest Resources Assessment	C
2017.Q2.G.01	AG_LND_TOTL	Forest area as a proportion of total land area	334	73.52633626	-53.09106147	HMD	Heard Island and McDonald Islands	1	ANNUAL	METONS					
2017.Q2.G.01	AG_LND_TOTL	Forest area as a proportion of total land area	336	12.45315803	41.90343751	VAT	Holy See	1	ANNUAL	METONS	0.044	2015	0.044	FAO estimates	E
2017.Q2.G.01	AG_LND_TOTL	Forest area as a proportion of total land area	340	-86.59974381	14.82243161	HND	Honduras	1	ANNUAL	METONS	11189	2015	11189	Official submission of country data to FAO Global Forest Resources Assessment	C
2017.Q2.G.01	AG_LND_TOTL	Forest area as a proportion of total land area	344	114.0266445	22.41749934	HKG	China, Hong Kong Special Administrative Region	1	ANNUAL	METONS					
2017.Q2.G.01	AG_LND_TOTL	Forest area as a proportion of total land area	348	19.41221519	47.1651448	HUN	Hungary	1	ANNUAL	METONS	9127	2015	9127	Official submission of country data to FAO Global Forest Resources Assessment	C
2017.Q2.G.01	AG_LND_TOTL	Forest area as a proportion of total land area	352	-19.02116966	64.79134763	ISL	Iceland	1	ANNUAL	METONS	10025	2015	10025	Official submission of country data to FAO Global Forest Resources Assessment	C
