series.release	series.code	series.description	geoAreaCode	X	Y	ISO3CD	geoAreaName	sliceId	Freq	Units	1990	1995	2000	2005	2007	2009	2014	latest.year	latest.value	latest.source	latest.nature
2017.Q2.G.01	EN_LND_SLUMN	Number of urban population living in slums	238	-58.75246778	-51.74562601	FLK	Falkland Islands (Malvinas)	1	ANNUAL	NUMBER											
2017.Q2.G.01	EN_LND_SLUMN	Number of urban population living in slums	239	-36.90662765	-54.20736749	SGS	South Georgia and the South Sandwich Islands	1	ANNUAL	NUMBER											
2017.Q2.G.01	EN_LND_SLUMN	Number of urban population living in slums	242	177.9660884	-17.83301566	FJI	Fiji	1	ANNUAL	NUMBER											
2017.Q2.G.01	EN_LND_SLUMN	Number of urban population living in slums	246	23.308447	61.91586738	FIN	Finland	1	ANNUAL	NUMBER											
2017.Q2.G.01	EN_LND_SLUMN	Number of urban population living in slums	248	19.80945969	60.1544901	ALA	Åland Islands	1	ANNUAL	NUMBER											
2017.Q2.G.01	EN_LND_SLUMN	Number of urban population living in slums	250	2.457288129	46.62660861	FRA	France	1	ANNUAL	NUMBER											
2017.Q2.G.01	EN_LND_SLUMN	Number of urban population living in slums	254	-53.23619089	3.922673437	GUF	French Guiana	1	ANNUAL	NUMBER				16.030245				2005	16.030245	United Nations Human Settlements Programme (UN-Habitat), Global Urban Indicators Database	
2017.Q2.G.01	EN_LND_SLUMN	Number of urban population living in slums	258	-149.4052367	-17.67709294	PYF	French Polynesia	1	ANNUAL	NUMBER											
2017.Q2.G.01	EN_LND_SLUMN	Number of urban population living in slums	260	69.64849091	-49.6068576	ATF	French Southern Territories	1	ANNUAL	NUMBER											
2017.Q2.G.01	EN_LND_SLUMN	Number of urban population living in slums	262	42.18274707	11.56004161	DJI	Djibouti	1	ANNUAL	NUMBER							449.36	2014	449.36	United Nations Human Settlements Programme (UN-Habitat), Global Urban Indicators Database	E
2017.Q2.G.01	EN_LND_SLUMN	Number of urban population living in slums	266	11.78727747	-0.60687619	GAB	Gabon	1	ANNUAL	NUMBER				442.983033			550.19	2014	550.19	United Nations Human Settlements Programme (UN-Habitat), Global Urban Indicators Database	E
2017.Q2.G.01	EN_LND_SLUMN	Number of urban population living in slums	268	43.3713615	42.04813028	GEO	Georgia	1	ANNUAL	NUMBER											
2017.Q2.G.01	EN_LND_SLUMN	Number of urban population living in slums	270	-15.39944785	13.45295927	GMB	Gambia	1	ANNUAL	NUMBER				373.423626	312.945612		392.196	2014	392.196	United Nations Human Settlements Programme (UN-Habitat), Global Urban Indicators Database	M
2017.Q2.G.01	EN_LND_SLUMN	Number of urban population living in slums	275	35.25694122	31.94347933	PSE	State of Palestine	1	ANNUAL	NUMBER											
2017.Q2.G.01	EN_LND_SLUMN	Number of urban population living in slums	276	10.3806066	51.08862743	DEU	Germany	1	ANNUAL	NUMBER											
2017.Q2.G.01	EN_LND_SLUMN	Number of urban population living in slums	288	-1.205623522	7.964825185	GHA	Ghana	1	ANNUAL	NUMBER	3571.097756416	4069.725483198	4473.254011724	4755.408530378	4817.353885746	4848.363079112	5349.3102	2014	5349.3102	United Nations Human Settlements Programme (UN-Habitat), Global Urban Indicators Database	M
2017.Q2.G.01	EN_LND_SLUMN	Number of urban population living in slums	292	-5.347561686	36.13895036	GIB	Gibraltar	1	ANNUAL	NUMBER											
2017.Q2.G.01	EN_LND_SLUMN	Number of urban population living in slums	296	-157.5643005	1.768837732	KIR	Kiribati	1	ANNUAL	NUMBER											
2017.Q2.G.01	EN_LND_SLUMN	Number of urban population living in slums	300	22.58307827	39.47301873	GRC	Greece	1	ANNUAL	NUMBER											
2017.Q2.G.01	EN_LND_SLUMN	Number of urban population living in slums	304	-41.39371316	74.75625681	GRL	Greenland	1	ANNUAL	NUMBER											
2017.Q2.G.01	EN_LND_SLUMN	Number of urban population living in slums	308	-61.68248568	12.11238395	GRD	Grenada	1	ANNUAL	NUMBER				2.2983				2005	2.2983	United Nations Human Settlements Programme (UN-Habitat), Global Urban Indicators Database	
2017.Q2.G.01	EN_LND_SLUMN	Number of urban population living in slums	312	-61.64762115	16.14416917	GLP	Guadeloupe	1	ANNUAL	NUMBER				24.204204				2005	24.204204	United Nations Human Settlements Programme (UN-Habitat), Global Urban Indicators Database	
2017.Q2.G.01	EN_LND_SLUMN	Number of urban population living in slums	316	144.7029305	13.35485404	GUM	Guam	1	ANNUAL	NUMBER											
2017.Q2.G.01	EN_LND_SLUMN	Number of urban population living in slums	320	-91.2312746	15.00273719	GTM	Guatemala	1	ANNUAL	NUMBER	2145.56449965	2301.0299928	2438.49370095	2572.2261007	2618.828376	2659.7884873	2796.915	2014	2796.915	United Nations Human Settlements Programme (UN-Habitat), Global Urban Indicators Database	M
2017.Q2.G.01	EN_LND_SLUMN	Number of urban population living in slums	324	-11.28173419	11.00210343	GIN	Guinea	1	ANNUAL	NUMBER	1384.7302811489	1516.9538596513	1490.3829472096	1390.397365	1489.161463		1912.994	2014	1912.994	United Nations Human Settlements Programme (UN-Habitat), Global Urban Indicators Database	M
2017.Q2.G.01	EN_LND_SLUMN	Number of urban population living in slums	328	-58.97322037	4.788012784	GUY	Guyana	1	ANNUAL	NUMBER				72.949716	72.596845	72.134968	75.799	2014	75.799	United Nations Human Settlements Programme (UN-Habitat), Global Urban Indicators Database	M
2017.Q2.G.01	EN_LND_SLUMN	Number of urban population living in slums	332	-72.33640958	18.40426539	HTI	Haiti	1	ANNUAL	NUMBER	1892.726716	2392.752022	2876.0479189114	2908.1574921951	3230.257771	3556.681225	4470.696	2014	4470.696	United Nations Human Settlements Programme (UN-Habitat), Global Urban Indicators Database	M
2017.Q2.G.01	EN_LND_SLUMN	Number of urban population living in slums	334	73.52633626	-53.09106147	HMD	Heard Island and McDonald Islands	1	ANNUAL	NUMBER											
2017.Q2.G.01	EN_LND_SLUMN	Number of urban population living in slums	336	12.45315803	41.90343751	VAT	Holy See	1	ANNUAL	NUMBER											
2017.Q2.G.01	EN_LND_SLUMN	Number of urban population living in slums	340	-86.59974381	14.82243161	HND	Honduras	1	ANNUAL	NUMBER				1170.286693			1229.8	2014	1229.8	United Nations Human Settlements Programme (UN-Habitat), Global Urban Indicators Database	E
2017.Q2.G.01	EN_LND_SLUMN	Number of urban population living in slums	344	114.0266445	22.41749934	HKG	China, Hong Kong Special Administrative Region	1	ANNUAL	NUMBER											
2017.Q2.G.01	EN_LND_SLUMN	Number of urban population living in slums	348	19.41221519	47.1651448	HUN	Hungary	1	ANNUAL	NUMBER											
2017.Q2.G.01	EN_LND_SLUMN	Number of urban population living in slums	352	-19.02116966	64.79134763	ISL	Iceland	1	ANNUAL	NUMBER											
2017.Q2.G.01	EN_LND_SLUMN	Number of urban population living in slums	356	79.3608464	22.34642074	IND	India	1	ANNUAL	NUMBER	121021.9174395	122230.85057515	119698.26574	112912.592309475	109101.619745055	104678.91832801	98448.96	2014	98448.96	United Nations Human Settlements Programme (UN-Habitat), Global Urban Indicators Database	M
2017.Q2.G.01	EN_LND_SLUMN	Number of urban population living in slums	360	113.9174	-0.994582204	IDN	Indonesia	1	ANNUAL	NUMBER	27558.688247762	29016.695275193	29690.680802868	24777.481470005	22456.392325684	23255.258161425	29211.782	2014	29211.782	United Nations Human Settlements Programme (UN-Habitat), Global Urban Indicators Database	M
2017.Q2.G.01	EN_LND_SLUMN	Number of urban population living in slums	364	54.19766348	32.74370885	IRN	Iran (Islamic Republic of)	1	ANNUAL	NUMBER											
2017.Q2.G.01	EN_LND_SLUMN	Number of urban population living in slums	368	43.76606267	33.05013795	IRQ	Iraq	1	ANNUAL	NUMBER	2131.0559149517	2439.1021410684	2827.644215475	9974.4512719683	10360.8579008143	10759.2216133543	11382.752	2014	11382.752	United Nations Human Settlements Programme (UN-Habitat), Global Urban Indicators Database	M
2017.Q2.G.01	EN_LND_SLUMN	Number of urban population living in slums	372	-7.121425272	53.25274054	IRL	Ireland	1	ANNUAL	NUMBER											
2017.Q2.G.01	EN_LND_SLUMN	Number of urban population living in slums	376	34.62277992	31.06164552	ISR	Israel	1	ANNUAL	NUMBER											
2017.Q2.G.01	EN_LND_SLUMN	Number of urban population living in slums	380	12.57022427	42.79917282	ITA	Italy	1	ANNUAL	NUMBER											
2017.Q2.G.01	EN_LND_SLUMN	Number of urban population living in slums	384	-5.552690016	7.62211586	CIV	Côte d'Ivoire	1	ANNUAL	NUMBER	2673.714025202	3365.670522536	4157.58294003	5066.113031304	5495.855463328	5978.7839293	6233.8978	2014	6233.8978	United Nations Human Settlements Programme (UN-Habitat), Global Urban Indicators Database	M
