series.release	series.code	series.description	geoAreaCode	X	Y	ISO3CD	geoAreaName	sliceId	Freq	Units	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	last.5.years.mean	latest.year	latest.value	latest.source	latest.nature
2017.Q2.G.01	AG_PRD_ORTIND	Agriculture orientation index for government expenditures (index)	178	15.22052612	-0.840544119	COG	Congo	1	ANNUAL	NOTAP				0.19255	0.301568	0.240924	0.270098	0.456691	0.302327	0.658693							2010	0.658693	IMF data.UNSD national account estimates	C
2017.Q2.G.01	AG_PRD_ORTIND	Agriculture orientation index for government expenditures (index)	180	23.65496507	-2.877154732	COD	Democratic Republic of the Congo	1	ANNUAL	NOTAP										0.083232	0.119408	0.301368	0.206533	0.372041	0.200797	0.2400294	2015	0.200797	Official country publications.UNSD national account estimates	C
2017.Q2.G.01	AG_PRD_ORTIND	Agriculture orientation index for government expenditures (index)	184	-159.7711391	-21.22696458	COK	Cook Islands	1	ANNUAL	NOTAP																				
2017.Q2.G.01	AG_PRD_ORTIND	Agriculture orientation index for government expenditures (index)	188	-84.19712782	9.970998683	CRI	Costa Rica	1	ANNUAL	NOTAP	0.220031	0.189215	0.279731	0.198705	0.281711	0.349353	0.480406	0.640245	0.661048	0.942011	1.024879	1.309538	0.579445	0.287627	0.312181	0.702734	2015	0.312181	FAO questionnaires.UNSD national account estimates	C
2017.Q2.G.01	AG_PRD_ORTIND	Agriculture orientation index for government expenditures (index)	191	17.95874553	45.45172212	HRV	Croatia	1	ANNUAL	NOTAP		0.484726	0.674259	0.526271	0.595913	0.667907	0.836944	0.840061	0.83736	0.95966	0.974842	0.837509	0.760851	0.831715	1.309649	0.9429132	2015	1.309649	FAO questionnaires.UNSD national account estimates	C
2017.Q2.G.01	AG_PRD_ORTIND	Agriculture orientation index for government expenditures (index)	192	-79.54460144	22.10030366	CUB	Cuba	1	ANNUAL	NOTAP																				
2017.Q2.G.01	AG_PRD_ORTIND	Agriculture orientation index for government expenditures (index)	196	33.22285964	35.05659437	CYP	Cyprus	1	ANNUAL	NOTAP	1.592346	1.351132	1.460057	1.613682	1.401463	1.486368	1.503511	1.512821	1.123732	1.177944	1.009354	1.051056	1.151701	1.017054		1.05729125	2014	1.017054	FAO questionnaires.UNSD national account estimates	C
2017.Q2.G.01	AG_PRD_ORTIND	Agriculture orientation index for government expenditures (index)	203	15.33151382	49.73913871	CZE	Czechia	1	ANNUAL	NOTAP	0.844436	1.003665	1.120468	1.227136	1.572559	1.680206	1.887236	1.81373	2.363365	2.288642	1.533579	1.413095	1.241045	1.386099	1.281153	1.3709942	2015	1.281153	FAO questionnaires.UNSD national account estimates	C
2017.Q2.G.01	AG_PRD_ORTIND	Agriculture orientation index for government expenditures (index)	204	2.339933594	9.65401646	BEN	Benin	1	ANNUAL	NOTAP										0.070919							2010	0.070919	Combined IMF and FAO Questionaire. Official country publications.UNSD national account estimates	C
2017.Q2.G.01	AG_PRD_ORTIND	Agriculture orientation index for government expenditures (index)	208	9.326571283	56.03829721	DNK	Denmark	1	ANNUAL	NOTAP	0.125097	0.263825	0.290956	0.218225	0.323503	0.332854	0.255915	0.449459	0.537127	0.269909	0.378982	0.282233	0.301912	0.302451	0.403499	0.3338154	2015	0.403499	FAO questionnaires.UNSD national account estimates	C
2017.Q2.G.01	AG_PRD_ORTIND	Agriculture orientation index for government expenditures (index)	212	-61.3493756	15.43391378	DMA	Dominica	1	ANNUAL	NOTAP																				
2017.Q2.G.01	AG_PRD_ORTIND	Agriculture orientation index for government expenditures (index)	214	-70.49847576	18.89832088	DOM	Dominican Republic	1	ANNUAL	NOTAP		0.678283	0.854496								0.36438	0.318914	0.332723	0.266391	0.181897	0.292861	2015	0.181897	FAO questionnaires.UNSD national account estimates	C
2017.Q2.G.01	AG_PRD_ORTIND	Agriculture orientation index for government expenditures (index)	218	-78.37005241	-1.447785891	ECU	Ecuador	1	ANNUAL	NOTAP	0.047342	0.070618	0.070191	0.07703	0.075827	0.072544	0.079295	0.073563	0.172394	0.18419	0.098705	0.128613	0.146064	0.228022	0.27164	0.1746088	2015	0.27164	FAO questionnaires.UNSD national account estimates	C
2017.Q2.G.01	AG_PRD_ORTIND	Agriculture orientation index for government expenditures (index)	222	-88.86862995	13.73603564	SLV	El Salvador	1	ANNUAL	NOTAP	0.245856	0.18033	0.105294	0.188659	0.100633	0.079686	0.107656	0.101258	0.16582	0.129307	0.087018	0.11109	0.123696	0.141211	0.119484	0.1164998	2015	0.119484	FAO questionnaires.UNSD national account estimates	C
2017.Q2.G.01	AG_PRD_ORTIND	Agriculture orientation index for government expenditures (index)	226	10.46535826	1.565792376	GNQ	Equatorial Guinea	1	ANNUAL	NOTAP							1.271505	0.884468	0.757366								2009	0.757366	IMF data.UNSD national account estimates	C
2017.Q2.G.01	AG_PRD_ORTIND	Agriculture orientation index for government expenditures (index)	231	39.63505296	8.631223181	ETH	Ethiopia	1	ANNUAL	NOTAP	0.091581	0.18664	0.131191	0.126156	0.379962	0.469032	0.419014										2007	0.419014	IMF data.UNSD national account estimates	C
2017.Q2.G.01	AG_PRD_ORTIND	Agriculture orientation index for government expenditures (index)	232	38.11074289	16.12894644	ERI	Eritrea	1	ANNUAL	NOTAP																				
2017.Q2.G.01	AG_PRD_ORTIND	Agriculture orientation index for government expenditures (index)	233	25.84093481	58.68487172	EST	Estonia	1	ANNUAL	NOTAP	0.513525	0.635114	0.677135	0.626233	0.560736	0.75904	0.788986	0.887761	0.753203	0.589635	0.530627	0.55304	0.620984	0.441551		0.5365505	2014	0.441551	FAO questionnaires.UNSD national account estimates	C
2017.Q2.G.01	AG_PRD_ORTIND	Agriculture orientation index for government expenditures (index)	234	-7.122044325	62.21228119	FRO	Faroe Islands	1	ANNUAL	NOTAP																				
2017.Q2.G.01	AG_PRD_ORTIND	Agriculture orientation index for government expenditures (index)	238	-58.75246778	-51.74562601	FLK	Falkland Islands (Malvinas)	1	ANNUAL	NOTAP																				
2017.Q2.G.01	AG_PRD_ORTIND	Agriculture orientation index for government expenditures (index)	239	-36.90662765	-54.20736749	SGS	South Georgia and the South Sandwich Islands	1	ANNUAL	NOTAP																				
2017.Q2.G.01	AG_PRD_ORTIND	Agriculture orientation index for government expenditures (index)	242	177.9660884	-17.83301566	FJI	Fiji	1	ANNUAL	NOTAP					0.262536	0.240397	0.268182	0.268201	0.277957	0.303585	0.283192	0.28816	0.293653	0.300821	0.316173	0.2963998	2015	0.316173	Official country publications.UNSD national account estimates	C
2017.Q2.G.01	AG_PRD_ORTIND	Agriculture orientation index for government expenditures (index)	246	23.308447	61.91586738	FIN	Finland	1	ANNUAL	NOTAP	1.120799	1.125769	1.165782	1.184087	1.279813	1.5023	1.219575	1.190664	1.10874	1.021026	1.03172	0.932977	0.77303	0.80577		0.88587425	2014	0.80577	FAO questionnaires.UNSD national account estimates	C
2017.Q2.G.01	AG_PRD_ORTIND	Agriculture orientation index for government expenditures (index)	248	19.80945969	60.1544901	ALA	Åland Islands	1	ANNUAL	NOTAP																				
2017.Q2.G.01	AG_PRD_ORTIND	Agriculture orientation index for government expenditures (index)	250	2.457288129	46.62660861	FRA	France	1	ANNUAL	NOTAP	0.273164	0.293871	0.259553	0.416525	0.443182	0.48178	0.407707	0.390492	0.456023	0.401279	0.335293	0.364092	0.362449	0.344389		0.35155575	2014	0.344389	FAO questionnaires.UNSD national account estimates	C
2017.Q2.G.01	AG_PRD_ORTIND	Agriculture orientation index for government expenditures (index)	254	-53.23619089	3.922673437	GUF	French Guiana	1	ANNUAL	NOTAP																				
2017.Q2.G.01	AG_PRD_ORTIND	Agriculture orientation index for government expenditures (index)	258	-149.4052367	-17.67709294	PYF	French Polynesia	1	ANNUAL	NOTAP																				
2017.Q2.G.01	AG_PRD_ORTIND	Agriculture orientation index for government expenditures (index)	260	69.64849091	-49.6068576	ATF	French Southern Territories	1	ANNUAL	NOTAP																				
2017.Q2.G.01	AG_PRD_ORTIND	Agriculture orientation index for government expenditures (index)	262	42.18274707	11.56004161	DJI	Djibouti	1	ANNUAL	NOTAP																				
2017.Q2.G.01	AG_PRD_ORTIND	Agriculture orientation index for government expenditures (index)	266	11.78727747	-0.60687619	GAB	Gabon	1	ANNUAL	NOTAP																				
2017.Q2.G.01	AG_PRD_ORTIND	Agriculture orientation index for government expenditures (index)	268	43.3713615	42.04813028	GEO	Georgia	1	ANNUAL	NOTAP			0.055044	0.18031	0.133857	0.170424	0.252294	0.141586	0.138119	0.061243	0.149749	0.395913	0.344856	0.369327	0.295826	0.3111342	2015	0.295826	FAO questionnaires.UNSD national account estimates	C
2017.Q2.G.01	AG_PRD_ORTIND	Agriculture orientation index for government expenditures (index)	270	-15.39944785	13.45295927	GMB	Gambia	1	ANNUAL	NOTAP																				
2017.Q2.G.01	AG_PRD_ORTIND	Agriculture orientation index for government expenditures (index)	275	35.25694122	31.94347933	PSE	State of Palestine	1	ANNUAL	NOTAP					0.148069	0.123359	0.125199	0.126042	0.101901	0.135823	0.126228					0.126228	2011	0.126228	FAO questionnaires.UNSD national account estimates	C
2017.Q2.G.01	AG_PRD_ORTIND	Agriculture orientation index for government expenditures (index)	276	10.3806066	51.08862743	DEU	Germany	1	ANNUAL	NOTAP																				
2017.Q2.G.01	AG_PRD_ORTIND	Agriculture orientation index for government expenditures (index)	288	-1.205623522	7.964825185	GHA	Ghana	1	ANNUAL	NOTAP	0.03143	0.035617															2002	0.035617	IMF data.UNSD national account estimates	C
2017.Q2.G.01	AG_PRD_ORTIND	Agriculture orientation index for government expenditures (index)	292	-5.347561686	36.13895036	GIB	Gibraltar	1	ANNUAL	NOTAP																				
2017.Q2.G.01	AG_PRD_ORTIND	Agriculture orientation index for government expenditures (index)	296	-157.5643005	1.768837732	KIR	Kiribati	1	ANNUAL	NOTAP																				
2017.Q2.G.01	AG_PRD_ORTIND	Agriculture orientation index for government expenditures (index)	300	22.58307827	39.47301873	GRC	Greece	1	ANNUAL	NOTAP						0.033765	0.078588	0.052079	0.258517	0.086069	0.065891	0.068674	0.077307	0.10517		0.0792605	2014	0.10517	FAO questionnaires.UNSD national account estimates	C
2017.Q2.G.01	AG_PRD_ORTIND	Agriculture orientation index for government expenditures (index)	304	-41.39371316	74.75625681	GRL	Greenland	1	ANNUAL	NOTAP																				
2017.Q2.G.01	AG_PRD_ORTIND	Agriculture orientation index for government expenditures (index)	308	-61.68248568	12.11238395	GRD	Grenada	1	ANNUAL	NOTAP																				
2017.Q2.G.01	AG_PRD_ORTIND	Agriculture orientation index for government expenditures (index)	312	-61.64762115	16.14416917	GLP	Guadeloupe	1	ANNUAL	NOTAP																				
2017.Q2.G.01	AG_PRD_ORTIND	Agriculture orientation index for government expenditures (index)	316	144.7029305	13.35485404	GUM	Guam	1	ANNUAL	NOTAP																				
2017.Q2.G.01	AG_PRD_ORTIND	Agriculture orientation index for government expenditures (index)	320	-91.2312746	15.00273719	GTM	Guatemala	1	ANNUAL	NOTAP	0.226222	0.207032	0.256357	0.263592	0.243787	0.254037	0.219445	0.232537	0.128775	0.207552	0.211023	0.293503	0.253308	0.319263	0.174062	0.2502318	2015	0.174062	FAO questionnaires.UNSD national account estimates	C
2017.Q2.G.01	AG_PRD_ORTIND	Agriculture orientation index for government expenditures (index)	324	-11.28173419	11.00210343	GIN	Guinea	1	ANNUAL	NOTAP																				
2017.Q2.G.01	AG_PRD_ORTIND	Agriculture orientation index for government expenditures (index)	328	-58.97322037	4.788012784	GUY	Guyana	1	ANNUAL	NOTAP																				
2017.Q2.G.01	AG_PRD_ORTIND	Agriculture orientation index for government expenditures (index)	332	-72.33640958	18.40426539	HTI	Haiti	1	ANNUAL	NOTAP																				
2017.Q2.G.01	AG_PRD_ORTIND	Agriculture orientation index for government expenditures (index)	334	73.52633626	-53.09106147	HMD	Heard Island and McDonald Islands	1	ANNUAL	NOTAP																				
2017.Q2.G.01	AG_PRD_ORTIND	Agriculture orientation index for government expenditures (index)	336	12.45315803	41.90343751	VAT	Holy See	1	ANNUAL	NOTAP																				
2017.Q2.G.01	AG_PRD_ORTIND	Agriculture orientation index for government expenditures (index)	340	-86.59974381	14.82243161	HND	Honduras	1	ANNUAL	NOTAP																				
2017.Q2.G.01	AG_PRD_ORTIND	Agriculture orientation index for government expenditures (index)	344	114.0266445	22.41749934	HKG	China, Hong Kong Special Administrative Region	1	ANNUAL	NOTAP																				
2017.Q2.G.01	AG_PRD_ORTIND	Agriculture orientation index for government expenditures (index)	348	19.41221519	47.1651448	HUN	Hungary	1	ANNUAL	NOTAP	0.801562	1.205747	0.96874	0.760274	0.767717	0.744265	0.742262	0.416064	0.542736	0.35432	0.287386	0.286217	0.253684	0.348229		0.293879	2014	0.348229	FAO questionnaires.UNSD national account estimates	C
2017.Q2.G.01	AG_PRD_ORTIND	Agriculture orientation index for government expenditures (index)	352	-19.02116966	64.79134763	ISL	Iceland	1	ANNUAL	NOTAP	0.624944	0.600379	0.69739	0.765593	0.819692	0.776531	0.812757	0.503862	0.514294	0.435835	0.450119	0.473424	0.476237	0.498358	0.46594	0.4728156	2015	0.46594	Combined IMF and FAO Questionaire. Official country publications.UNSD national account estimates	C
