series.release	series.code	series.description	geoAreaCode	X	Y	ISO3CD	geoAreaName	sliceId	Freq	Units	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	last.5.years.mean	latest.year	latest.value	latest.source	latest.nature
2017.Q2.G.01	EN_ATM_CO2GDP	Emissions of carbon dioxide per unit of GDP (PPP)	96	114.6288563	4.49736984	BRN	Brunei Darussalam	1	ANNUAL	KG_CO2_PER_GDP_CON_PPP_USD	0.18274	0.17327	0.16875	0.19736	0.18407	0.17974	0.2576	0.24393	0.26254	0.27504	0.24746	0.24453	0.24072	0.24094	0.24107	0.242944	2014	0.24107	IEA/OECD CO2 emissions from fuel combustion, 2016	C
2017.Q2.G.01	EN_ATM_CO2GDP	Emissions of carbon dioxide per unit of GDP (PPP)	100	25.23763153	42.75731323	BGR	Bulgaria	1	ANNUAL	KG_CO2_PER_GDP_CON_PPP_USD	0.58403	0.59795	0.53215	0.55707	0.51235	0.48505	0.4656	0.46272	0.41688	0.3803	0.39796	0.43425	0.39132	0.34199	0.36061	0.385226	2014	0.36061	IEA/OECD CO2 emissions from fuel combustion, 2016	C
2017.Q2.G.01	EN_ATM_CO2GDP	Emissions of carbon dioxide per unit of GDP (PPP)	104	96.51752295	21.19332882	MMR	Myanmar	1	ANNUAL	KG_CO2_PER_GDP_CON_PPP_USD	0.14296	0.11343	0.10052	0.11128	0.09554	0.08891	0.07303	0.06776	0.04858	0.04286	0.04576	0.04428	0.05829	0.06321	0.08482	0.059272	2014	0.08482	IEA/OECD CO2 emissions from fuel combustion, 2016	C
2017.Q2.G.01	EN_ATM_CO2GDP	Emissions of carbon dioxide per unit of GDP (PPP)	108	29.89080992	-3.366387428	BDI	Burundi	1	ANNUAL	KG_CO2_PER_GDP_CON_PPP_USD																				
2017.Q2.G.01	EN_ATM_CO2GDP	Emissions of carbon dioxide per unit of GDP (PPP)	112	28.04940161	53.54193075	BLR	Belarus	1	ANNUAL	KG_CO2_PER_GDP_CON_PPP_USD	0.72828	0.6793	0.64506	0.60963	0.57991	0.53542	0.50642	0.45401	0.43206	0.41258	0.41001	0.3694	0.36856	0.36758	0.35676	0.374462	2014	0.35676	IEA/OECD CO2 emissions from fuel combustion, 2016	C
2017.Q2.G.01	EN_ATM_CO2GDP	Emissions of carbon dioxide per unit of GDP (PPP)	116	104.922836	12.71163737	KHM	Cambodia	1	ANNUAL	KG_CO2_PER_GDP_CON_PPP_USD	0.11978	0.12157	0.11703	0.11602	0.10513	0.10339	0.10421	0.11489	0.113	0.13041	0.13063	0.12789	0.12456	0.11857	0.13046	0.126422	2014	0.13046	IEA/OECD CO2 emissions from fuel combustion, 2016	C
2017.Q2.G.01	EN_ATM_CO2GDP	Emissions of carbon dioxide per unit of GDP (PPP)	120	12.7419827	5.692387031	CMR	Cameroon	1	ANNUAL	KG_CO2_PER_GDP_CON_PPP_USD	0.0743	0.06902	0.071	0.0703	0.0685	0.06521	0.06684	0.08583	0.08649	0.09558	0.09719	0.09366	0.09441	0.09801	0.09551	0.095756	2014	0.09551	IEA/OECD CO2 emissions from fuel combustion, 2016	C
2017.Q2.G.01	EN_ATM_CO2GDP	Emissions of carbon dioxide per unit of GDP (PPP)	124	-101.6575058	57.72360191	CAN	Canada	1	ANNUAL	KG_CO2_PER_GDP_CON_PPP_USD	0.4552	0.44062	0.43268	0.44139	0.4217	0.41561	0.39669	0.41249	0.39858	0.38861	0.38592	0.38127	0.37569	0.37607	0.37042	0.377874	2014	0.37042	IEA/OECD CO2 emissions from fuel combustion, 2016	C
2017.Q2.G.01	EN_ATM_CO2GDP	Emissions of carbon dioxide per unit of GDP (PPP)	132	-23.63544151	15.07791834	CPV	Cabo Verde	1	ANNUAL	KG_CO2_PER_GDP_CON_PPP_USD																				
2017.Q2.G.01	EN_ATM_CO2GDP	Emissions of carbon dioxide per unit of GDP (PPP)	136	-81.16740559	19.32266656	CYM	Cayman Islands	1	ANNUAL	KG_CO2_PER_GDP_CON_PPP_USD																				
