series.release	series.code	series.description	geoAreaCode	X	Y	ISO3CD	geoAreaName	sliceId	Freq	Units	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	last.5.years.mean	latest.year	latest.value	latest.source	latest.nature
2017.Q2.G.01	DC_TOF_SCHIPSL	Total official flows for scholarships, by recipient	120	12.7419827	5.692387031	CMR	Cameroon	1	ANNUAL	CON_USD	0.763273	0.672733	3.036094	4.52745	3.225195	2.723279	3.257316	8.322101	7.407268	8.312735	6.0045398	2015	8.312735		
2017.Q2.G.01	DC_TOF_SCHIPSL	Total official flows for scholarships, by recipient	124	-101.6575058	57.72360191	CAN	Canada	1	ANNUAL	CON_USD															
2017.Q2.G.01	DC_TOF_SCHIPSL	Total official flows for scholarships, by recipient	132	-23.63544151	15.07791834	CPV	Cabo Verde	1	ANNUAL	CON_USD	1.697601	1.788913	1.95084	1.938109	1.46572	1.262669	3.475698	2.663792	1.951475	1.497719	2.1702706	2015	1.497719		
2017.Q2.G.01	DC_TOF_SCHIPSL	Total official flows for scholarships, by recipient	136	-81.16740559	19.32266656	CYM	Cayman Islands	1	ANNUAL	CON_USD															
2017.Q2.G.01	DC_TOF_SCHIPSL	Total official flows for scholarships, by recipient	140	20.93559492	7.003720791	CAF	Central African Republic	1	ANNUAL	CON_USD	0.493048	0.399397	0.901358	1.013113	1.043519	0.199628	0.77119	1.529616	1.196641	1.068467	0.9531084	2015	1.068467		
2017.Q2.G.01	DC_TOF_SCHIPSL	Total official flows for scholarships, by recipient	144	80.70489654	7.614693343	LKA	Sri Lanka	1	ANNUAL	CON_USD	2.805217	2.047276	2.723574	5.977838	7.432838	9.806788	9.793773	10.517739	9.941794	9.144846	9.840988	2015	9.144846		
2017.Q2.G.01	DC_TOF_SCHIPSL	Total official flows for scholarships, by recipient	148	18.66618401	15.36279341	TCD	Chad	1	ANNUAL	CON_USD	1.145392	0.833337	1.396936	1.513844	1.13184	0.137694	1.075114	1.353022	1.188318	1.203257	0.991481	2015	1.203257		
2017.Q2.G.01	DC_TOF_SCHIPSL	Total official flows for scholarships, by recipient	152	-71.23029019	-35.2652885	CHL	Chile	1	ANNUAL	CON_USD	0.534324	1.46416	3.789498	5.820071	3.445778	3.786282	4.05451	3.601836	3.310547	4.385617	3.8277584	2015	4.385617		
2017.Q2.G.01	DC_TOF_SCHIPSL	Total official flows for scholarships, by recipient	156	104.1403375	32.30955217	CHN	China	1	ANNUAL	CON_USD	10.531408	12.793667	29.817334	208.975118	243.516577	257.65316	94.950196	30.429943	28.391108	17.722686	85.8294186	2015	17.722686		
2017.Q2.G.01	DC_TOF_SCHIPSL	Total official flows for scholarships, by recipient	162	105.6426067	-10.4882473	CXR	Christmas Island	1	ANNUAL	CON_USD															
2017.Q2.G.01	DC_TOF_SCHIPSL	Total official flows for scholarships, by recipient	166	96.82633757	-12.18600682	CCK	Cocos (Keeling) Islands	1	ANNUAL	CON_USD															
2017.Q2.G.01	DC_TOF_SCHIPSL	Total official flows for scholarships, by recipient	170	-73.07446751	3.888209046	COL	Colombia	1	ANNUAL	CON_USD	0.365233	2.153378	9.272982	8.617294	4.850768	4.990399	7.276786	6.843252	5.126436	7.516359	6.3506464	2015	7.516359		
2017.Q2.G.01	DC_TOF_SCHIPSL	Total official flows for scholarships, by recipient	174	43.34234565	-11.66121732	COM	Comoros	1	ANNUAL	CON_USD	0.135347	0.111917	0.444245	0.39514	0.286949	0.063911	0.448996	4.023057	4.901397	4.811478	2.8497678	2015	4.811478		
2017.Q2.G.01	DC_TOF_SCHIPSL	Total official flows for scholarships, by recipient	175	45.14015057	-12.82217691	MYT	Mayotte	1	ANNUAL	CON_USD															
2017.Q2.G.01	DC_TOF_SCHIPSL	Total official flows for scholarships, by recipient	178	15.22052612	-0.840544119	COG	Congo	1	ANNUAL	CON_USD	0.627295	0.572937	1.247017	1.200852	0.677918	0.447561	0.656083	3.357191	3.511188	3.846612	2.363727	2015	3.846612		
2017.Q2.G.01	DC_TOF_SCHIPSL	Total official flows for scholarships, by recipient	180	23.65496507	-2.877154732	COD	Democratic Republic of the Congo	1	ANNUAL	CON_USD	3.430769	5.845045	3.641778	5.099931	2.238764	1.742498	1.93196	3.424984	3.42796	3.446909	2.7948622	2015	3.446909		
2017.Q2.G.01	DC_TOF_SCHIPSL	Total official flows for scholarships, by recipient	184	-159.7711391	-21.22696458	COK	Cook Islands	1	ANNUAL	CON_USD			0.530355	0.454522	0.254245	0.469075	0.451452	0.610181	0.543374	0.233053	0.461427	2015	0.233053		
2017.Q2.G.01	DC_TOF_SCHIPSL	Total official flows for scholarships, by recipient	188	-84.19712782	9.970998683	CRI	Costa Rica	1	ANNUAL	CON_USD	0.113218	0.54841	1.405041	2.025856	1.214701	1.307128	1.492571	1.809072	1.384741	1.877883	1.574279	2015	1.877883		
2017.Q2.G.01	DC_TOF_SCHIPSL	Total official flows for scholarships, by recipient	191	17.95874553	45.45172212	HRV	Croatia	1	ANNUAL	CON_USD	0.243889	0.225746	0.579931	0.909036	0.769116							2010	0.769116		
2017.Q2.G.01	DC_TOF_SCHIPSL	Total official flows for scholarships, by recipient	192	-79.54460144	22.10030366	CUB	Cuba	1	ANNUAL	CON_USD	0.951119	0.88135	1.234948	3.077182	1.238295	0.845353	1.36682	1.235306	1.161744	1.166213	1.1550872	2015	1.166213		
2017.Q2.G.01	DC_TOF_SCHIPSL	Total official flows for scholarships, by recipient	196	33.22285964	35.05659437	CYP	Cyprus	1	ANNUAL	CON_USD															
2017.Q2.G.01	DC_TOF_SCHIPSL	Total official flows for scholarships, by recipient	203	15.33151382	49.73913871	CZE	Czechia	1	ANNUAL	CON_USD															
2017.Q2.G.01	DC_TOF_SCHIPSL	Total official flows for scholarships, by recipient	204	2.339933594	9.65401646	BEN	Benin	1	ANNUAL	CON_USD	0.978715	1.439826	1.741773	2.326213	1.163929	0.820085	1.273158	2.163162	1.711012	1.930228	1.579529	2015	1.930228		
2017.Q2.G.01	DC_TOF_SCHIPSL	Total official flows for scholarships, by recipient	208	9.326571283	56.03829721	DNK	Denmark	1	ANNUAL	CON_USD															
2017.Q2.G.01	DC_TOF_SCHIPSL	Total official flows for scholarships, by recipient	212	-61.3493756	15.43391378	DMA	Dominica	1	ANNUAL	CON_USD	0.008881		0.051419	0.173901	0.030383	0.087923	0.139703	0.229741	0.240184	0.17576	0.1746622	2015	0.17576		
2017.Q2.G.01	DC_TOF_SCHIPSL	Total official flows for scholarships, by recipient	214	-70.49847576	18.89832088	DOM	Dominican Republic	1	ANNUAL	CON_USD	0.087283	0.32906	0.573355	1.196913	0.648803	0.53536	0.714156	0.643524	0.85026	0.791301	0.7069202	2015	0.791301		
