series.release	series.code	series.description	geoAreaCode	X	Y	ISO3CD	geoAreaName	sliceId	Freq	Units	2011	2012	2013	2014	2015	last.5.years.mean	latest.year	latest.value	latest.source	latest.nature
2017.Q2.G.01	SI_HEI_TOTL	Growth rates of household expenditure or income per capita, total (%)	372	-7.121425272	53.25274054	IRL	Ireland	1	ANNUAL	PERCENT		-3.8799				-3.8799	2012	-3.8799	World Bank	G
2017.Q2.G.01	SI_HEI_TOTL	Growth rates of household expenditure or income per capita, total (%)	376	34.62277992	31.06164552	ISR	Israel	1	ANNUAL	PERCENT										
2017.Q2.G.01	SI_HEI_TOTL	Growth rates of household expenditure or income per capita, total (%)	380	12.57022427	42.79917282	ITA	Italy	1	ANNUAL	PERCENT		-1.8202				-1.8202	2012	-1.8202	World Bank	G
2017.Q2.G.01	SI_HEI_TOTL	Growth rates of household expenditure or income per capita, total (%)	384	-5.552690016	7.62211586	CIV	Côte d'Ivoire	1	ANNUAL	PERCENT										
2017.Q2.G.01	SI_HEI_TOTL	Growth rates of household expenditure or income per capita, total (%)	388	-77.31068409	18.15616857	JAM	Jamaica	1	ANNUAL	PERCENT										
2017.Q2.G.01	SI_HEI_TOTL	Growth rates of household expenditure or income per capita, total (%)	392	139.2716103	36.6554539	JPN	Japan	1	ANNUAL	PERCENT										
2017.Q2.G.01	SI_HEI_TOTL	Growth rates of household expenditure or income per capita, total (%)	398	66.65359159	48.01963494	KAZ	Kazakhstan	1	ANNUAL	PERCENT			5.5926			5.5926	2013	5.5926	World Bank	G
2017.Q2.G.01	SI_HEI_TOTL	Growth rates of household expenditure or income per capita, total (%)	400	37.13024774	30.65365973	JOR	Jordan	1	ANNUAL	PERCENT										
2017.Q2.G.01	SI_HEI_TOTL	Growth rates of household expenditure or income per capita, total (%)	404	37.86096816	0.534797278	KEN	Kenya	1	ANNUAL	PERCENT										
2017.Q2.G.01	SI_HEI_TOTL	Growth rates of household expenditure or income per capita, total (%)	408	127.1803633	40.1462645	PRK	Democratic People's Republic of Korea	1	ANNUAL	PERCENT										
2017.Q2.G.01	SI_HEI_TOTL	Growth rates of household expenditure or income per capita, total (%)	410	127.8610254	36.45201023	KOR	Republic of Korea	1	ANNUAL	PERCENT										
2017.Q2.G.01	SI_HEI_TOTL	Growth rates of household expenditure or income per capita, total (%)	414	47.49305029	29.53949468	KWT	Kuwait	1	ANNUAL	PERCENT										
2017.Q2.G.01	SI_HEI_TOTL	Growth rates of household expenditure or income per capita, total (%)	417	74.52324839	41.46204516	KGZ	Kyrgyzstan	1	ANNUAL	PERCENT				-1.0871		-1.0871	2014	-1.0871	World Bank	G
2017.Q2.G.01	SI_HEI_TOTL	Growth rates of household expenditure or income per capita, total (%)	418	101.9901968	20.27482773	LAO	Lao People's Democratic Republic	1	ANNUAL	PERCENT		2.2408				2.2408	2012	2.2408	World Bank	G
2017.Q2.G.01	SI_HEI_TOTL	Growth rates of household expenditure or income per capita, total (%)	422	35.89391711	33.92152458	LBN	Lebanon	1	ANNUAL	PERCENT										
2017.Q2.G.01	SI_HEI_TOTL	Growth rates of household expenditure or income per capita, total (%)	426	28.25362195	-29.58041814	LSO	Lesotho	1	ANNUAL	PERCENT										
2017.Q2.G.01	SI_HEI_TOTL	Growth rates of household expenditure or income per capita, total (%)	428	26.42461876	56.64196636	LVA	Latvia	1	ANNUAL	PERCENT		-4.3261				-4.3261	2012	-4.3261	World Bank	G
2017.Q2.G.01	SI_HEI_TOTL	Growth rates of household expenditure or income per capita, total (%)	430	-9.311879038	6.448381009	LBR	Liberia	1	ANNUAL	PERCENT										
2017.Q2.G.01	SI_HEI_TOTL	Growth rates of household expenditure or income per capita, total (%)	434	18.0295985	27.04042819	LBY	Libya	1	ANNUAL	PERCENT										
2017.Q2.G.01	SI_HEI_TOTL	Growth rates of household expenditure or income per capita, total (%)	438	9.552985019	47.14167005	LIE	Liechtenstein	1	ANNUAL	PERCENT										
2017.Q2.G.01	SI_HEI_TOTL	Growth rates of household expenditure or income per capita, total (%)	440	23.90517807	55.33680309	LTU	Lithuania	1	ANNUAL	PERCENT		-1.1641				-1.1641	2012	-1.1641	World Bank	G
2017.Q2.G.01	SI_HEI_TOTL	Growth rates of household expenditure or income per capita, total (%)	442	6.092656563	49.77679538	LUX	Luxembourg	1	ANNUAL	PERCENT		-0.5417				-0.5417	2012	-0.5417	World Bank	G
2017.Q2.G.01	SI_HEI_TOTL	Growth rates of household expenditure or income per capita, total (%)	446	113.5665388	22.1237259	MAC	China, Macao Special Administrative Region	1	ANNUAL	PERCENT										
2017.Q2.G.01	SI_HEI_TOTL	Growth rates of household expenditure or income per capita, total (%)	450	46.6982339	-19.38514785	MDG	Madagascar	1	ANNUAL	PERCENT										
2017.Q2.G.01	SI_HEI_TOTL	Growth rates of household expenditure or income per capita, total (%)	454	33.4884625	-13.40819859	MWI	Malawi	1	ANNUAL	PERCENT										
2017.Q2.G.01	SI_HEI_TOTL	Growth rates of household expenditure or income per capita, total (%)	458	116.8346314	5.452415309	MYS	Malaysia	1	ANNUAL	PERCENT										
2017.Q2.G.01	SI_HEI_TOTL	Growth rates of household expenditure or income per capita, total (%)	462	73.09672546	-0.614385021	MDV	Maldives	1	ANNUAL	PERCENT										
2017.Q2.G.01	SI_HEI_TOTL	Growth rates of household expenditure or income per capita, total (%)	466	-3.522016039	17.35311254	MLI	Mali	1	ANNUAL	PERCENT										
