series.release	series.code	series.description	geoAreaCode	X	Y	ISO3CD	geoAreaName	sliceId	Age	Freq	Location	Sex	Units	Bounds	1990	1991	1992	1993	1994	1995	1996	1997	1998	1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	last.5.years.mean	latest.year	latest.value	latest.source
2017.Q2.G.01	VC_DSR_DMGEDUC	Damage to critical infrastructure, education facilities	140	20.93559492	7.003720791	CAF	Central African Republic	1	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	NUMBER	MP																													
2017.Q2.G.01	VC_DSR_DMGEDUC	Damage to critical infrastructure, education facilities	144	80.70489654	7.614693343	LKA	Sri Lanka	1	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	NUMBER	MP															1												2004	1	UNISDR (2015). Global Assessment Report on Disaster Risk Reduction 2015, Geneva, Switzerland: United Nations Office for Disaster Risk Reduction
2017.Q2.G.01	VC_DSR_DMGEDUC	Damage to critical infrastructure, education facilities	148	18.66618401	15.36279341	TCD	Chad	1	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	NUMBER	MP																													
2017.Q2.G.01	VC_DSR_DMGEDUC	Damage to critical infrastructure, education facilities	152	-71.23029019	-35.2652885	CHL	Chile	1	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	NUMBER	MP	10	106		12	3	7	2	2	6	4	3		4				1						2	3		2.5	2013	3	UNISDR (2015). Global Assessment Report on Disaster Risk Reduction 2015, Geneva, Switzerland: United Nations Office for Disaster Risk Reduction
2017.Q2.G.01	VC_DSR_DMGEDUC	Damage to critical infrastructure, education facilities	156	104.1403375	32.30955217	CHN	China	1	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	NUMBER	MP																													
2017.Q2.G.01	VC_DSR_DMGEDUC	Damage to critical infrastructure, education facilities	162	105.6426067	-10.4882473	CXR	Christmas Island	1	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	NUMBER	MP																													
2017.Q2.G.01	VC_DSR_DMGEDUC	Damage to critical infrastructure, education facilities	166	96.82633757	-12.18600682	CCK	Cocos (Keeling) Islands	1	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	NUMBER	MP																													
2017.Q2.G.01	VC_DSR_DMGEDUC	Damage to critical infrastructure, education facilities	170	-73.07446751	3.888209046	COL	Colombia	1	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	NUMBER	MP		1	6	34	12	322	131	161	121	53	62	71	74	46	135	115	111	135	257	111	243	296	657	416	203	363	2014	203	UNISDR (2015). Global Assessment Report on Disaster Risk Reduction 2015, Geneva, Switzerland: United Nations Office for Disaster Risk Reduction
2017.Q2.G.01	VC_DSR_DMGEDUC	Damage to critical infrastructure, education facilities	174	43.34234565	-11.66121732	COM	Comoros	1	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	NUMBER	MP																													
2017.Q2.G.01	VC_DSR_DMGEDUC	Damage to critical infrastructure, education facilities	175	45.14015057	-12.82217691	MYT	Mayotte	1	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	NUMBER	MP																													
2017.Q2.G.01	VC_DSR_DMGEDUC	Damage to critical infrastructure, education facilities	178	15.22052612	-0.840544119	COG	Congo	1	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	NUMBER	MP																													
2017.Q2.G.01	VC_DSR_DMGEDUC	Damage to critical infrastructure, education facilities	180	23.65496507	-2.877154732	COD	Democratic Republic of the Congo	1	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	NUMBER	MP																													
2017.Q2.G.01	VC_DSR_DMGEDUC	Damage to critical infrastructure, education facilities	184	-159.7711391	-21.22696458	COK	Cook Islands	1	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	NUMBER	MP																													
2017.Q2.G.01	VC_DSR_DMGEDUC	Damage to critical infrastructure, education facilities	188	-84.19712782	9.970998683	CRI	Costa Rica	1	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	NUMBER	MP	2			5	1		3		45	11	5	5	4	7	94	17	15	21	25	4	17	9	206	11	35	55.6	2014	35	UNISDR (2015). Global Assessment Report on Disaster Risk Reduction 2015, Geneva, Switzerland: United Nations Office for Disaster Risk Reduction
2017.Q2.G.01	VC_DSR_DMGEDUC	Damage to critical infrastructure, education facilities	191	17.95874553	45.45172212	HRV	Croatia	1	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	NUMBER	MP																													
2017.Q2.G.01	VC_DSR_DMGEDUC	Damage to critical infrastructure, education facilities	192	-79.54460144	22.10030366	CUB	Cuba	1	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	NUMBER	MP																													
2017.Q2.G.01	VC_DSR_DMGEDUC	Damage to critical infrastructure, education facilities	196	33.22285964	35.05659437	CYP	Cyprus	1	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	NUMBER	MP																													
2017.Q2.G.01	VC_DSR_DMGEDUC	Damage to critical infrastructure, education facilities	203	15.33151382	49.73913871	CZE	Czechia	1	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	NUMBER	MP																													
2017.Q2.G.01	VC_DSR_DMGEDUC	Damage to critical infrastructure, education facilities	204	2.339933594	9.65401646	BEN	Benin	1	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	NUMBER	MP																													
2017.Q2.G.01	VC_DSR_DMGEDUC	Damage to critical infrastructure, education facilities	208	9.326571283	56.03829721	DNK	Denmark	1	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	NUMBER	MP																													
