series.release	series.code	series.description	geoAreaCode	X	Y	ISO3CD	geoAreaName	sliceId	Freq	Units	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016	2017	last.5.years.mean	latest.year	latest.value	latest.source	latest.nature
2017.Q2.G.01	SG_GEN_PARLNT	Number of seats in national parliaments	104	96.51752295	21.19332882	MMR	Myanmar	1	ANNUAL	NUMBER												326	395	431	429	420	433	433	429.2	2017	433	Inter-Parliamentary Union (IPU), the database on Women in National Parliament, accessed February 1 of given year for annual data.	C
2017.Q2.G.01	SG_GEN_PARLNT	Number of seats in national parliaments	108	29.89080992	-3.366387428	BDI	Burundi	1	ANNUAL	NUMBER	117	118	169	179	179	179	118	118	118	118	118	106	105	105	105	105	121	121	111.4	2017	121	Inter-Parliamentary Union (IPU), the database on Women in National Parliament, accessed February 1 of given year for annual data.	C
2017.Q2.G.01	SG_GEN_PARLNT	Number of seats in national parliaments	112	28.04940161	53.54193075	BLR	Belarus	1	ANNUAL	NUMBER	110	110	97	97	97	109	110	110	110	110	110	110	110	109	109	110	110	110	109.6	2017	110	Inter-Parliamentary Union (IPU), the database on Women in National Parliament, accessed February 1 of given year for annual data.	C
2017.Q2.G.01	SG_GEN_PARLNT	Number of seats in national parliaments	116	104.922836	12.71163737	KHM	Cambodia	1	ANNUAL	NUMBER	122	122	122	122	123	123	123	123	123	123	123	123	123	123	123	123	123	123	123	2017	123	Inter-Parliamentary Union (IPU), the database on Women in National Parliament, accessed February 1 of given year for annual data.	C
2017.Q2.G.01	SG_GEN_PARLNT	Number of seats in national parliaments	120	12.7419827	5.692387031	CMR	Cameroon	1	ANNUAL	NUMBER	180	180	180	180	180	180	180	180	180	180	180	180	180	180	180	180	180	180	180	2017	180	Inter-Parliamentary Union (IPU), the database on Women in National Parliament, accessed February 1 of given year for annual data.	C
2017.Q2.G.01	SG_GEN_PARLNT	Number of seats in national parliaments	124	-101.6575058	57.72360191	CAN	Canada	1	ANNUAL	NUMBER	301	301	301	301	301	308	308	308	305	308	308	308	307	308	307	306	338	335	318.8	2017	335	Inter-Parliamentary Union (IPU), the database on Women in National Parliament, accessed February 1 of given year for annual data.	C
2017.Q2.G.01	SG_GEN_PARLNT	Number of seats in national parliaments	132	-23.63544151	15.07791834	CPV	Cabo Verde	1	ANNUAL	NUMBER	72	72	72	72	72	72	72	72	72	72	72	72	72	72	72	72	72	72	72	2017	72	Inter-Parliamentary Union (IPU), the database on Women in National Parliament, accessed February 1 of given year for annual data.	C
2017.Q2.G.01	SG_GEN_PARLNT	Number of seats in national parliaments	136	-81.16740559	19.32266656	CYM	Cayman Islands	1	ANNUAL	NUMBER																							
2017.Q2.G.01	SG_GEN_PARLNT	Number of seats in national parliaments	140	20.93559492	7.003720791	CAF	Central African Republic	1	ANNUAL	NUMBER	109	109	109	109			105	105	105	105	104		104	104				140	122	2017	140	Inter-Parliamentary Union (IPU), the database on Women in National Parliament, accessed February 1 of given year for annual data.	C
2017.Q2.G.01	SG_GEN_PARLNT	Number of seats in national parliaments	144	80.70489654	7.614693343	LKA	Sri Lanka	1	ANNUAL	NUMBER	225	225	225	225	225	225	225	225	225	225	225	225	225	225	225	225	225	225	225	2017	225	Inter-Parliamentary Union (IPU), the database on Women in National Parliament, accessed February 1 of given year for annual data.	C
2017.Q2.G.01	SG_GEN_PARLNT	Number of seats in national parliaments	148	18.66618401	15.36279341	TCD	Chad	1	ANNUAL	NUMBER	125	125	125	155	155	155	155	155	155	155	155	155	188	188	188	188	188	188	188	2017	188	Inter-Parliamentary Union (IPU), the database on Women in National Parliament, accessed February 1 of given year for annual data.	C
2017.Q2.G.01	SG_GEN_PARLNT	Number of seats in national parliaments	152	-71.23029019	-35.2652885	CHL	Chile	1	ANNUAL	NUMBER	120	120	120	120	120	120	120	120	120	120	120	120	120	120	120	120	120	120	120	2017	120	Inter-Parliamentary Union (IPU), the database on Women in National Parliament, accessed February 1 of given year for annual data.	C
2017.Q2.G.01	SG_GEN_PARLNT	Number of seats in national parliaments	156	104.1403375	32.30955217	CHN	China	1	ANNUAL	NUMBER	2979	2984	2984	2984	2985	2985	2980	2980	2963	2987	2987	2987	2978	2978	2987	2959	2959	2949	2966.4	2017	2949	Inter-Parliamentary Union (IPU), the database on Women in National Parliament, accessed February 1 of given year for annual data.	C
2017.Q2.G.01	SG_GEN_PARLNT	Number of seats in national parliaments	162	105.6426067	-10.4882473	CXR	Christmas Island	1	ANNUAL	NUMBER																							
2017.Q2.G.01	SG_GEN_PARLNT	Number of seats in national parliaments	166	96.82633757	-12.18600682	CCK	Cocos (Keeling) Islands	1	ANNUAL	NUMBER																							
2017.Q2.G.01	SG_GEN_PARLNT	Number of seats in national parliaments	170	-73.07446751	3.888209046	COL	Colombia	1	ANNUAL	NUMBER	161	161	161	166	166	166	165	166	166	166	166	166	165	165	165	166	166	166	165.6	2017	166	Inter-Parliamentary Union (IPU), the database on Women in National Parliament, accessed February 1 of given year for annual data.	C
2017.Q2.G.01	SG_GEN_PARLNT	Number of seats in national parliaments	174	43.34234565	-11.66121732	COM	Comoros	1	ANNUAL	NUMBER						33	33	33	33	33	33	33	33	33	33		33	33	33	2017	33	Inter-Parliamentary Union (IPU), the database on Women in National Parliament, accessed February 1 of given year for annual data.	C
2017.Q2.G.01	SG_GEN_PARLNT	Number of seats in national parliaments	175	45.14015057	-12.82217691	MYT	Mayotte	1	ANNUAL	NUMBER																							
2017.Q2.G.01	SG_GEN_PARLNT	Number of seats in national parliaments	178	15.22052612	-0.840544119	COG	Congo	1	ANNUAL	NUMBER	75	75	75	129	129	129	129	129	137	137	137	137	137	136	136	136	136	136	136	2017	136	Inter-Parliamentary Union (IPU), the database on Women in National Parliament, accessed February 1 of given year for annual data.	C
