series.release	series.code	series.description	geoAreaCode	X	Y	ISO3CD	geoAreaName	sliceId	Freq	Units	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	last.5.years.mean	latest.year	latest.value	latest.source
2017.Q2.G.01	IT_USE_ii99	Proportion of individuals using the Internet	92	-64.63294223	18.42256578	VGB	British Virgin Islands	1	ANNUAL	PERCENT			18.8857412653447							36	37	37.4	37.6				37.5	2012	37.6	
2017.Q2.G.01	IT_USE_ii99	Proportion of individuals using the Internet	96	114.6288563	4.49736984	BRN	Brunei Darussalam	1	ANNUAL	PERCENT	8.9962845344873	12.9177690823013	15.329879855735	19.5950032207342	29.7156041447864	36.4663919475782	42.1863491609307	44.68	46	49	53	56	60.2730650423193	64.5	68.77	71.2	64.1486130084639	2015	71.2	ITU estimate.
2017.Q2.G.01	IT_USE_ii99	Proportion of individuals using the Internet	100	25.23763153	42.75731323	BGR	Bulgaria	1	ANNUAL	PERCENT	5.370923469087	7.6122977487982	9.08	12.04	18.13	19.97	27.09	33.64	39.67	45	46.23	47.9799930506026	51.8999876658503	53.0615	55.49	56.6563	53.0175561432906	2015	56.6563	Eurostat.
2017.Q2.G.01	IT_USE_ii99	Proportion of individuals using the Internet	104	96.51752295	21.19332882	MMR	Myanmar	1	ANNUAL	PERCENT		0.0002892773808	0.0004264935064	0.0240641491408	0.0243373920028	0.0652388555011	0.1820483310612	0.21712844507	0.22	0.22	0.25	0.98	1.44	1.8	11.52	21.8	7.508	2015	21.8	ITU estimate.
2017.Q2.G.01	IT_USE_ii99	Proportion of individuals using the Internet	108	29.89080992	-3.366387428	BDI	Burundi	1	ANNUAL	PERCENT	0.0772484473835	0.1060012453632	0.1182284122678	0.2012731967359	0.3490604618796	0.5421428657591	0.6575925903519	0.7	0.81	0.9	1	1.11	1.2199999447779	1.2642181112	1.38	4.8662244635951	1.9680885039146	2015	4.8662244635951	ITU estimate.
2017.Q2.G.01	IT_USE_ii99	Proportion of individuals using the Internet	112	28.04940161	53.54193075	BLR	Belarus	1	ANNUAL	PERCENT	1.8603981261539	4.3006160215171	8.9509713146733				16.2	19.7	23	27.43	31.8	39.6488956598961	46.91	54.17	59.02	62.230360906803	52.3958513133398	2015	62.230360906803	National Statistical Committee of the Republic of Belarus (Belstat)
2017.Q2.G.01	IT_USE_ii99	Proportion of individuals using the Internet	116	104.922836	12.71163737	KHM	Cambodia	1	ANNUAL	PERCENT	0.0470226400689	0.0769560555527	0.2269832376662	0.260570197574	0.3004366443601	0.3173217810897	0.4683567200638	0.49	0.51	0.53	1.26	3.1	4.94	6.8	14	19	9.568	2015	19	ITU estimate.
2017.Q2.G.01	IT_USE_ii99	Proportion of individuals using the Internet	120	12.7419827	5.692387031	CMR	Cameroon	1	ANNUAL	PERCENT	0.2521200777337	0.2770513218488	0.3608715842678	0.5876226111305	0.9760754154909	1.4026542257596	2.0287447914719	2.93	3.4	3.84	4.3	5			16.2148722257524	20.6801476606263	13.9650066287929	2015	20.6801476606263	ITU estimate.
2017.Q2.G.01	IT_USE_ii99	Proportion of individuals using the Internet	124	-101.6575058	57.72360191	CAN	Canada	1	ANNUAL	PERCENT	51.3	60.2	61.5932992681952	64.2	65.9559634648989	71.66	72.4	73.2	76.7	80.3	80.3	83	83	85.8	87.12	88.47	85.478	2015	88.47	ITU estimate.
2017.Q2.G.01	IT_USE_ii99	Proportion of individuals using the Internet	132	-23.63544151	15.07791834	CPV	Cabo Verde	1	ANNUAL	PERCENT	1.822443851644	2.6853327127231	3.5187571749658	4.3248853905372	5.3188320695788	6.0740871065981	6.8089110075331	8.2832198195303	14	21	30	32	34.74	37.5	40.26	43.019626357101	37.5039252714202	2015	43.019626357101	ITU estimate.
2017.Q2.G.01	IT_USE_ii99	Proportion of individuals using the Internet	136	-81.16740559	19.32266656	CYM	Cayman Islands	1	ANNUAL	PERCENT						38.0343830823064	44.5	52	61	64.5	66	69.46594499	69.7	71.4	74.1	77	72.333188998	2015	77	ITU estimate.
