series.release	series.code	series.description	geoAreaCode	X	Y	ISO3CD	geoAreaName	sliceId	Freq	Units	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016	last.5.years.mean	latest.year	latest.value	latest.source	latest.nature
2017.Q2.G.01	SL_EMP_PCAP	Growth rate of real GDP per employed person	84	-88.70199554	17.19965901	BLZ	Belize	1	ANNUAL	PERCENT	5.38	-1.34	1.82	5.1	0.61	-0.7	-2.07	-4.52	-1.77	1.41	-0.66	-2.01	0.09	-5.16	-0.31	-4.01	-1.79	-2.236	2016	-1.79	ILO estimates, November 2016, available in ILOSTAT (http://www.ilo.org/ilostat) . For the specific sources by country and the estimation methodology refer to ILOSTAT directly.	M
2017.Q2.G.01	SL_EMP_PCAP	Growth rate of real GDP per employed person	86	72.38715553	-7.299281071	IOT	British Indian Ocean Territory	1	ANNUAL	PERCENT																						
2017.Q2.G.01	SL_EMP_PCAP	Growth rate of real GDP per employed person	90	160.1584117	-9.622391719	SLB	Solomon Islands	1	ANNUAL	PERCENT	-17.19	-11.34	-6.11	3.01	1.82	2.35	4.49	4.57	4.51	-6.78	3.91	10.26	2.56	0.62	-0.94	0.86	0.49	0.718	2016	0.49	ILO estimates, November 2016, available in ILOSTAT (http://www.ilo.org/ilostat) . For the specific sources by country and the estimation methodology refer to ILOSTAT directly.	M
2017.Q2.G.01	SL_EMP_PCAP	Growth rate of real GDP per employed person	92	-64.63294223	18.42256578	VGB	British Virgin Islands	1	ANNUAL	PERCENT																						
2017.Q2.G.01	SL_EMP_PCAP	Growth rate of real GDP per employed person	96	114.6288563	4.49736984	BRN	Brunei Darussalam	1	ANNUAL	PERCENT	-1.04	0.14	1.43	0.44	-1.93	-2.04	2.45	-1.97	-4.15	-3.97	0.43	1.66	-0.37	-2.75	-3.24	-1.99	-0.84	-1.838	2016	-0.84	ILO estimates, November 2016, available in ILOSTAT (http://www.ilo.org/ilostat) . For the specific sources by country and the estimation methodology refer to ILOSTAT directly.	M
2017.Q2.G.01	SL_EMP_PCAP	Growth rate of real GDP per employed person	100	25.23763153	42.75731323	BGR	Bulgaria	1	ANNUAL	PERCENT	10.25	5.72	4.97	1.84	3.25	6.86	1.99	3.03	2.38	-0.8	6.65	5.19	1.2	1.39	0.12	1.24	2.61	1.312	2016	2.61	ILO estimates, November 2016, available in ILOSTAT (http://www.ilo.org/ilostat) . For the specific sources by country and the estimation methodology refer to ILOSTAT directly.	M
2017.Q2.G.01	SL_EMP_PCAP	Growth rate of real GDP per employed person	104	96.51752295	21.19332882	MMR	Myanmar	1	ANNUAL	PERCENT	11.33	9.32	10.11	12.05	11.79	12.48	11.53	10.74	2.49	4.07	4.29	4.26	137.17	6.83	7.05	5.58	6.56	32.638	2016	6.56	ILO estimates, November 2016, available in ILOSTAT (http://www.ilo.org/ilostat) . For the specific sources by country and the estimation methodology refer to ILOSTAT directly.	M
2017.Q2.G.01	SL_EMP_PCAP	Growth rate of real GDP per employed person	108	29.89080992	-3.366387428	BDI	Burundi	1	ANNUAL	PERCENT	-2.92	-1.57	0.34	-5.36	0.38	-3.35	1.19	0.62	0.92	-0.57	-0.2	0.8	0.61	1.19	1.31	-6.81	-3.38	-1.416	2016	-3.38	ILO estimates, November 2016, available in ILOSTAT (http://www.ilo.org/ilostat) . For the specific sources by country and the estimation methodology refer to ILOSTAT directly.	M
2017.Q2.G.01	SL_EMP_PCAP	Growth rate of real GDP per employed person	112	28.04940161	53.54193075	BLR	Belarus	1	ANNUAL	PERCENT	5.32	4.39	4.73	6.74	11.16	9	9.86	8.31	9.89	0.1	7.67	5.66	1.76	1.13	1.85	-3.5	-2.04	-0.16	2016	-2.04	ILO estimates, November 2016, available in ILOSTAT (http://www.ilo.org/ilostat) . For the specific sources by country and the estimation methodology refer to ILOSTAT directly.	M
2017.Q2.G.01	SL_EMP_PCAP	Growth rate of real GDP per employed person	116	104.922836	12.71163737	KHM	Cambodia	1	ANNUAL	PERCENT	3.07	0.54	3.8	6.42	8.97	9.29	6.81	6.13	5.58	-5.61	0.54	4.05	9.01	6.73	4.85	5.01	4.98	6.116	2016	4.98	ILO estimates, November 2016, available in ILOSTAT (http://www.ilo.org/ilostat) . For the specific sources by country and the estimation methodology refer to ILOSTAT directly.	M
