series.release	series.code	series.description	geoAreaCode	X	Y	ISO3CD	geoAreaName	sliceId	Freq	Sex	Units	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016	2017	last.5.years.mean	latest.year	latest.value	latest.source	latest.nature
2017.Q2.G.01	SG_GEN_PARLN	Number of seats held by women in national parliaments	104	96.51752295	21.19332882	MMR	Myanmar	1	ANNUAL	FEMALE	NUMBER												14	14	26	24	26	43	44	32.6	2017	44	Inter-Parliamentary Union (IPU), the database on Women in National Parliament, accessed February 1 of given year for annual data.	C
2017.Q2.G.01	SG_GEN_PARLN	Number of seats held by women in national parliaments	108	29.89080992	-3.366387428	BDI	Burundi	1	ANNUAL	FEMALE	NUMBER	7	17	33	33	33	33	36	36	36	36	37	34	32	32	32	32	44	44	36.8	2017	44	Inter-Parliamentary Union (IPU), the database on Women in National Parliament, accessed February 1 of given year for annual data.	C
2017.Q2.G.01	SG_GEN_PARLN	Number of seats held by women in national parliaments	112	28.04940161	53.54193075	BLR	Belarus	1	ANNUAL	FEMALE	NUMBER	5	10	10	10	10	32	32	32	32	35	35	35	35	29	29	30	30	38	31.2	2017	38	Inter-Parliamentary Union (IPU), the database on Women in National Parliament, accessed February 1 of given year for annual data.	C
2017.Q2.G.01	SG_GEN_PARLN	Number of seats held by women in national parliaments	116	104.922836	12.71163737	KHM	Cambodia	1	ANNUAL	FEMALE	NUMBER	10	9	9	9	12	12	12	12	24	20	26	26	25	25	25	25	25	25	25	2017	25	Inter-Parliamentary Union (IPU), the database on Women in National Parliament, accessed February 1 of given year for annual data.	C
2017.Q2.G.01	SG_GEN_PARLN	Number of seats held by women in national parliaments	120	12.7419827	5.692387031	CMR	Cameroon	1	ANNUAL	FEMALE	NUMBER	10	10	10	16	16	16	16	16	25	25	25	25	25	25	56	56	56	56	49.8	2017	56	Inter-Parliamentary Union (IPU), the database on Women in National Parliament, accessed February 1 of given year for annual data.	C
2017.Q2.G.01	SG_GEN_PARLN	Number of seats held by women in national parliaments	124	-101.6575058	57.72360191	CAN	Canada	1	ANNUAL	FEMALE	NUMBER	62	62	62	62	62	65	64	64	65	68	68	68	76	76	77	77	88	88	81.2	2017	88	Inter-Parliamentary Union (IPU), the database on Women in National Parliament, accessed February 1 of given year for annual data.	C
2017.Q2.G.01	SG_GEN_PARLN	Number of seats held by women in national parliaments	132	-23.63544151	15.07791834	CPV	Cabo Verde	1	ANNUAL	FEMALE	NUMBER	8	8	8	8	8	8	11	11	13	13	13	13	15	15	15	15	15	17	15.4	2017	17	Inter-Parliamentary Union (IPU), the database on Women in National Parliament, accessed February 1 of given year for annual data.	C
2017.Q2.G.01	SG_GEN_PARLN	Number of seats held by women in national parliaments	136	-81.16740559	19.32266656	CYM	Cayman Islands	1	ANNUAL	FEMALE	NUMBER																							
2017.Q2.G.01	SG_GEN_PARLN	Number of seats held by women in national parliaments	140	20.93559492	7.003720791	CAF	Central African Republic	1	ANNUAL	FEMALE	NUMBER	8	8	8	8			11	11	11	11	10		13	13				12	12.5	2017	12	Inter-Parliamentary Union (IPU), the database on Women in National Parliament, accessed February 1 of given year for annual data.	C
2017.Q2.G.01	SG_GEN_PARLN	Number of seats held by women in national parliaments	144	80.70489654	7.614693343	LKA	Sri Lanka	1	ANNUAL	FEMALE	NUMBER	11	10	10	10	10	11	11	11	13	13	13	12	13	13	13	13	13	13	13	2017	13	Inter-Parliamentary Union (IPU), the database on Women in National Parliament, accessed February 1 of given year for annual data.	C
2017.Q2.G.01	SG_GEN_PARLN	Number of seats held by women in national parliaments	148	18.66618401	15.36279341	TCD	Chad	1	ANNUAL	FEMALE	NUMBER	3	3	3	9	9	10	10	10	8	8	8	8	24	28	28	28	28	24	27.2	2017	24	Inter-Parliamentary Union (IPU), the database on Women in National Parliament, accessed February 1 of given year for annual data.	C
2017.Q2.G.01	SG_GEN_PARLN	Number of seats held by women in national parliaments	152	-71.23029019	-35.2652885	CHL	Chile	1	ANNUAL	FEMALE	NUMBER	13	13	15	15	15	15	18	18	18	18	17	17	17	17	19	19	19	19	18.6	2017	19	Inter-Parliamentary Union (IPU), the database on Women in National Parliament, accessed February 1 of given year for annual data.	C
2017.Q2.G.01	SG_GEN_PARLN	Number of seats held by women in national parliaments	156	104.1403375	32.30955217	CHN	China	1	ANNUAL	FEMALE	NUMBER	650	650	650	650	604	604	604	604	611	637	637	637	635	635	699	699	699	699	686.2	2017	699	Inter-Parliamentary Union (IPU), the database on Women in National Parliament, accessed February 1 of given year for annual data.	C
2017.Q2.G.01	SG_GEN_PARLN	Number of seats held by women in national parliaments	162	105.6426067	-10.4882473	CXR	Christmas Island	1	ANNUAL	FEMALE	NUMBER																							
2017.Q2.G.01	SG_GEN_PARLN	Number of seats held by women in national parliaments	166	96.82633757	-12.18600682	CCK	Cocos (Keeling) Islands	1	ANNUAL	FEMALE	NUMBER																							
2017.Q2.G.01	SG_GEN_PARLN	Number of seats held by women in national parliaments	170	-73.07446751	3.888209046	COL	Colombia	1	ANNUAL	FEMALE	NUMBER	19	19	19	20	20	20	20	14	14	14	14	21	20	20	20	33	33	31	27.4	2017	31	Inter-Parliamentary Union (IPU), the database on Women in National Parliament, accessed February 1 of given year for annual data.	C
2017.Q2.G.01	SG_GEN_PARLN	Number of seats held by women in national parliaments	174	43.34234565	-11.66121732	COM	Comoros	1	ANNUAL	FEMALE	NUMBER						1	1	1	1	1	1	1	1	1	1		1	2	1.25	2017	2	Inter-Parliamentary Union (IPU), the database on Women in National Parliament, accessed February 1 of given year for annual data.	C
2017.Q2.G.01	SG_GEN_PARLN	Number of seats held by women in national parliaments	175	45.14015057	-12.82217691	MYT	Mayotte	1	ANNUAL	FEMALE	NUMBER																							
2017.Q2.G.01	SG_GEN_PARLN	Number of seats held by women in national parliaments	178	15.22052612	-0.840544119	COG	Congo	1	ANNUAL	FEMALE	NUMBER	9	9	9	12	11	11	11	11	10	10	10	10	10	10	10	10	10	10	10	2017	10	Inter-Parliamentary Union (IPU), the database on Women in National Parliament, accessed February 1 of given year for annual data.	C
2017.Q2.G.01	SG_GEN_PARLN	Number of seats held by women in national parliaments	180	23.65496507	-2.877154732	COD	Democratic Republic of the Congo	1	ANNUAL	FEMALE	NUMBER					60	60	60	42	42	42	42	42	44	44	53	44	44	44	45.8	2017	44	Inter-Parliamentary Union (IPU), the database on Women in National Parliament, accessed February 1 of given year for annual data.	C
2017.Q2.G.01	SG_GEN_PARLN	Number of seats held by women in national parliaments	184	-159.7711391	-21.22696458	COK	Cook Islands	1	ANNUAL	FEMALE	NUMBER																							
2017.Q2.G.01	SG_GEN_PARLN	Number of seats held by women in national parliaments	188	-84.19712782	9.970998683	CRI	Costa Rica	1	ANNUAL	FEMALE	NUMBER	11	11	11	20	20	20	20	22	21	21	21	22	22	22	22	19	19	20	20.4	2017	20	Inter-Parliamentary Union (IPU), the database on Women in National Parliament, accessed February 1 of given year for annual data.	C
2017.Q2.G.01	SG_GEN_PARLN	Number of seats held by women in national parliaments	191	17.95874553	45.45172212	HRV	Croatia	1	ANNUAL	FEMALE	NUMBER	0	31	31	31	27	33	33	33	32	32	36	36	36	36	36	39	23	30	32.8	2017	30	Inter-Parliamentary Union (IPU), the database on Women in National Parliament, accessed February 1 of given year for annual data.	C
2017.Q2.G.01	SG_GEN_PARLN	Number of seats held by women in national parliaments	192	-79.54460144	22.10030366	CUB	Cuba	1	ANNUAL	FEMALE	NUMBER	166	166	166	219	219	219	219	219	265	265	265	265	265	265	299	299	299	299	292.2	2017	299	Inter-Parliamentary Union (IPU), the database on Women in National Parliament, accessed February 1 of given year for annual data.	C
2017.Q2.G.01	SG_GEN_PARLN	Number of seats held by women in national parliaments	196	33.22285964	35.05659437	CYP	Cyprus	1	ANNUAL	FEMALE	NUMBER	3	4	6	6	6	9	9	8	8	8	7	7	6	6	7	7	7	10	7.4	2017	10	Inter-Parliamentary Union (IPU), the database on Women in National Parliament, accessed February 1 of given year for annual data.	C
2017.Q2.G.01	SG_GEN_PARLN	Number of seats held by women in national parliaments	203	15.33151382	49.73913871	CZE	Czechia	1	ANNUAL	FEMALE	NUMBER	30	30	30	34	34	34	34	31	31	31	31	44	44	44	39	38	40	40	40.2	2017	40	Inter-Parliamentary Union (IPU), the database on Women in National Parliament, accessed February 1 of given year for annual data.	C
2017.Q2.G.01	SG_GEN_PARLN	Number of seats held by women in national parliaments	204	2.339933594	9.65401646	BEN	Benin	1	ANNUAL	FEMALE	NUMBER	5	5	5	5	6	6	6	6	9	9	9	9	7	7	7	7	6	6	6.6	2017	6	Inter-Parliamentary Union (IPU), the database on Women in National Parliament, accessed February 1 of given year for annual data.	C
2017.Q2.G.01	SG_GEN_PARLN	Number of seats held by women in national parliaments	208	9.326571283	56.03829721	DNK	Denmark	1	ANNUAL	FEMALE	NUMBER	67	67	68	68	68	68	66	66	68	68	68	68	70	70	70	68	67	67	68.4	2017	67	Inter-Parliamentary Union (IPU), the database on Women in National Parliament, accessed February 1 of given year for annual data.	C
2017.Q2.G.01	SG_GEN_PARLN	Number of seats held by women in national parliaments	212	-61.3493756	15.43391378	DMA	Dominica	1	ANNUAL	FEMALE	NUMBER	6	6	6	6	6	6	4	4	5	6	4	4	4	4	4	7	7	8	6	2017	8	Inter-Parliamentary Union (IPU), the database on Women in National Parliament, accessed February 1 of given year for annual data.	C
