series.release	series.code	series.description	geoAreaCode	X	Y	ISO3CD	geoAreaName	sliceId	Freq	Units	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	last.5.years.mean	latest.year	latest.value	latest.source	latest.nature
2017.Q2.G.01	DC_ODA_BDVDL	Total official development assistance for biodiversity, by donor	203	15.33151382	49.73913871	CZE	Czechia	1	ANNUAL	CON_USD										0.285224	4.333768	3.245639	3.867408	2.957642	2.9379362	2015	2.957642		
2017.Q2.G.01	DC_ODA_BDVDL	Total official development assistance for biodiversity, by donor	204	2.339933594	9.65401646	BEN	Benin	1	ANNUAL	CON_USD																			
2017.Q2.G.01	DC_ODA_BDVDL	Total official development assistance for biodiversity, by donor	208	9.326571283	56.03829721	DNK	Denmark	1	ANNUAL	CON_USD	92.66	86.23096	151.9419	169.6001	144.5721	95.05634	136.9126	104.6145	223.3379	136.8354	106.5792	211.8883	313.3787	156.915	185.11932	2015	156.915		
2017.Q2.G.01	DC_ODA_BDVDL	Total official development assistance for biodiversity, by donor	212	-61.3493756	15.43391378	DMA	Dominica	1	ANNUAL	CON_USD																			
2017.Q2.G.01	DC_ODA_BDVDL	Total official development assistance for biodiversity, by donor	214	-70.49847576	18.89832088	DOM	Dominican Republic	1	ANNUAL	CON_USD																			
2017.Q2.G.01	DC_ODA_BDVDL	Total official development assistance for biodiversity, by donor	218	-78.37005241	-1.447785891	ECU	Ecuador	1	ANNUAL	CON_USD																			
2017.Q2.G.01	DC_ODA_BDVDL	Total official development assistance for biodiversity, by donor	222	-88.86862995	13.73603564	SLV	El Salvador	1	ANNUAL	CON_USD																			
2017.Q2.G.01	DC_ODA_BDVDL	Total official development assistance for biodiversity, by donor	226	10.46535826	1.565792376	GNQ	Equatorial Guinea	1	ANNUAL	CON_USD																			
2017.Q2.G.01	DC_ODA_BDVDL	Total official development assistance for biodiversity, by donor	231	39.63505296	8.631223181	ETH	Ethiopia	1	ANNUAL	CON_USD																			
2017.Q2.G.01	DC_ODA_BDVDL	Total official development assistance for biodiversity, by donor	232	38.11074289	16.12894644	ERI	Eritrea	1	ANNUAL	CON_USD																			
2017.Q2.G.01	DC_ODA_BDVDL	Total official development assistance for biodiversity, by donor	233	25.84093481	58.68487172	EST	Estonia	1	ANNUAL	CON_USD																			
2017.Q2.G.01	DC_ODA_BDVDL	Total official development assistance for biodiversity, by donor	234	-7.122044325	62.21228119	FRO	Faroe Islands	1	ANNUAL	CON_USD																			
2017.Q2.G.01	DC_ODA_BDVDL	Total official development assistance for biodiversity, by donor	238	-58.75246778	-51.74562601	FLK	Falkland Islands (Malvinas)	1	ANNUAL	CON_USD																			
2017.Q2.G.01	DC_ODA_BDVDL	Total official development assistance for biodiversity, by donor	239	-36.90662765	-54.20736749	SGS	South Georgia and the South Sandwich Islands	1	ANNUAL	CON_USD																			
2017.Q2.G.01	DC_ODA_BDVDL	Total official development assistance for biodiversity, by donor	242	177.9660884	-17.83301566	FJI	Fiji	1	ANNUAL	CON_USD																			
2017.Q2.G.01	DC_ODA_BDVDL	Total official development assistance for biodiversity, by donor	246	23.308447	61.91586738	FIN	Finland	1	ANNUAL	CON_USD	13.69173	4.138005	17.32761	3.043057	3.379314	47.88468	112.5844	104.7374	111.5392	168.7302	39.63069	16.94631	12.20921	19.34845	51.372972	2015	19.34845		
2017.Q2.G.01	DC_ODA_BDVDL	Total official development assistance for biodiversity, by donor	248	19.80945969	60.1544901	ALA	Åland Islands	1	ANNUAL	CON_USD																			
2017.Q2.G.01	DC_ODA_BDVDL	Total official development assistance for biodiversity, by donor	250	2.457288129	46.62660861	FRA	France	1	ANNUAL	CON_USD	101.8831	61.65801	107.0744	65.718	127.8233	147.5865	179.8414	205.9575	391.9988	270.1992	458.4659	211.7118	597.1323	1598.112	627.12424	2015	1598.112		
2017.Q2.G.01	DC_ODA_BDVDL	Total official development assistance for biodiversity, by donor	254	-53.23619089	3.922673437	GUF	French Guiana	1	ANNUAL	CON_USD																			
2017.Q2.G.01	DC_ODA_BDVDL	Total official development assistance for biodiversity, by donor	258	-149.4052367	-17.67709294	PYF	French Polynesia	1	ANNUAL	CON_USD																			
2017.Q2.G.01	DC_ODA_BDVDL	Total official development assistance for biodiversity, by donor	260	69.64849091	-49.6068576	ATF	French Southern Territories	1	ANNUAL	CON_USD																			
2017.Q2.G.01	DC_ODA_BDVDL	Total official development assistance for biodiversity, by donor	262	42.18274707	11.56004161	DJI	Djibouti	1	ANNUAL	CON_USD																			
2017.Q2.G.01	DC_ODA_BDVDL	Total official development assistance for biodiversity, by donor	266	11.78727747	-0.60687619	GAB	Gabon	1	ANNUAL	CON_USD																			
2017.Q2.G.01	DC_ODA_BDVDL	Total official development assistance for biodiversity, by donor	268	43.3713615	42.04813028	GEO	Georgia	1	ANNUAL	CON_USD																			
2017.Q2.G.01	DC_ODA_BDVDL	Total official development assistance for biodiversity, by donor	270	-15.39944785	13.45295927	GMB	Gambia	1	ANNUAL	CON_USD																			
2017.Q2.G.01	DC_ODA_BDVDL	Total official development assistance for biodiversity, by donor	275	35.25694122	31.94347933	PSE	State of Palestine	1	ANNUAL	CON_USD																			
2017.Q2.G.01	DC_ODA_BDVDL	Total official development assistance for biodiversity, by donor	276	10.3806066	51.08862743	DEU	Germany	1	ANNUAL	CON_USD	219.9403	181.4162	250.6821	289.7707	280.2737	221.395	244.0368	333.633	531.382	1046.602	887.0018	868.3659	1047.51	1165.635	1003.02294	2015	1165.635		
2017.Q2.G.01	DC_ODA_BDVDL	Total official development assistance for biodiversity, by donor	288	-1.205623522	7.964825185	GHA	Ghana	1	ANNUAL	CON_USD																			
2017.Q2.G.01	DC_ODA_BDVDL	Total official development assistance for biodiversity, by donor	292	-5.347561686	36.13895036	GIB	Gibraltar	1	ANNUAL	CON_USD																			
2017.Q2.G.01	DC_ODA_BDVDL	Total official development assistance for biodiversity, by donor	296	-157.5643005	1.768837732	KIR	Kiribati	1	ANNUAL	CON_USD																			
2017.Q2.G.01	DC_ODA_BDVDL	Total official development assistance for biodiversity, by donor	300	22.58307827	39.47301873	GRC	Greece	1	ANNUAL	CON_USD	2.433379	6.380813	4.444279	4.206123	1.987395	3.027486	3.277268	6.668559	3.488637		0.445212	0.103765	0.209299	0.194325	0.23815025	2015	0.194325		
2017.Q2.G.01	DC_ODA_BDVDL	Total official development assistance for biodiversity, by donor	304	-41.39371316	74.75625681	GRL	Greenland	1	ANNUAL	CON_USD																			
2017.Q2.G.01	DC_ODA_BDVDL	Total official development assistance for biodiversity, by donor	308	-61.68248568	12.11238395	GRD	Grenada	1	ANNUAL	CON_USD																			
2017.Q2.G.01	DC_ODA_BDVDL	Total official development assistance for biodiversity, by donor	312	-61.64762115	16.14416917	GLP	Guadeloupe	1	ANNUAL	CON_USD																			
2017.Q2.G.01	DC_ODA_BDVDL	Total official development assistance for biodiversity, by donor	316	144.7029305	13.35485404	GUM	Guam	1	ANNUAL	CON_USD																			
2017.Q2.G.01	DC_ODA_BDVDL	Total official development assistance for biodiversity, by donor	320	-91.2312746	15.00273719	GTM	Guatemala	1	ANNUAL	CON_USD																			
2017.Q2.G.01	DC_ODA_BDVDL	Total official development assistance for biodiversity, by donor	324	-11.28173419	11.00210343	GIN	Guinea	1	ANNUAL	CON_USD																			
