series.release	series.code	series.description	geoAreaCode	X	Y	ISO3CD	geoAreaName	sliceId	Freq	Units	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016	last.5.years.mean	latest.year	latest.value	latest.source	latest.nature
2017.Q2.G.01	DC_ODA_TOTL	Net official development assistance (ODA) from OECD-DAC countries, by donor	178	15.22052612	-0.840544119	COG	Congo	1	ANNUAL	CON_USD																						
2017.Q2.G.01	DC_ODA_TOTL	Net official development assistance (ODA) from OECD-DAC countries, by donor	180	23.65496507	-2.877154732	COD	Democratic Republic of the Congo	1	ANNUAL	CON_USD																						
2017.Q2.G.01	DC_ODA_TOTL	Net official development assistance (ODA) from OECD-DAC countries, by donor	184	-159.7711391	-21.22696458	COK	Cook Islands	1	ANNUAL	CON_USD																						
2017.Q2.G.01	DC_ODA_TOTL	Net official development assistance (ODA) from OECD-DAC countries, by donor	188	-84.19712782	9.970998683	CRI	Costa Rica	1	ANNUAL	CON_USD																						
2017.Q2.G.01	DC_ODA_TOTL	Net official development assistance (ODA) from OECD-DAC countries, by donor	191	17.95874553	45.45172212	HRV	Croatia	1	ANNUAL	CON_USD																						
2017.Q2.G.01	DC_ODA_TOTL	Net official development assistance (ODA) from OECD-DAC countries, by donor	192	-79.54460144	22.10030366	CUB	Cuba	1	ANNUAL	CON_USD																						
2017.Q2.G.01	DC_ODA_TOTL	Net official development assistance (ODA) from OECD-DAC countries, by donor	196	33.22285964	35.05659437	CYP	Cyprus	1	ANNUAL	CON_USD																						
2017.Q2.G.01	DC_ODA_TOTL	Net official development assistance (ODA) from OECD-DAC countries, by donor	203	15.33151382	49.73913871	CZE	Czechia	1	ANNUAL	CON_USD	33	50.7	73	123.6	129.8	150.9	168.2	162.3	189.4	174.1	188.1	191.7	183.2	173.6	180.9	199	257.3	198.8	2016	257.3		
2017.Q2.G.01	DC_ODA_TOTL	Net official development assistance (ODA) from OECD-DAC countries, by donor	204	2.339933594	9.65401646	BEN	Benin	1	ANNUAL	CON_USD																						
2017.Q2.G.01	DC_ODA_TOTL	Net official development assistance (ODA) from OECD-DAC countries, by donor	208	9.326571283	56.03829721	DNK	Denmark	1	ANNUAL	CON_USD	2673.9	2635.3	2452.9	2144.8	2228.9	2245.5	2311.8	2368.4	2362.5	2437.3	2536.9	2453.6	2378.1	2486.3	2531.7	2565.6	2370.3	2466.4	2016	2370.3		
2017.Q2.G.01	DC_ODA_TOTL	Net official development assistance (ODA) from OECD-DAC countries, by donor	212	-61.3493756	15.43391378	DMA	Dominica	1	ANNUAL	CON_USD																						
2017.Q2.G.01	DC_ODA_TOTL	Net official development assistance (ODA) from OECD-DAC countries, by donor	214	-70.49847576	18.89832088	DOM	Dominican Republic	1	ANNUAL	CON_USD																						
2017.Q2.G.01	DC_ODA_TOTL	Net official development assistance (ODA) from OECD-DAC countries, by donor	218	-78.37005241	-1.447785891	ECU	Ecuador	1	ANNUAL	CON_USD																						
2017.Q2.G.01	DC_ODA_TOTL	Net official development assistance (ODA) from OECD-DAC countries, by donor	222	-88.86862995	13.73603564	SLV	El Salvador	1	ANNUAL	CON_USD																						
2017.Q2.G.01	DC_ODA_TOTL	Net official development assistance (ODA) from OECD-DAC countries, by donor	226	10.46535826	1.565792376	GNQ	Equatorial Guinea	1	ANNUAL	CON_USD																						
