series.release	series.code	series.description	geoAreaCode	X	Y	ISO3CD	geoAreaName	sliceId	Freq	Units	1990	1991	1992	1993	1994	1995	1996	1997	1998	1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	last.5.years.mean	latest.year	latest.value	latest.source	latest.nature
2017.Q2.G.01	DT_TDS_DECT	Debt service as a proportion of exports of goods and services	108	29.89080992	-3.366387428	BDI	Burundi	1	ANNUAL	PERCENT	41.67675915795	29.56605558956	35.33569248708	35.47003561689	38.97918285932	27.27450949911	53.35286759569	30.16739757084	41.30435933261	46.16755404193	38.07282572378	31.3544768078	73.57055788272	47.18527281187	101.88967773255	34.54856480595	11.74312192201	5.77331774303	2.20965796119	1.41732053644	1.50837713912	2.29149898514	7.22802065693	14.77256633561	10.71952692626	13.31245590425	9.664813761638	2015	13.31245590425		
2017.Q2.G.01	DT_TDS_DECT	Debt service as a proportion of exports of goods and services	112	28.04940161	53.54193075	BLR	Belarus	1	ANNUAL	PERCENT				0.64400723864	4.15261233209	3.35922974768	1.60408729807	1.70081461995	1.92197018613	3.37807024375	3.61965080936	2.97727793186	2.32636191269	1.91962971711	1.62124285573	1.36254779804	1.09194669943	1.1837375914	1.00296115518	2.36518291381	2.20988089247	3.94924654069	7.42332115593	7.49227809116	9.18741360939	11.09741118726	7.829934116886	2015	11.09741118726		
2017.Q2.G.01	DT_TDS_DECT	Debt service as a proportion of exports of goods and services	116	104.922836	12.71163737	KHM	Cambodia	1	ANNUAL	PERCENT			3.82813494589	9.58795881312	0.15224153705	0.67259168454	0.9105006105	0.87297238053	0.94528284468	1.13504729578	0.66235817966	0.85784540973	0.8425316529	0.94727138907	0.79843043807	0.72559964614	0.57250999214	0.57115962874	0.75451774816	0.93912776545	0.99344517359	0.91586328377	1.00378149145	1.19532736315	1.18066220181	1.09218940088	1.077564748212	2015	1.09218940088		
2017.Q2.G.01	DT_TDS_DECT	Debt service as a proportion of exports of goods and services	120	12.7419827	5.692387031	CMR	Cameroon	1	ANNUAL	PERCENT	13.00238559956	12.33178052224	11.22392255972	18.56807137482	16.78456634038	17.2305054479	18.42519992275	17.27400478906	17.9471270142	16.56737307579	14.29250083662	9.59798076007	8.83114733925	8.72029243931	7.22350909609	10.00086379353	8.27759987138	2.31704073128	0.81207230159	1.34417080068	0.91218903947	1.07551910795	1.66136815408	1.86008433791	2.64132122586	3.04125730005	2.05591002517	2015	3.04125730005		
2017.Q2.G.01	DT_TDS_DECT	Debt service as a proportion of exports of goods and services	124	-101.6575058	57.72360191	CAN	Canada	1	ANNUAL	PERCENT																															
2017.Q2.G.01	DT_TDS_DECT	Debt service as a proportion of exports of goods and services	132	-23.63544151	15.07791834	CPV	Cabo Verde	1	ANNUAL	PERCENT	8.89426821917	14.51994264859	18.58570616589	12.08427524741	14.027759977	10.2780829192	7.44939071053	10.45546707332	16.02991110539	14.93038006331	11.43832841196	8.17483699398	11.85922812741	7.26372283308	7.93065700449	9.57641685975	6.4269534123	4.97489186606	4.24748788523	5.69317351171	5.55661222765	4.94699096888	4.5675004269	4.6313908078	4.77320432833	6.16549185313	5.016915677008	2015	6.16549185313		
2017.Q2.G.01	DT_TDS_DECT	Debt service as a proportion of exports of goods and services	136	-81.16740559	19.32266656	CYM	Cayman Islands	1	ANNUAL	PERCENT																															
2017.Q2.G.01	DT_TDS_DECT	Debt service as a proportion of exports of goods and services	140	20.93559492	7.003720791	CAF	Central African Republic	1	ANNUAL	PERCENT	12.49332356993	7.42038805403	8.18194766142	3.78137364786	11.82351408213							19.95496059052	27.5405371952	30.61821491257	27.09359605911	16.12058429843	19.56095461285	15.19071863784	20.00366199762	11.05128931709	4.56309437503	3.72376438727	9.13780397937	9.0681248576	7.84848200019	9.21285750443	7.798206545772	2015	9.21285750443		
2017.Q2.G.01	DT_TDS_DECT	Debt service as a proportion of exports of goods and services	144	80.70489654	7.614693343	LKA	Sri Lanka	1	ANNUAL	PERCENT	14.8157192549	15.13338652178	14.56355730121	11.16389502821	9.62678621202	8.77617536577	8.66905875217	8.29359635428	8.78048557533	11.72082086078	10.85163333324	9.6270984569	9.43223058299	7.78948857924	8.95575064242	4.56477025454	9.74553098278	7.59236336467	10.57864750094	13.29807882531	10.71746468615	7.83029539298	13.32491490666	11.93140138195	24.24252143892	16.96843687758	14.859513999618	2015	16.96843687758		
2017.Q2.G.01	DT_TDS_DECT	Debt service as a proportion of exports of goods and services	148	18.66618401	15.36279341	TCD	Chad	1	ANNUAL	PERCENT	3.70872340409	3.64261863661	3.61974711677	6.21100967933	7.83127489456				8	12.2572476963	14.27737073112	5.18750178121	9.92821777898	6.57896140289	1.81764599993	1.62945743109	1.82740847593	1.46821793515	3.52923260759	1.99135394863	1.53444555374	2.20786112157	3.21716730005	3.95256859208	10.07793637483	7.32286250709	5.355679179124	2015	7.32286250709		
