geoAreaCode	sliceId	Age	Freq	Location	Sex	Units	Bounds	X	Y	OBJECTID	ISO3CD	geoAreaName	years	value
203	1	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	Ratio	MP	15.33151382	49.73913871	60	CZE	Czechia	2012-2016	
204	1	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	Ratio	MP	2.339933594	9.65401646	22	BEN	Benin	2012-2016	
208	1	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	Ratio	MP	9.326571283	56.03829721	64	DNK	Denmark	2012-2016	
212	1	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	Ratio	MP	-61.3493756	15.43391378	63	DMA	Dominica	2012-2016	
214	1	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	Ratio	MP	-70.49847576	18.89832088	65	DOM	Dominican Republic	2012-2016	
218	1	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	Ratio	MP	-78.37005241	-1.447785891	67	ECU	Ecuador	2012-2016	1.056182
222	1	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	Ratio	MP	-88.86862995	13.73603564	206	SLV	El Salvador	2012-2016	
226	1	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	Ratio	MP	10.46535826	1.565792376	90	GNQ	Equatorial Guinea	2012-2016	
231	1	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	Ratio	MP	39.63505296	8.631223181	73	ETH	Ethiopia	2012-2016	
232	1	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	Ratio	MP	38.11074289	16.12894644	69	ERI	Eritrea	2012-2016	
233	1	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	Ratio	MP	25.84093481	58.68487172	72	EST	Estonia	2012-2016	
234	1	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	Ratio	MP	-7.122044325	62.21228119	78	FRO	Faroe Islands	2012-2016	
238	1	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	Ratio	MP	-58.75246778	-51.74562601	76	FLK	Falkland Islands (Malvinas)	2012-2016	
239	1	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	Ratio	MP	-36.90662765	-54.20736749	201	SGS	South Georgia and the South Sandwich Islands	2012-2016	
242	1	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	Ratio	MP	177.9660884	-17.83301566	75	FJI	Fiji	2012-2016	
246	1	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	Ratio	MP	23.308447	61.91586738	74	FIN	Finland	2012-2016	
248	1	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	Ratio	MP	19.80945969	60.1544901	5	ALA	Åland Islands	2012-2016	
250	1	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	Ratio	MP	2.457288129	46.62660861	77	FRA	France	2012-2016	
254	1	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	Ratio	MP	-53.23619089	3.922673437	95	GUF	French Guiana	2012-2016	
258	1	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	Ratio	MP	-149.4052367	-17.67709294	191	PYF	French Polynesia	2012-2016	
260	1	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	Ratio	MP	69.64849091	-49.6068576	14	ATF	French Southern Territories	2012-2016	
262	1	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	Ratio	MP	42.18274707	11.56004161	62	DJI	Djibouti	2012-2016	
266	1	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	Ratio	MP	11.78727747	-0.60687619	80	GAB	Gabon	2012-2016	
268	1	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	Ratio	MP	43.3713615	42.04813028	82	GEO	Georgia	2012-2016	
270	1	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	Ratio	MP	-15.39944785	13.45295927	88	GMB	Gambia	2012-2016	1.043812
275	1	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	Ratio	MP	35.25694122	31.94347933	189	PSE	State of Palestine	2012-2016	
276	1	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	Ratio	MP	10.3806066	51.08862743	61	DEU	Germany	2012-2016	
288	1	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	Ratio	MP	-1.205623522	7.964825185	84	GHA	Ghana	2012-2016	1.387196
292	1	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	Ratio	MP	-5.347561686	36.13895036	85	GIB	Gibraltar	2012-2016	
296	1	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	Ratio	MP	-157.5643005	1.768837732	122	KIR	Kiribati	2012-2016	
300	1	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	Ratio	MP	22.58307827	39.47301873	91	GRC	Greece	2012-2016	
304	1	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	Ratio	MP	-41.39371316	74.75625681	93	GRL	Greenland	2012-2016	
308	1	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	Ratio	MP	-61.68248568	12.11238395	92	GRD	Grenada	2012-2016	
312	1	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	Ratio	MP	-61.64762115	16.14416917	87	GLP	Guadeloupe	2012-2016	
316	1	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	Ratio	MP	144.7029305	13.35485404	96	GUM	Guam	2012-2016	
320	1	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	Ratio	MP	-91.2312746	15.00273719	94	GTM	Guatemala	2012-2016	
324	1	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	Ratio	MP	-11.28173419	11.00210343	86	GIN	Guinea	2012-2016	
328	1	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	Ratio	MP	-58.97322037	4.788012784	97	GUY	Guyana	2012-2016	
332	1	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	Ratio	MP	-72.33640958	18.40426539	102	HTI	Haiti	2012-2016	
334	1	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	Ratio	MP	73.52633626	-53.09106147	99	HMD	Heard Island and McDonald Islands	2012-2016	
336	1	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	Ratio	MP	12.45315803	41.90343751	250	VAT	Holy See	2012-2016	
340	1	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	Ratio	MP	-86.59974381	14.82243161	100	HND	Honduras	2012-2016	
344	1	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	Ratio	MP	114.0266445	22.41749934	98	HKG	China, Hong Kong Special Administrative Region	2012-2016	
348	1	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	Ratio	MP	19.41221519	47.1651448	103	HUN	Hungary	2012-2016	
352	1	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	Ratio	MP	-19.02116966	64.79134763	111	ISL	Iceland	2012-2016	
356	1	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	Ratio	MP	79.3608464	22.34642074	106	IND	India	2012-2016	
360	1	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	Ratio	MP	113.9174	-0.994582204	104	IDN	Indonesia	2012-2016	
364	1	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	Ratio	MP	54.19766348	32.74370885	109	IRN	Iran (Islamic Republic of)	2012-2016	
368	1	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	Ratio	MP	43.76606267	33.05013795	110	IRQ	Iraq	2012-2016	
372	1	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	Ratio	MP	-7.121425272	53.25274054	108	IRL	Ireland	2012-2016	
376	1	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	Ratio	MP	34.62277992	31.06164552	112	ISR	Israel	2012-2016	
380	1	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	Ratio	MP	12.57022427	42.79917282	113	ITA	Italy	2012-2016	
384	1	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	Ratio	MP	-5.552690016	7.62211586	46	CIV	Côte d'Ivoire	2012-2016	
388	1	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	Ratio	MP	-77.31068409	18.15616857	114	JAM	Jamaica	2012-2016	
392	1	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	Ratio	MP	139.2716103	36.6554539	117	JPN	Japan	2012-2016	
398	1	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	Ratio	MP	66.65359159	48.01963494	118	KAZ	Kazakhstan	2012-2016	
400	1	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	Ratio	MP	37.13024774	30.65365973	116	JOR	Jordan	2012-2016	
404	1	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	Ratio	MP	37.86096816	0.534797278	119	KEN	Kenya	2012-2016	
408	1	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	Ratio	MP	127.1803633	40.1462645	183	PRK	Democratic People's Republic of Korea	2012-2016	
410	1	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	Ratio	MP	127.8610254	36.45201023	124	KOR	Republic of Korea	2012-2016	
414	1	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	Ratio	MP	47.49305029	29.53949468	125	KWT	Kuwait	2012-2016	
417	1	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	Ratio	MP	74.52324839	41.46204516	120	KGZ	Kyrgyzstan	2012-2016	
418	1	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	Ratio	MP	101.9901968	20.27482773	126	LAO	Lao People's Democratic Republic	2012-2016	
422	1	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	Ratio	MP	35.89391711	33.92152458	127	LBN	Lebanon	2012-2016	
