series.release	series.code	series.description	geoAreaCode	X	Y	ISO3CD	geoAreaName	sliceId	Freq	Units	2010	2015	latest.year	latest.value	latest.source	latest.nature
2017.Q2.G.01	AG_LND_FRSTPRCT	Proportion of forest area within legally established protected areas	124	-101.6575058	57.72360191	CAN	Canada	1	ANNUAL	PERCENT	6.8932	6.8932	2015	6.8932	Official submission of country data to FAO Global Forest Resources Assessment	C
2017.Q2.G.01	AG_LND_FRSTPRCT	Proportion of forest area within legally established protected areas	132	-23.63544151	15.07791834	CPV	Cabo Verde	1	ANNUAL	PERCENT	3.8441	3.8441	2015	3.8441	Official submission of country data to FAO Global Forest Resources Assessment	C
2017.Q2.G.01	AG_LND_FRSTPRCT	Proportion of forest area within legally established protected areas	136	-81.16740559	19.32266656	CYM	Cayman Islands	1	ANNUAL	PERCENT						
2017.Q2.G.01	AG_LND_FRSTPRCT	Proportion of forest area within legally established protected areas	140	20.93559492	7.003720791	CAF	Central African Republic	1	ANNUAL	PERCENT	1.1141	1.1141	2015	1.1141	Official submission of country data to FAO Global Forest Resources Assessment	C
2017.Q2.G.01	AG_LND_FRSTPRCT	Proportion of forest area within legally established protected areas	144	80.70489654	7.614693343	LKA	Sri Lanka	1	ANNUAL	PERCENT						
2017.Q2.G.01	AG_LND_FRSTPRCT	Proportion of forest area within legally established protected areas	148	18.66618401	15.36279341	TCD	Chad	1	ANNUAL	PERCENT						
2017.Q2.G.01	AG_LND_FRSTPRCT	Proportion of forest area within legally established protected areas	152	-71.23029019	-35.2652885	CHL	Chile	1	ANNUAL	PERCENT	22.5092	20.8458	2015	20.8458	Official submission of country data to FAO Global Forest Resources Assessment	C
2017.Q2.G.01	AG_LND_FRSTPRCT	Proportion of forest area within legally established protected areas	156	104.1403375	32.30955217	CHN	China	1	ANNUAL	PERCENT	12.971	13.4873	2015	13.4873	Official submission of country data to FAO Global Forest Resources Assessment	C
2017.Q2.G.01	AG_LND_FRSTPRCT	Proportion of forest area within legally established protected areas	162	105.6426067	-10.4882473	CXR	Christmas Island	1	ANNUAL	PERCENT						
2017.Q2.G.01	AG_LND_FRSTPRCT	Proportion of forest area within legally established protected areas	166	96.82633757	-12.18600682	CCK	Cocos (Keeling) Islands	1	ANNUAL	PERCENT						
2017.Q2.G.01	AG_LND_FRSTPRCT	Proportion of forest area within legally established protected areas	170	-73.07446751	3.888209046	COL	Colombia	1	ANNUAL	PERCENT	16.9392	17.988	2015	17.988	Official submission of country data to FAO Global Forest Resources Assessment	C
2017.Q2.G.01	AG_LND_FRSTPRCT	Proportion of forest area within legally established protected areas	174	43.34234565	-11.66121732	COM	Comoros	1	ANNUAL	PERCENT	0	0	2015	0	FAO estimates	E
2017.Q2.G.01	AG_LND_FRSTPRCT	Proportion of forest area within legally established protected areas	175	45.14015057	-12.82217691	MYT	Mayotte	1	ANNUAL	PERCENT		31.4433	2015	31.4433	FAO estimates	E
2017.Q2.G.01	AG_LND_FRSTPRCT	Proportion of forest area within legally established protected areas	178	15.22052612	-0.840544119	COG	Congo	1	ANNUAL	PERCENT	4.4148	4.4148	2015	4.4148	Official submission of country data to FAO Global Forest Resources Assessment	C
