geoAreaCode	sliceId	Freq	Location	Units	X	Y	OBJECTID	ISO3CD	geoAreaName	years	value
218	2	ANNUAL	RURAL	NOTAP	-78.37005241	-1.447785891	67	ECU	Ecuador	2013-2017	
222	1	ANNUAL	URBAN	NOTAP	-88.86862995	13.73603564	206	SLV	El Salvador	2013-2017	0.5
222	2	ANNUAL	RURAL	NOTAP	-88.86862995	13.73603564	206	SLV	El Salvador	2013-2017	0.5
226	1	ANNUAL	URBAN	NOTAP	10.46535826	1.565792376	90	GNQ	Equatorial Guinea	2013-2017	
226	2	ANNUAL	RURAL	NOTAP	10.46535826	1.565792376	90	GNQ	Equatorial Guinea	2013-2017	
231	1	ANNUAL	URBAN	NOTAP	39.63505296	8.631223181	73	ETH	Ethiopia	2013-2017	0
231	2	ANNUAL	RURAL	NOTAP	39.63505296	8.631223181	73	ETH	Ethiopia	2013-2017	0
232	1	ANNUAL	URBAN	NOTAP	38.11074289	16.12894644	69	ERI	Eritrea	2013-2017	
232	2	ANNUAL	RURAL	NOTAP	38.11074289	16.12894644	69	ERI	Eritrea	2013-2017	
233	1	ANNUAL	URBAN	NOTAP	25.84093481	58.68487172	72	EST	Estonia	2013-2017	
233	2	ANNUAL	RURAL	NOTAP	25.84093481	58.68487172	72	EST	Estonia	2013-2017	
234	1	ANNUAL	URBAN	NOTAP	-7.122044325	62.21228119	78	FRO	Faroe Islands	2013-2017	
234	2	ANNUAL	RURAL	NOTAP	-7.122044325	62.21228119	78	FRO	Faroe Islands	2013-2017	
238	1	ANNUAL	URBAN	NOTAP	-58.75246778	-51.74562601	76	FLK	Falkland Islands (Malvinas)	2013-2017	
238	2	ANNUAL	RURAL	NOTAP	-58.75246778	-51.74562601	76	FLK	Falkland Islands (Malvinas)	2013-2017	
239	1	ANNUAL	URBAN	NOTAP	-36.90662765	-54.20736749	201	SGS	South Georgia and the South Sandwich Islands	2013-2017	
239	2	ANNUAL	RURAL	NOTAP	-36.90662765	-54.20736749	201	SGS	South Georgia and the South Sandwich Islands	2013-2017	
