series.release	series.code	series.description	geoAreaCode	X	Y	ISO3CD	geoAreaName	sliceId	Freq	Units	1990	1991	1992	1993	1994	1995	1996	1997	1998	1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016	last.5.years.mean	latest.year	latest.value	latest.source	latest.nature
2017.Q2.G.01	VC_DSR_MISS	Number of missing persons due to disaster, total (number)	60	-64.78155012	32.27881922	BMU	Bermuda	1	ANNUAL	NUMBER																																
2017.Q2.G.01	VC_DSR_MISS	Number of missing persons due to disaster, total (number)	64	90.45098484	27.39598568	BTN	Bhutan	1	ANNUAL	NUMBER																																
2017.Q2.G.01	VC_DSR_MISS	Number of missing persons due to disaster, total (number)	68	-64.66224284	-16.71273412	BOL	Bolivia (Plurinational State of)	1	ANNUAL	NUMBER					1						20	6		148	2	19	4	3	18	2	1								2010	1	UNISDR (2015). Global Assessment Report on Disaster Risk Reduction 2015, Geneva, Switzerland: United Nations Office for Disaster Risk Reduction	C
2017.Q2.G.01	VC_DSR_MISS	Number of missing persons due to disaster, total (number)	70	17.78584332	44.16845548	BIH	Bosnia and Herzegovina	1	ANNUAL	NUMBER																																
2017.Q2.G.01	VC_DSR_MISS	Number of missing persons due to disaster, total (number)	72	23.81380223	-22.18810073	BWA	Botswana	1	ANNUAL	NUMBER																																
2017.Q2.G.01	VC_DSR_MISS	Number of missing persons due to disaster, total (number)	74	3.410732868	-54.43295905	BVT	Bouvet Island	1	ANNUAL	NUMBER																																
2017.Q2.G.01	VC_DSR_MISS	Number of missing persons due to disaster, total (number)	76	-53.08432878	-10.77668561	BRA	Brazil	1	ANNUAL	NUMBER																																
2017.Q2.G.01	VC_DSR_MISS	Number of missing persons due to disaster, total (number)	84	-88.70199554	17.19965901	BLZ	Belize	1	ANNUAL	NUMBER																																
2017.Q2.G.01	VC_DSR_MISS	Number of missing persons due to disaster, total (number)	86	72.38715553	-7.299281071	IOT	British Indian Ocean Territory	1	ANNUAL	NUMBER																																
2017.Q2.G.01	VC_DSR_MISS	Number of missing persons due to disaster, total (number)	90	160.1584117	-9.622391719	SLB	Solomon Islands	1	ANNUAL	NUMBER																		6		11	2			4				4	2013	4	UNISDR (2015). Global Assessment Report on Disaster Risk Reduction 2015, Geneva, Switzerland: United Nations Office for Disaster Risk Reduction	C
2017.Q2.G.01	VC_DSR_MISS	Number of missing persons due to disaster, total (number)	92	-64.63294223	18.42256578	VGB	British Virgin Islands	1	ANNUAL	NUMBER																																
2017.Q2.G.01	VC_DSR_MISS	Number of missing persons due to disaster, total (number)	96	114.6288563	4.49736984	BRN	Brunei Darussalam	1	ANNUAL	NUMBER																																
2017.Q2.G.01	VC_DSR_MISS	Number of missing persons due to disaster, total (number)	100	25.23763153	42.75731323	BGR	Bulgaria	1	ANNUAL	NUMBER																																
2017.Q2.G.01	VC_DSR_MISS	Number of missing persons due to disaster, total (number)	104	96.51752295	21.19332882	MMR	Myanmar	1	ANNUAL	NUMBER																			3325					3		15		9	2015	15	UNISDR (2015). Global Assessment Report on Disaster Risk Reduction 2015, Geneva, Switzerland: United Nations Office for Disaster Risk Reduction	C
2017.Q2.G.01	VC_DSR_MISS	Number of missing persons due to disaster, total (number)	108	29.89080992	-3.366387428	BDI	Burundi	1	ANNUAL	NUMBER																																
2017.Q2.G.01	VC_DSR_MISS	Number of missing persons due to disaster, total (number)	112	28.04940161	53.54193075	BLR	Belarus	1	ANNUAL	NUMBER																																
2017.Q2.G.01	VC_DSR_MISS	Number of missing persons due to disaster, total (number)	116	104.922836	12.71163737	KHM	Cambodia	1	ANNUAL	NUMBER											2																		2000	2	UNISDR (2015). Global Assessment Report on Disaster Risk Reduction 2015, Geneva, Switzerland: United Nations Office for Disaster Risk Reduction	C
2017.Q2.G.01	VC_DSR_MISS	Number of missing persons due to disaster, total (number)	120	12.7419827	5.692387031	CMR	Cameroon	1	ANNUAL	NUMBER																																
2017.Q2.G.01	VC_DSR_MISS	Number of missing persons due to disaster, total (number)	124	-101.6575058	57.72360191	CAN	Canada	1	ANNUAL	NUMBER																																
2017.Q2.G.01	VC_DSR_MISS	Number of missing persons due to disaster, total (number)	132	-23.63544151	15.07791834	CPV	Cabo Verde	1	ANNUAL	NUMBER																																
2017.Q2.G.01	VC_DSR_MISS	Number of missing persons due to disaster, total (number)	136	-81.16740559	19.32266656	CYM	Cayman Islands	1	ANNUAL	NUMBER																																
2017.Q2.G.01	VC_DSR_MISS	Number of missing persons due to disaster, total (number)	140	20.93559492	7.003720791	CAF	Central African Republic	1	ANNUAL	NUMBER																																
2017.Q2.G.01	VC_DSR_MISS	Number of missing persons due to disaster, total (number)	144	80.70489654	7.614693343	LKA	Sri Lanka	1	ANNUAL	NUMBER			10					5						33	1908	1	1	7	4	2	4	21	9	29	1			13	2014	1	UNISDR (2015). Global Assessment Report on Disaster Risk Reduction 2015, Geneva, Switzerland: United Nations Office for Disaster Risk Reduction	C
2017.Q2.G.01	VC_DSR_MISS	Number of missing persons due to disaster, total (number)	148	18.66618401	15.36279341	TCD	Chad	1	ANNUAL	NUMBER																																
2017.Q2.G.01	VC_DSR_MISS	Number of missing persons due to disaster, total (number)	152	-71.23029019	-35.2652885	CHL	Chile	1	ANNUAL	NUMBER	22	55	1	73	4	1	2	16		2	4	14	22	11	2	6	12	23	5	7	368	3	31	2				16.5	2013	2	UNISDR (2015). Global Assessment Report on Disaster Risk Reduction 2015, Geneva, Switzerland: United Nations Office for Disaster Risk Reduction	C
2017.Q2.G.01	VC_DSR_MISS	Number of missing persons due to disaster, total (number)	156	104.1403375	32.30955217	CHN	China	1	ANNUAL	NUMBER																																
2017.Q2.G.01	VC_DSR_MISS	Number of missing persons due to disaster, total (number)	162	105.6426067	-10.4882473	CXR	Christmas Island	1	ANNUAL	NUMBER																																
2017.Q2.G.01	VC_DSR_MISS	Number of missing persons due to disaster, total (number)	166	96.82633757	-12.18600682	CCK	Cocos (Keeling) Islands	1	ANNUAL	NUMBER																																
2017.Q2.G.01	VC_DSR_MISS	Number of missing persons due to disaster, total (number)	170	-73.07446751	3.888209046	COL	Colombia	1	ANNUAL	NUMBER	44	126	27	39	133	57	66	14	7	813	45	32	68	34	30	44	39	38	55	71	74	65	49	42	50	32		43.25	2015	32	UNISDR (2015). Global Assessment Report on Disaster Risk Reduction 2015, Geneva, Switzerland: United Nations Office for Disaster Risk Reduction	C
2017.Q2.G.01	VC_DSR_MISS	Number of missing persons due to disaster, total (number)	174	43.34234565	-11.66121732	COM	Comoros	1	ANNUAL	NUMBER																						98			1			1	2014	1	UNISDR (2015). Global Assessment Report on Disaster Risk Reduction 2015, Geneva, Switzerland: United Nations Office for Disaster Risk Reduction	C
2017.Q2.G.01	VC_DSR_MISS	Number of missing persons due to disaster, total (number)	175	45.14015057	-12.82217691	MYT	Mayotte	1	ANNUAL	NUMBER																																
2017.Q2.G.01	VC_DSR_MISS	Number of missing persons due to disaster, total (number)	178	15.22052612	-0.840544119	COG	Congo	1	ANNUAL	NUMBER																																
2017.Q2.G.01	VC_DSR_MISS	Number of missing persons due to disaster, total (number)	180	23.65496507	-2.877154732	COD	Democratic Republic of the Congo	1	ANNUAL	NUMBER																																
2017.Q2.G.01	VC_DSR_MISS	Number of missing persons due to disaster, total (number)	184	-159.7711391	-21.22696458	COK	Cook Islands	1	ANNUAL	NUMBER																																
