series.release	series.code	series.description	geoAreaCode	X	Y	ISO3CD	geoAreaName	sliceId	Freq	Units	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	last.5.years.mean	latest.year	latest.value	latest.source	latest.nature
2017.Q2.G.01	EG_FEC_RNEW	Renewable energy share in the total final energy consumption	104	96.51752295	21.19332882	MMR	Myanmar	1	ANNUAL	PERCENT	80.17	82.49	83.02	79.81	80.39	79.77	81.42	80.73	85.97	86.12	85.02	84.58	78.95	75.97	68.52	78.608	2014	68.52		
2017.Q2.G.01	EG_FEC_RNEW	Renewable energy share in the total final energy consumption	108	29.89080992	-3.366387428	BDI	Burundi	1	ANNUAL	PERCENT	93.23	96.23	96.16	97.02	97.27	97.29	96.86	96.89	96.85	96.92	96.76	96.59	93.96	94.07	90.05	94.286	2014	90.05		
2017.Q2.G.01	EG_FEC_RNEW	Renewable energy share in the total final energy consumption	112	28.04940161	53.54193075	BLR	Belarus	1	ANNUAL	PERCENT	4.98	5.53	5.76	5.6	5.66	6.15	6.49	6.62	6.49	6.78	7.02	7.38	7.25	7.01	6.63	7.058	2014	6.63		
2017.Q2.G.01	EG_FEC_RNEW	Renewable energy share in the total final energy consumption	116	104.922836	12.71163737	KHM	Cambodia	1	ANNUAL	PERCENT	81.14	79.59	83.02	82.07	78.2	75.99	73.74	69.19	67.08	71.38	68.47	68.11	68.31	68.95	67.95	68.358	2014	67.95		
2017.Q2.G.01	EG_FEC_RNEW	Renewable energy share in the total final energy consumption	120	12.7419827	5.692387031	CMR	Cameroon	1	ANNUAL	PERCENT	84.48	85.2	84.73	84.76	84.99	85.77	85.43	80.71	80.71	79.09	78.6	78.56	78.14	77.51	77.39	78.04	2014	77.39		
2017.Q2.G.01	EG_FEC_RNEW	Renewable energy share in the total final energy consumption	124	-101.6575058	57.72360191	CAN	Canada	1	ANNUAL	PERCENT	21.51	21.01	21.77	21.18	21.58	22.05	21.92	21.91	22.66	22.58	22.14	22.65	23.1	23.05	22.58	22.704	2014	22.58		
2017.Q2.G.01	EG_FEC_RNEW	Renewable energy share in the total final energy consumption	132	-23.63544151	15.07791834	CPV	Cabo Verde	1	ANNUAL	PERCENT	28.98	28.18	27.86	35.25	33.96	26.61	25.07	24.96	27.61	26.16	21.74	21.62	24.4	26.13	26.2	24.018	2014	26.2		
2017.Q2.G.01	EG_FEC_RNEW	Renewable energy share in the total final energy consumption	136	-81.16740559	19.32266656	CYM	Cayman Islands	1	ANNUAL	PERCENT	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2014	0		
2017.Q2.G.01	EG_FEC_RNEW	Renewable energy share in the total final energy consumption	140	20.93559492	7.003720791	CAF	Central African Republic	1	ANNUAL	PERCENT	85.07	84.86	84.86	85.53	85.65	85.65	84.8	80.86	80.58	80.58	79.81	78.77	78.02	77.49	77.19	78.256	2014	77.19		
2017.Q2.G.01	EG_FEC_RNEW	Renewable energy share in the total final energy consumption	144	80.70489654	7.614693343	LKA	Sri Lanka	1	ANNUAL	PERCENT	64.16	62.93	62.1	61.3	61.61	60.08	62.17	60.2	61.57	63.51	61.84	59.25	60.69	59.87	57.59	59.848	2014	57.59		
2017.Q2.G.01	EG_FEC_RNEW	Renewable energy share in the total final energy consumption	148	18.66618401	15.36279341	TCD	Chad	1	ANNUAL	PERCENT	97.16	97.26	97.26	91.97	92.12	91.73	91.81	90.71	90.07	91.05	90.79	90.6	90.65	89.46	89.24	90.148	2014	89.24		
2017.Q2.G.01	EG_FEC_RNEW	Renewable energy share in the total final energy consumption	152	-71.23029019	-35.2652885	CHL	Chile	1	ANNUAL	PERCENT	31.36	32.15	33.07	31.61	31.43	32.26	32.91	30.46	30.82	31.52	27.03	28.78	30.33	30.18	26.42	28.548	2014	26.42		
2017.Q2.G.01	EG_FEC_RNEW	Renewable energy share in the total final energy consumption	156	104.1403375	32.30955217	CHN	China	1	ANNUAL	PERCENT	30.25	29.7	28.51	25.81	22.51	20.78	19.66	18.62	18.47	18.16	17.41	16.39	16.83	16.9	17.1	16.926	2014	17.1		
2017.Q2.G.01	EG_FEC_RNEW	Renewable energy share in the total final energy consumption	162	105.6426067	-10.4882473	CXR	Christmas Island	1	ANNUAL	PERCENT																				
2017.Q2.G.01	EG_FEC_RNEW	Renewable energy share in the total final energy consumption	166	96.82633757	-12.18600682	CCK	Cocos (Keeling) Islands	1	ANNUAL	PERCENT																				
2017.Q2.G.01	EG_FEC_RNEW	Renewable energy share in the total final energy consumption	170	-73.07446751	3.888209046	COL	Colombia	1	ANNUAL	PERCENT	28.03	27.23	28.79	30.69	29.16	28.73	28.98	29.66	28.96	29.55	27.93	26.78	26.64	24.47	24.52	26.068	2014	24.52		
