geoAreaCode	years	Freq	Location	Units	sliceId	X	Y	OBJECTID	ISO3CD	geoAreaName	value	valueType	time_detail	source	Nature
72	2012	ANNUAL	ALLAREA	mgr/m^3	1	23.81380223	-22.18810073	39	BWA	Botswana	15.62747696468258	Float		Ambient air pollution : a global assessment of exposure and burden of disease, WHO Geneva 2016, http://www.who.int/iris/bitstream/10665/250141/1/9789241511353-eng.pdf	E
72	2012	ANNUAL	URBAN	mgr/m^3	2	23.81380223	-22.18810073	39	BWA	Botswana	19.21351789952922	Float		Ambient air pollution : a global assessment of exposure and burden of disease, WHO Geneva 2016, http://www.who.int/iris/bitstream/10665/250141/1/9789241511353-eng.pdf	E
74	2012	ANNUAL	ALLAREA	mgr/m^3	1	3.410732868	-54.43295905	38	BVT	Bouvet Island					
74	2012	ANNUAL	URBAN	mgr/m^3	2	3.410732868	-54.43295905	38	BVT	Bouvet Island					
76	2012	ANNUAL	ALLAREA	mgr/m^3	1	-53.08432878	-10.77668561	34	BRA	Brazil	10.47867804387164	Float		Ambient air pollution : a global assessment of exposure and burden of disease, WHO Geneva 2016, http://www.who.int/iris/bitstream/10665/250141/1/9789241511353-eng.pdf	E
76	2012	ANNUAL	URBAN	mgr/m^3	2	-53.08432878	-10.77668561	34	BRA	Brazil	11.30915240213251	Float		Ambient air pollution : a global assessment of exposure and burden of disease, WHO Geneva 2016, http://www.who.int/iris/bitstream/10665/250141/1/9789241511353-eng.pdf	E
84	2012	ANNUAL	ALLAREA	mgr/m^3	1	-88.70199554	17.19965901	31	BLZ	Belize	21.65956723233847	Float		Ambient air pollution : a global assessment of exposure and burden of disease, WHO Geneva 2016, http://www.who.int/iris/bitstream/10665/250141/1/9789241511353-eng.pdf	E
84	2012	ANNUAL	URBAN	mgr/m^3	2	-88.70199554	17.19965901	31	BLZ	Belize	20.67220587156315	Float		Ambient air pollution : a global assessment of exposure and burden of disease, WHO Geneva 2016, http://www.who.int/iris/bitstream/10665/250141/1/9789241511353-eng.pdf	E
86	2012	ANNUAL	ALLAREA	mgr/m^3	1	72.38715553	-7.299281071	107	IOT	British Indian Ocean Territory					
86	2012	ANNUAL	URBAN	mgr/m^3	2	72.38715553	-7.299281071	107	IOT	British Indian Ocean Territory					
90	2012	ANNUAL	ALLAREA	mgr/m^3	1	160.1584117	-9.622391719	204	SLB	Solomon Islands	4.97142150559906	Float		Ambient air pollution : a global assessment of exposure and burden of disease, WHO Geneva 2016, http://www.who.int/iris/bitstream/10665/250141/1/9789241511353-eng.pdf	E
90	2012	ANNUAL	URBAN	mgr/m^3	2	160.1584117	-9.622391719	204	SLB	Solomon Islands	5.00000015035391	Float		Ambient air pollution : a global assessment of exposure and burden of disease, WHO Geneva 2016, http://www.who.int/iris/bitstream/10665/250141/1/9789241511353-eng.pdf	E
92	2012	ANNUAL	ALLAREA	mgr/m^3	1	-64.63294223	18.42256578	254	VGB	British Virgin Islands					
92	2012	ANNUAL	URBAN	mgr/m^3	2	-64.63294223	18.42256578	254	VGB	British Virgin Islands					
96	2012	ANNUAL	ALLAREA	mgr/m^3	1	114.6288563	4.49736984	36	BRN	Brunei Darussalam	5.47440105150182	Float		Ambient air pollution : a global assessment of exposure and burden of disease, WHO Geneva 2016, http://www.who.int/iris/bitstream/10665/250141/1/9789241511353-eng.pdf	E
96	2012	ANNUAL	URBAN	mgr/m^3	2	114.6288563	4.49736984	36	BRN	Brunei Darussalam	5.38608869320135	Float		Ambient air pollution : a global assessment of exposure and burden of disease, WHO Geneva 2016, http://www.who.int/iris/bitstream/10665/250141/1/9789241511353-eng.pdf	E
100	2012	ANNUAL	ALLAREA	mgr/m^3	1	25.23763153	42.75731323	25	BGR	Bulgaria	26.76984236114143	Float		Ambient air pollution : a global assessment of exposure and burden of disease, WHO Geneva 2016, http://www.who.int/iris/bitstream/10665/250141/1/9789241511353-eng.pdf	E
100	2012	ANNUAL	URBAN	mgr/m^3	2	25.23763153	42.75731323	25	BGR	Bulgaria	30.27633962603793	Float		Ambient air pollution : a global assessment of exposure and burden of disease, WHO Geneva 2016, http://www.who.int/iris/bitstream/10665/250141/1/9789241511353-eng.pdf	E
104	2012	ANNUAL	ALLAREA	mgr/m^3	1	96.51752295	21.19332882	149	MMR	Myanmar	50.96599974736481	Float		Ambient air pollution : a global assessment of exposure and burden of disease, WHO Geneva 2016, http://www.who.int/iris/bitstream/10665/250141/1/9789241511353-eng.pdf	E
104	2012	ANNUAL	URBAN	mgr/m^3	2	96.51752295	21.19332882	149	MMR	Myanmar	56.62741728703374	Float		Ambient air pollution : a global assessment of exposure and burden of disease, WHO Geneva 2016, http://www.who.int/iris/bitstream/10665/250141/1/9789241511353-eng.pdf	E
108	2012	ANNUAL	ALLAREA	mgr/m^3	1	29.89080992	-3.366387428	20	BDI	Burundi	38.04269836810436	Float		Ambient air pollution : a global assessment of exposure and burden of disease, WHO Geneva 2016, http://www.who.int/iris/bitstream/10665/250141/1/9789241511353-eng.pdf	E
108	2012	ANNUAL	URBAN	mgr/m^3	2	29.89080992	-3.366387428	20	BDI	Burundi	48.90393328964291	Float		Ambient air pollution : a global assessment of exposure and burden of disease, WHO Geneva 2016, http://www.who.int/iris/bitstream/10665/250141/1/9789241511353-eng.pdf	E
112	2012	ANNUAL	ALLAREA	mgr/m^3	1	28.04940161	53.54193075	30	BLR	Belarus	17.35834660428558	Float		Ambient air pollution : a global assessment of exposure and burden of disease, WHO Geneva 2016, http://www.who.int/iris/bitstream/10665/250141/1/9789241511353-eng.pdf	E
112	2012	ANNUAL	URBAN	mgr/m^3	2	28.04940161	53.54193075	30	BLR	Belarus	18.03824635164688	Float		Ambient air pollution : a global assessment of exposure and burden of disease, WHO Geneva 2016, http://www.who.int/iris/bitstream/10665/250141/1/9789241511353-eng.pdf	E
116	2012	ANNUAL	ALLAREA	mgr/m^3	1	104.922836	12.71163737	121	KHM	Cambodia	22.99440726293771	Float		Ambient air pollution : a global assessment of exposure and burden of disease, WHO Geneva 2016, http://www.who.int/iris/bitstream/10665/250141/1/9789241511353-eng.pdf	E
116	2012	ANNUAL	URBAN	mgr/m^3	2	104.922836	12.71163737	121	KHM	Cambodia	25.00000150353917	Float		Ambient air pollution : a global assessment of exposure and burden of disease, WHO Geneva 2016, http://www.who.int/iris/bitstream/10665/250141/1/9789241511353-eng.pdf	E
120	2012	ANNUAL	ALLAREA	mgr/m^3	1	12.7419827	5.692387031	47	CMR	Cameroon	65.19758506568226	Float		Ambient air pollution : a global assessment of exposure and burden of disease, WHO Geneva 2016, http://www.who.int/iris/bitstream/10665/250141/1/9789241511353-eng.pdf	E
120	2012	ANNUAL	URBAN	mgr/m^3	2	12.7419827	5.692387031	47	CMR	Cameroon	63.59092396169751	Float		Ambient air pollution : a global assessment of exposure and burden of disease, WHO Geneva 2016, http://www.who.int/iris/bitstream/10665/250141/1/9789241511353-eng.pdf	E
124	2012	ANNUAL	ALLAREA	mgr/m^3	1	-101.6575058	57.72360191	41	CAN	Canada	7.00185650727216	Float		Ambient air pollution : a global assessment of exposure and burden of disease, WHO Geneva 2016, http://www.who.int/iris/bitstream/10665/250141/1/9789241511353-eng.pdf	E
