series.release	series.code	series.description	geoAreaCode	X	Y	ISO3CD	geoAreaName	sliceId	Age	Freq	Sex	Units	2014	latest.year	latest.value	latest.source	latest.nature
2017.Q2.G.01	VC_VAW_HMTRAF	Number of victims of human trafficking per 100,000 population	40	14.14172472	47.58704857	AUT	Austria	2	<18Y	ANNUAL	MALE	NUMBER					
2017.Q2.G.01	VC_VAW_HMTRAF	Number of victims of human trafficking per 100,000 population	40	14.14172472	47.58704857	AUT	Austria	3	18+	ANNUAL	MALE	NUMBER	26	2014	26		
2017.Q2.G.01	VC_VAW_HMTRAF	Number of victims of human trafficking per 100,000 population	40	14.14172472	47.58704857	AUT	Austria	4	<18Y	ANNUAL	FEMALE	NUMBER	3	2014	3		
2017.Q2.G.01	VC_VAW_HMTRAF	Number of victims of human trafficking per 100,000 population	44	-78.05111663	24.69546597	BHS	Bahamas	1	18+	ANNUAL	FEMALE	NUMBER	3	2014	3		
2017.Q2.G.01	VC_VAW_HMTRAF	Number of victims of human trafficking per 100,000 population	44	-78.05111663	24.69546597	BHS	Bahamas	2	<18Y	ANNUAL	MALE	NUMBER					
2017.Q2.G.01	VC_VAW_HMTRAF	Number of victims of human trafficking per 100,000 population	44	-78.05111663	24.69546597	BHS	Bahamas	3	18+	ANNUAL	MALE	NUMBER					
2017.Q2.G.01	VC_VAW_HMTRAF	Number of victims of human trafficking per 100,000 population	44	-78.05111663	24.69546597	BHS	Bahamas	4	<18Y	ANNUAL	FEMALE	NUMBER					
2017.Q2.G.01	VC_VAW_HMTRAF	Number of victims of human trafficking per 100,000 population	48	50.5490754	26.04407747	BHR	Bahrain	1	18+	ANNUAL	FEMALE	NUMBER	49	2014	49		
2017.Q2.G.01	VC_VAW_HMTRAF	Number of victims of human trafficking per 100,000 population	48	50.5490754	26.04407747	BHR	Bahrain	2	<18Y	ANNUAL	MALE	NUMBER					
2017.Q2.G.01	VC_VAW_HMTRAF	Number of victims of human trafficking per 100,000 population	48	50.5490754	26.04407747	BHR	Bahrain	3	18+	ANNUAL	MALE	NUMBER	47	2014	47		
2017.Q2.G.01	VC_VAW_HMTRAF	Number of victims of human trafficking per 100,000 population	48	50.5490754	26.04407747	BHR	Bahrain	4	<18Y	ANNUAL	FEMALE	NUMBER					
2017.Q2.G.01	VC_VAW_HMTRAF	Number of victims of human trafficking per 100,000 population	50	89.17660788	22.86961622	BGD	Bangladesh	1	18+	ANNUAL	FEMALE	NUMBER					
2017.Q2.G.01	VC_VAW_HMTRAF	Number of victims of human trafficking per 100,000 population	50	89.17660788	22.86961622	BGD	Bangladesh	2	<18Y	ANNUAL	MALE	NUMBER					
2017.Q2.G.01	VC_VAW_HMTRAF	Number of victims of human trafficking per 100,000 population	50	89.17660788	22.86961622	BGD	Bangladesh	3	18+	ANNUAL	MALE	NUMBER					
2017.Q2.G.01	VC_VAW_HMTRAF	Number of victims of human trafficking per 100,000 population	50	89.17660788	22.86961622	BGD	Bangladesh	4	<18Y	ANNUAL	FEMALE	NUMBER					
2017.Q2.G.01	VC_VAW_HMTRAF	Number of victims of human trafficking per 100,000 population	51	44.93839317	40.29499741	ARM	Armenia	1	18+	ANNUAL	FEMALE	NUMBER	6	2014	6		
