geoAreaCode	sliceId	Freq	Units	X	Y	OBJECTID	ISO3CD	geoAreaName	years	value
710	1	ANNUAL	CON_USD	24.67184355	-29.99957544	283	ZAF	South Africa	2012-2016	956.845753090385
716	1	ANNUAL	CON_USD	29.86909584	-19.00075492	285	ZWE	Zimbabwe	2012-2016	82.9330925045089
724	1	ANNUAL	CON_USD	-3.554078296	40.39211472	71	ESP	Spain	2012-2016	3470.45905012386
728	1	ANNUAL	CON_USD	30.32618773	7.290839152	211	SSD	South Sudan	2012-2016	
732	1	ANNUAL	CON_USD	-13.13515523	24.66265342	70	ESH	Western Sahara	2012-2016	
736	1	ANNUAL	CON_USD	29.95650159	16.02643066	198	SDN	Sudan	2012-2016	
740	1	ANNUAL	CON_USD	-55.90626394	4.132603197	213	SUR	Suriname	2012-2016	1328.09373030269
744	1	ANNUAL	CON_USD	13.38071013	78.82894131	203	SJM	Svalbard and Jan Mayen Islands	2012-2016	
748	1	ANNUAL	CON_USD	31.50149288	-26.56471011	217	SWZ	Swaziland	2012-2016	1429.55066867925
752	1	ANNUAL	CON_USD	14.3775338	60.60103109	216	SWE	Sweden	2012-2016	8352.37878335995
756	1	ANNUAL	CON_USD	8.223158	46.96617097	43	CHE	Switzerland	2012-2016	14348.9030886046
760	1	ANNUAL	CON_USD	38.50466565	35.01676176	220	SYR	Syrian Arab Republic (Syria)	2012-2016	
762	1	ANNUAL	CON_USD	69.294998	38.43069666	225	TJK	Tajikistan	2012-2016	51.2957328855721
764	1	ANNUAL	CON_USD	101.0202951	15.13089239	224	THA	Thailand	2012-2016	1643.45336261272
768	1	ANNUAL	CON_USD	0.97835765	8.532096072	223	TGO	Togo	2012-2016	41.6077122392018
772	1	ANNUAL	CON_USD	-171.8154473	-9.214545558	226	TKL	Tokelau	2012-2016	
776	1	ANNUAL	CON_USD	-175.1959991	-21.19511329	229	TON	Tonga	2012-2016	231.857070847916
780	1	ANNUAL	CON_USD	-61.29389504	10.41877263	230	TTO	Trinidad and Tobago	2012-2016	2798.86440807806
784	1	ANNUAL	CON_USD	53.98279159	23.43322219	9	ARE	United Arab Emirates	2012-2016	3453.35814205191
788	1	ANNUAL	CON_USD	9.572737411	34.11439971	231	TUN	Tunisia	2012-2016	676.016455489237
792	1	ANNUAL	CON_USD	35.42890329	38.9899684	232	TUR	Turkey	2012-2016	1775.12935284749
