series.release	series.code	series.description	geoAreaCode	X	Y	ISO3CD	geoAreaName	sliceId	Freq	Units	2010	2011	2012	2013	2014	2015	last.5.years.mean	latest.year	latest.value	latest.source	latest.nature
2017.Q2.G.01	VC_IHR_PSRCN	Number of victims of intentional homicide	300	22.58307827	39.47301873	GRC	Greece	1	ANNUAL	NUMBER	176	184	166	153	107	93	140.6	2015	93	United Nations Survey on Crime Trends and Operations of Criminal Justice System	C
2017.Q2.G.01	VC_IHR_PSRCN	Number of victims of intentional homicide	304	-41.39371316	74.75625681	GRL	Greenland	1	ANNUAL	NUMBER	18	10	5	3	12	7	7.4	2015	7	National Statistical Office	C
2017.Q2.G.01	VC_IHR_PSRCN	Number of victims of intentional homicide	308	-61.68248568	12.11238395	GRD	Grenada	1	ANNUAL	NUMBER	10	4	14	6	8		8	2014	8	United Nations Survey on Crime Trends and Operations of Criminal Justice System	C
2017.Q2.G.01	VC_IHR_PSRCN	Number of victims of intentional homicide	312	-61.64762115	16.14416917	GLP	Guadeloupe	1	ANNUAL	NUMBER											
2017.Q2.G.01	VC_IHR_PSRCN	Number of victims of intentional homicide	316	144.7029305	13.35485404	GUM	Guam	1	ANNUAL	NUMBER	3	4					4	2011	4	National Police	C
2017.Q2.G.01	VC_IHR_PSRCN	Number of victims of intentional homicide	320	-91.2312746	15.00273719	GTM	Guatemala	1	ANNUAL	NUMBER	5960	5681	5155	5253	4998		5271.75	2014	4998	United Nations Survey on Crime Trends and Operations of Criminal Justice System	C
2017.Q2.G.01	VC_IHR_PSRCN	Number of victims of intentional homicide	324	-11.28173419	11.00210343	GIN	Guinea	1	ANNUAL	NUMBER	1019.26293758					1067.02701515	1067.02701515	2015	1067.02701515	World Health Organization	C
2017.Q2.G.01	VC_IHR_PSRCN	Number of victims of intentional homicide	328	-58.97322037	4.788012784	GUY	Guyana	1	ANNUAL	NUMBER	140	130	139	155		149	143.25	2015	149	United Nations Survey on Crime Trends and Operations of Criminal Justice System	C
2017.Q2.G.01	VC_IHR_PSRCN	Number of victims of intentional homicide	332	-72.33640958	18.40426539	HTI	Haiti	1	ANNUAL	NUMBER	677	914	1033				973.5	2012	1033	United Nations Stabilization Mission in Haiti	C
2017.Q2.G.01	VC_IHR_PSRCN	Number of victims of intentional homicide	334	73.52633626	-53.09106147	HMD	Heard Island and McDonald Islands	1	ANNUAL	NUMBER											
