geoAreaCode	sliceId	Age	Freq	Units	X	Y	OBJECTID	ISO3CD	geoAreaName	years	value
500	1	15+	ANNUAL	PERCENT	-62.19261223	16.73558313	155	MSR	Montserrat	2010-2014	
504	1	15+	ANNUAL	PERCENT	-6.281942841	31.8440131	139	MAR	Morocco	2010-2014	
508	1	15+	ANNUAL	PERCENT	38.18479941	-14.27963886	153	MOZ	Mozambique	2010-2014	
512	1	15+	ANNUAL	PERCENT	57.87743482	21.98805614	173	OMN	Oman	2010-2014	
516	1	15+	ANNUAL	PERCENT	17.21907885	-22.13817068	161	NAM	Namibia	2010-2014	
520	1	15+	ANNUAL	PERCENT	166.92313	-0.528742623	171	NRU	Nauru	2010-2014	
524	1	15+	ANNUAL	PERCENT	83.94678863	28.25866332	170	NPL	Nepal	2010-2014	36.8206
528	1	15+	ANNUAL	PERCENT	5.331480568	51.86728884	168	NLD	Netherlands	2010-2014	99.218635
530	1	15+	ANNUAL	PERCENT	-68.30676179	12.22720635	8	ANT	Netherlands Antilles	2010-2014	
531	1	15+	ANNUAL	PERCENT	-68.95033464	12.15058042	56	CUW	Curaçao	2010-2014	
533	1	15+	ANNUAL	PERCENT	-69.97050586	12.50878756	1	ABW	Aruba	2010-2014	
534	1	15+	ANNUAL	PERCENT	-63.06198692	18.03926508	218	SXM	Sint Maarten (Dutch part)	2010-2014	
540	1	15+	ANNUAL	PERCENT	165.5067368	-21.41742531	162	NCL	New Caledonia	2010-2014	
548	1	15+	ANNUAL	PERCENT	167.0679779	-15.34445547	257	VUT	Vanuatu	2010-2014	
554	1	15+	ANNUAL	PERCENT	170.4755673	-43.98721568	172	NZL	New Zealand	2010-2014	99.644965
558	1	15+	ANNUAL	PERCENT	-85.03060315	12.84210839	166	NIC	Nicaragua	2010-2014	22.898705
562	1	15+	ANNUAL	PERCENT	9.400167877	17.42143036	163	NER	Niger	2010-2014	2.9596015
566	1	15+	ANNUAL	PERCENT	8.097363256	9.585789025	165	NGA	Nigeria	2010-2014	46.1825
570	1	15+	ANNUAL	PERCENT	-169.8601693	-19.05000475	167	NIU	Niue	2010-2014	
