series.release	series.code	series.description	geoAreaCode	X	Y	ISO3CD	geoAreaName	sliceId	Freq	Units	2006	2007	2008	2009	2010	2011	2012	2013	2014	last.5.years.mean	latest.year	latest.value	latest.source	latest.nature
2017.Q2.G.01	SG_STT_CAPTY	Dollar value of all resources made available to strengthen statistical capacity in developing countries	204	2.339933594	9.65401646	BEN	Benin	1	ANNUAL	CU_USD	278817.7	148561.6	2247878.8	79153.4	151374.8	2599731.1	2521610	23411.6	165220.4	1092269.58	2014	165220.4		G
2017.Q2.G.01	SG_STT_CAPTY	Dollar value of all resources made available to strengthen statistical capacity in developing countries	208	9.326571283	56.03829721	DNK	Denmark	1	ANNUAL	CU_USD														
2017.Q2.G.01	SG_STT_CAPTY	Dollar value of all resources made available to strengthen statistical capacity in developing countries	212	-61.3493756	15.43391378	DMA	Dominica	1	ANNUAL	CU_USD	48884		34181.5	26651.5		47231.5	68473.5	1662146.7		592617.233333333	2013	1662146.7		G
2017.Q2.G.01	SG_STT_CAPTY	Dollar value of all resources made available to strengthen statistical capacity in developing countries	214	-70.49847576	18.89832088	DOM	Dominican Republic	1	ANNUAL	CU_USD	297189.3	7998776.8	28930	193620	36552.7	292472.3	543644	6e+05	876655.3	469864.86	2014	876655.3		G
2017.Q2.G.01	SG_STT_CAPTY	Dollar value of all resources made available to strengthen statistical capacity in developing countries	218	-78.37005241	-1.447785891	ECU	Ecuador	1	ANNUAL	CU_USD	150668	465220.2	47900.9	169132.8	78001335.1	585541.6	82147.1	180527	169325	15803775.16	2014	169325		G
2017.Q2.G.01	SG_STT_CAPTY	Dollar value of all resources made available to strengthen statistical capacity in developing countries	222	-88.86862995	13.73603564	SLV	El Salvador	1	ANNUAL	CU_USD	13609543.6	258442.4	213487.2	224380	152941.5	198744.3	597676.3	98680		262010.525	2013	98680		G
2017.Q2.G.01	SG_STT_CAPTY	Dollar value of all resources made available to strengthen statistical capacity in developing countries	226	10.46535826	1.565792376	GNQ	Equatorial Guinea	1	ANNUAL	CU_USD	18450	39090	18010	26634.4	9030				70904.4	39967.2	2014	70904.4		G
2017.Q2.G.01	SG_STT_CAPTY	Dollar value of all resources made available to strengthen statistical capacity in developing countries	231	39.63505296	8.631223181	ETH	Ethiopia	1	ANNUAL	CU_USD	4375212.4	15504813.3	8049266.6	607224.5	121115.7	3247276.4	2597132.7	6034351.5	30437958.8	8487567.02	2014	30437958.8		G
2017.Q2.G.01	SG_STT_CAPTY	Dollar value of all resources made available to strengthen statistical capacity in developing countries	232	38.11074289	16.12894644	ERI	Eritrea	1	ANNUAL	CU_USD	191145.1	63690	221405.2	1367538.3	614747.1	162507.9	54557.4	159912	174131	233171.08	2014	174131		G
2017.Q2.G.01	SG_STT_CAPTY	Dollar value of all resources made available to strengthen statistical capacity in developing countries	233	25.84093481	58.68487172	EST	Estonia	1	ANNUAL	CU_USD														
2017.Q2.G.01	SG_STT_CAPTY	Dollar value of all resources made available to strengthen statistical capacity in developing countries	234	-7.122044325	62.21228119	FRO	Faroe Islands	1	ANNUAL	CU_USD														
2017.Q2.G.01	SG_STT_CAPTY	Dollar value of all resources made available to strengthen statistical capacity in developing countries	238	-58.75246778	-51.74562601	FLK	Falkland Islands (Malvinas)	1	ANNUAL	CU_USD														
2017.Q2.G.01	SG_STT_CAPTY	Dollar value of all resources made available to strengthen statistical capacity in developing countries	239	-36.90662765	-54.20736749	SGS	South Georgia and the South Sandwich Islands	1	ANNUAL	CU_USD														
2017.Q2.G.01	SG_STT_CAPTY	Dollar value of all resources made available to strengthen statistical capacity in developing countries	242	177.9660884	-17.83301566	FJI	Fiji	1	ANNUAL	CU_USD	151154.8	107771.7	682	1110	163440.2	1019743.7	90173.6	73548.7	28758.5	275132.94	2014	28758.5		G
2017.Q2.G.01	SG_STT_CAPTY	Dollar value of all resources made available to strengthen statistical capacity in developing countries	246	23.308447	61.91586738	FIN	Finland	1	ANNUAL	CU_USD														
2017.Q2.G.01	SG_STT_CAPTY	Dollar value of all resources made available to strengthen statistical capacity in developing countries	248	19.80945969	60.1544901	ALA	Åland Islands	1	ANNUAL	CU_USD														
2017.Q2.G.01	SG_STT_CAPTY	Dollar value of all resources made available to strengthen statistical capacity in developing countries	250	2.457288129	46.62660861	FRA	France	1	ANNUAL	CU_USD														
2017.Q2.G.01	SG_STT_CAPTY	Dollar value of all resources made available to strengthen statistical capacity in developing countries	254	-53.23619089	3.922673437	GUF	French Guiana	1	ANNUAL	CU_USD														
2017.Q2.G.01	SG_STT_CAPTY	Dollar value of all resources made available to strengthen statistical capacity in developing countries	258	-149.4052367	-17.67709294	PYF	French Polynesia	1	ANNUAL	CU_USD														
