series.release	series.code	series.description	geoAreaCode	X	Y	ISO3CD	geoAreaName	sliceId	Freq	Units	1990	2000	2005	2010	2015	latest.year	latest.value	latest.source	latest.nature
2017.Q2.G.01	AG_LND_FRST	Forest area as a proportion of total land area	184	-159.7711391	-21.22696458	COK	Cook Islands	1	ANNUAL	PERCENT	61.016949	63.983051	63.983051	63.983051	63.983051	2015	63.983051	Official submission of country data to FAO Global Forest Resources Assessment	C
2017.Q2.G.01	AG_LND_FRST	Forest area as a proportion of total land area	188	-84.19712782	9.970998683	CRI	Costa Rica	1	ANNUAL	PERCENT	50.215433	46.53349	48.785742	51.01841	53.975715	2015	53.975715	Official submission of country data to FAO Global Forest Resources Assessment	C
2017.Q2.G.01	AG_LND_FRST	Forest area as a proportion of total land area	191	17.95874553	45.45172212	HRV	Croatia	1	ANNUAL	PERCENT	33.059328	33.684775	34.006433	34.310222	34.345961	2015	34.345961	Official submission of country data to FAO Global Forest Resources Assessment	C
2017.Q2.G.01	AG_LND_FRST	Forest area as a proportion of total land area	192	-79.54460144	22.10030366	CUB	Cuba	1	ANNUAL	PERCENT	19.334837	22.876738	25.338219	27.546035	30.063886	2015	30.063886	Official submission of country data to FAO Global Forest Resources Assessment	C
2017.Q2.G.01	AG_LND_FRST	Forest area as a proportion of total land area	196	33.22285964	35.05659437	CYP	Cyprus	1	ANNUAL	PERCENT	17.433317	18.569496	18.703782	18.7027	18.687443	2015	18.687443	Official submission of country data to FAO Global Forest Resources Assessment	C
2017.Q2.G.01	AG_LND_FRST	Forest area as a proportion of total land area	203	15.33151382	49.73913871	CZE	Czechia	1	ANNUAL	PERCENT	34.045584	34.149184	34.278684	34.408184	34.537685	2015	34.537685	Official submission of country data to FAO Global Forest Resources Assessment	C
2017.Q2.G.01	AG_LND_FRST	Forest area as a proportion of total land area	204	2.339933594	9.65401646	BEN	Benin	1	ANNUAL	PERCENT	52.07919	45.75122	43.491231	41.231242	38.971253	2015	38.971253	Official submission of country data to FAO Global Forest Resources Assessment	C
2017.Q2.G.01	AG_LND_FRST	Forest area as a proportion of total land area	208	9.326571283	56.03829721	DNK	Denmark	1	ANNUAL	PERCENT	12.802263	13.799199	13.144002	13.836908	14.42847	2015	14.42847	Official submission of country data to FAO Global Forest Resources Assessment	C
2017.Q2.G.01	AG_LND_FRST	Forest area as a proportion of total land area	212	-61.3493756	15.43391378	DMA	Dominica	1	ANNUAL	PERCENT	66.666667	63.106667	61.32	59.546667	57.773333	2015	57.773333	FAO estimates	E
2017.Q2.G.01	AG_LND_FRST	Forest area as a proportion of total land area	214	-70.49847576	18.89832088	DOM	Dominican Republic	1	ANNUAL	PERCENT	22.868377	30.753311	34.188742	37.603477	41.038907	2015	41.038907	Official submission of country data to FAO Global Forest Resources Assessment	C
2017.Q2.G.01	AG_LND_FRST	Forest area as a proportion of total land area	218	-78.37005241	-1.447785891	ECU	Ecuador	1	ANNUAL	PERCENT	58.909837	55.27829	53.693171	52.108053	50.522934	2015	50.522934	Official submission of country data to FAO Global Forest Resources Assessment	C
2017.Q2.G.01	AG_LND_FRST	Forest area as a proportion of total land area	222	-88.86862995	13.73603564	SLV	El Salvador	1	ANNUAL	PERCENT	18.194981	16.023166	14.913127	13.851351	12.789575	2015	12.789575	Official submission of country data to FAO Global Forest Resources Assessment	C
2017.Q2.G.01	AG_LND_FRST	Forest area as a proportion of total land area	226	10.46535826	1.565792376	GNQ	Equatorial Guinea	1	ANNUAL	PERCENT	66.31016	62.139037	60.071301	57.967914	55.900178	2015	55.900178	Official submission of country data to FAO Global Forest Resources Assessment	C
2017.Q2.G.01	AG_LND_FRST	Forest area as a proportion of total land area	231	39.63505296	8.631223181	ETH	Ethiopia	1	ANNUAL	PERCENT	13.786247	12.501026	11.85796	11.215806	11.400972	2015	11.400972	Official submission of country data to FAO Global Forest Resources Assessment	C
2017.Q2.G.01	AG_LND_FRST	Forest area as a proportion of total land area	232	38.11074289	16.12894644	ERI	Eritrea	1	ANNUAL	PERCENT	16.049505	15.60396	15.386139	15.168317	14.950495	2015	14.950495	FAO estimates	E
2017.Q2.G.01	AG_LND_FRST	Forest area as a proportion of total land area	233	25.84093481	58.68487172	EST	Estonia	1	ANNUAL	PERCENT	52.040576	52.913423	53.125737	52.701109	52.653928	2015	52.653928	Official submission of country data to FAO Global Forest Resources Assessment	C
2017.Q2.G.01	AG_LND_FRST	Forest area as a proportion of total land area	234	-7.122044325	62.21228119	FRO	Faroe Islands	1	ANNUAL	PERCENT	0.059841	0.059841	0.059841	0.059841	0.059841	2015	0.059841	FAO estimates	E
2017.Q2.G.01	AG_LND_FRST	Forest area as a proportion of total land area	238	-58.75246778	-51.74562601	FLK	Falkland Islands (Malvinas)	1	ANNUAL	PERCENT	0	0	0	0	0	2015	0	FAO estimates	E
2017.Q2.G.01	AG_LND_FRST	Forest area as a proportion of total land area	239	-36.90662765	-54.20736749	SGS	South Georgia and the South Sandwich Islands	1	ANNUAL	PERCENT									
2017.Q2.G.01	AG_LND_FRST	Forest area as a proportion of total land area	242	177.9660884	-17.83301566	FJI	Fiji	1	ANNUAL	PERCENT	52.156541	53.66393	54.584565	54.345703	55.675698	2015	55.675698	Official submission of country data to FAO Global Forest Resources Assessment	C
2017.Q2.G.01	AG_LND_FRST	Forest area as a proportion of total land area	246	23.308447	61.91586738	FIN	Finland	1	ANNUAL	PERCENT	71.980915	73.856532	72.862784	73.109576	73.109576	2015	73.109576	Official submission of country data to FAO Global Forest Resources Assessment	C
2017.Q2.G.01	AG_LND_FRST	Forest area as a proportion of total land area	248	19.80945969	60.1544901	ALA	Åland Islands	1	ANNUAL	PERCENT									
2017.Q2.G.01	AG_LND_FRST	Forest area as a proportion of total land area	250	2.457288129	46.62660861	FRA	France	1	ANNUAL	PERCENT	26.35942	27.916956	28.961399	29.989409	31.021071	2015	31.021071	Official submission of country data to FAO Global Forest Resources Assessment	C
2017.Q2.G.01	AG_LND_FRST	Forest area as a proportion of total land area	254	-53.23619089	3.922673437	GUF	French Guiana	1	ANNUAL	PERCENT	99.708809	99.272021	99.10216	98.73817	98.641107	2015	98.641107	Official submission of country data to FAO Global Forest Resources Assessment	C
2017.Q2.G.01	AG_LND_FRST	Forest area as a proportion of total land area	258	-149.4052367	-17.67709294	PYF	French Polynesia	1	ANNUAL	PERCENT	15.027322	28.688525	35.519126	42.349727	42.349727	2015	42.349727	FAO estimates	E
2017.Q2.G.01	AG_LND_FRST	Forest area as a proportion of total land area	260	69.64849091	-49.6068576	ATF	French Southern Territories	1	ANNUAL	PERCENT									
2017.Q2.G.01	AG_LND_FRST	Forest area as a proportion of total land area	262	42.18274707	11.56004161	DJI	Djibouti	1	ANNUAL	PERCENT	0.241629	0.241629	0.241629	0.241629	0.241629	2015	0.241629	FAO estimates	E
2017.Q2.G.01	AG_LND_FRST	Forest area as a proportion of total land area	266	11.78727747	-0.60687619	GAB	Gabon	1	ANNUAL	PERCENT	85.380525	85.380525	85.380525	85.380525	89.261458	2015	89.261458	Official submission of country data to FAO Global Forest Resources Assessment	C
2017.Q2.G.01	AG_LND_FRST	Forest area as a proportion of total land area	268	43.3713615	42.04813028	GEO	Georgia	1	ANNUAL	PERCENT	39.607138	39.726579	39.897827	40.615916	40.615916	2015	40.615916	Official submission of country data to FAO Global Forest Resources Assessment	C
2017.Q2.G.01	AG_LND_FRST	Forest area as a proportion of total land area	270	-15.39944785	13.45295927	GMB	Gambia	1	ANNUAL	PERCENT	44.2	46.1	47.1	48	48.8	2015	48.8	Official submission of country data to FAO Global Forest Resources Assessment	C
2017.Q2.G.01	AG_LND_FRST	Forest area as a proportion of total land area	275	35.25694122	31.94347933	PSE	State of Palestine	1	ANNUAL	PERCENT	1.508306	1.508306	1.523256	1.523256	1.523256	2015	1.523256	FAO estimates	E
