series.release	series.code	series.description	geoAreaCode	X	Y	ISO3CD	geoAreaName	sliceId	Freq	Units	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	last.5.years.mean	latest.year	latest.value	latest.source	latest.nature
2017.Q2.G.01	EN_ATM_CO2	Emissions of carbon dioxide	108	29.89080992	-3.366387428	BDI	Burundi	1	ANNUAL	METONS																				
2017.Q2.G.01	EN_ATM_CO2	Emissions of carbon dioxide	112	28.04940161	53.54193075	BLR	Belarus	1	ANNUAL	METONS	52.11	50.9	50.78	51.37	54.46	55.01	57.23	55.72	58.44	55.91	59.86	56.93	57.78	58.24	57.43	58.048	2014	57.43	IEA/OECD CO2 emissions from fuel combustion, 2016	C
2017.Q2.G.01	EN_ATM_CO2	Emissions of carbon dioxide	116	104.922836	12.71163737	KHM	Cambodia	1	ANNUAL	METONS	1.96	2.15	2.21	2.38	2.38	2.65	2.96	3.59	3.77	4.35	4.62	4.84	5.06	5.18	6.1	5.16	2014	6.1	IEA/OECD CO2 emissions from fuel combustion, 2016	C
2017.Q2.G.01	EN_ATM_CO2	Emissions of carbon dioxide	120	12.7419827	5.692387031	CMR	Cameroon	1	ANNUAL	METONS	2.79	2.71	2.9	2.98	3.01	2.93	3.11	4.12	4.27	4.81	5.05	5.07	5.34	5.85	6.04	5.47	2014	6.04	IEA/OECD CO2 emissions from fuel combustion, 2016	C
2017.Q2.G.01	EN_ATM_CO2	Emissions of carbon dioxide	124	-101.6575058	57.72360191	CAN	Canada	1	ANNUAL	METONS	516.17	508.49	514.35	534.16	526.09	535.08	524.12	556.24	542.85	513.67	525.85	535.83	537.2	549.67	554.8	540.67	2014	554.8	IEA/OECD CO2 emissions from fuel combustion, 2016	C
2017.Q2.G.01	EN_ATM_CO2	Emissions of carbon dioxide	132	-23.63544151	15.07791834	CPV	Cabo Verde	1	ANNUAL	METONS																				
2017.Q2.G.01	EN_ATM_CO2	Emissions of carbon dioxide	136	-81.16740559	19.32266656	CYM	Cayman Islands	1	ANNUAL	METONS																				
2017.Q2.G.01	EN_ATM_CO2	Emissions of carbon dioxide	140	20.93559492	7.003720791	CAF	Central African Republic	1	ANNUAL	METONS																				
2017.Q2.G.01	EN_ATM_CO2	Emissions of carbon dioxide	144	80.70489654	7.614693343	LKA	Sri Lanka	1	ANNUAL	METONS	10.52	10.4	10.97	11.95	12.31	13.39	11.78	12.93	12.12	11.56	12.4	14.67	16.06	13.74	16.74	14.722	2014	16.74	IEA/OECD CO2 emissions from fuel combustion, 2016	C
2017.Q2.G.01	EN_ATM_CO2	Emissions of carbon dioxide	148	18.66618401	15.36279341	TCD	Chad	1	ANNUAL	METONS																				
2017.Q2.G.01	EN_ATM_CO2	Emissions of carbon dioxide	152	-71.23029019	-35.2652885	CHL	Chile	1	ANNUAL	METONS	48.61	46.66	47.41	48.6	53.33	54.42	55.66	63.06	66.51	64.19	68.59	75.3	77.22	82.01	75.81	75.786	2014	75.81	IEA/OECD CO2 emissions from fuel combustion, 2016	C
2017.Q2.G.01	EN_ATM_CO2	Emissions of carbon dioxide	156	104.1403375	32.30955217	CHN	China	1	ANNUAL	METONS	3086.2	3242.7	3497.3	4052.62	4724.22	5358.09	5912.88	6468.57	6608.48	7026.21	7707.05	8465	8620.97	8979.83	9086.96	8571.962	2014	9086.96	IEA/OECD CO2 emissions from fuel combustion, 2016	C
2017.Q2.G.01	EN_ATM_CO2	Emissions of carbon dioxide	162	105.6426067	-10.4882473	CXR	Christmas Island	1	ANNUAL	METONS																				
2017.Q2.G.01	EN_ATM_CO2	Emissions of carbon dioxide	166	96.82633757	-12.18600682	CCK	Cocos (Keeling) Islands	1	ANNUAL	METONS																				
2017.Q2.G.01	EN_ATM_CO2	Emissions of carbon dioxide	170	-73.07446751	3.888209046	COL	Colombia	1	ANNUAL	METONS	54.17	54.63	52.51	51.84	51.97	53.57	53.65	54.76	55.62	59.03	60.21	65.39	65.21	70.87	72.5	66.836	2014	72.5	IEA/OECD CO2 emissions from fuel combustion, 2016	C
