series.release	series.code	series.description	geoAreaCode	X	Y	ISO3CD	geoAreaName	sliceId	Freq	Units	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	last.5.years.mean	latest.year	latest.value	latest.source	latest.nature
2017.Q2.G.01	EN_MAT_FTPRTN	Material footprint	166	96.82633757	-12.18600682	CCK	Cocos (Keeling) Islands	1	ANNUAL	METONS																
2017.Q2.G.01	EN_MAT_FTPRTN	Material footprint	170	-73.07446751	3.888209046	COL	Colombia	1	ANNUAL	METONS	255300000	227900000	2.29e+08	262800000	281900000	3.08e+08	332600000	354800000	367400000	373300000	365700000	358760000	2010	365700000	Environment Live	C
2017.Q2.G.01	EN_MAT_FTPRTN	Material footprint	174	43.34234565	-11.66121732	COM	Comoros	1	ANNUAL	METONS																
2017.Q2.G.01	EN_MAT_FTPRTN	Material footprint	175	45.14015057	-12.82217691	MYT	Mayotte	1	ANNUAL	METONS																
2017.Q2.G.01	EN_MAT_FTPRTN	Material footprint	178	15.22052612	-0.840544119	COG	Congo	1	ANNUAL	METONS	5470000	5838000	6658000	7171000	7648000	7825000	8267000	9734000	10165000	11139000	11016000	10064200	2010	11016000	Environment Live	C
2017.Q2.G.01	EN_MAT_FTPRTN	Material footprint	180	23.65496507	-2.877154732	COD	Democratic Republic of the Congo	1	ANNUAL	METONS	83320000	83360000	82340000	84920000	89720000	94210000	95870000	97450000	101730000	110650000	112790000	103698000	2010	112790000	Environment Live	C
2017.Q2.G.01	EN_MAT_FTPRTN	Material footprint	184	-159.7711391	-21.22696458	COK	Cook Islands	1	ANNUAL	METONS																
2017.Q2.G.01	EN_MAT_FTPRTN	Material footprint	188	-84.19712782	9.970998683	CRI	Costa Rica	1	ANNUAL	METONS	26530000	25500000	25490000	24560000	25390000	27630000	28240000	30810000	31650000	26610000	27100000	28882000	2010	27100000	Environment Live	C
2017.Q2.G.01	EN_MAT_FTPRTN	Material footprint	191	17.95874553	45.45172212	HRV	Croatia	1	ANNUAL	METONS	46060000	51890000	56540000	60660000	66570000	66960000	70470000	70750000	75590000	66110000	56280000	67840000	2010	56280000	Environment Live	C
2017.Q2.G.01	EN_MAT_FTPRTN	Material footprint	192	-79.54460144	22.10030366	CUB	Cuba	1	ANNUAL	METONS	94370000	94770000	95580000	86330000	85620000	76280000	79080000	87160000	88770000	82840000	81300000	83830000	2010	81300000	Environment Live	C
2017.Q2.G.01	EN_MAT_FTPRTN	Material footprint	196	33.22285964	35.05659437	CYP	Cyprus	1	ANNUAL	METONS	24170000	23070000	24860000	24320000	25190000	25930000	26080000	28910000	30010000	25740000	26610000	27470000	2010	26610000	Environment Live	C
2017.Q2.G.01	EN_MAT_FTPRTN	Material footprint	203	15.33151382	49.73913871	CZE	Czechia	1	ANNUAL	METONS	173100000	180300000	193700000	198700000	2.07e+08	2.13e+08	2.12e+08	224700000	233900000	2.29e+08	223200000	224560000	2010	223200000	Environment Live	C
2017.Q2.G.01	EN_MAT_FTPRTN	Material footprint	204	2.339933594	9.65401646	BEN	Benin	1	ANNUAL	METONS	16057000	14682000	14037000	15654000	15660000	19889000	29005000	32565000	32518000	35218000	33997000	32660600	2010	33997000	Environment Live	C
2017.Q2.G.01	EN_MAT_FTPRTN	Material footprint	208	9.326571283	56.03829721	DNK	Denmark	1	ANNUAL	METONS	121900000	116500000	121700000	123500000	129100000	135100000	142100000	153900000	148500000	139600000	132500000	143320000	2010	132500000	Environment Live	C
2017.Q2.G.01	EN_MAT_FTPRTN	Material footprint	212	-61.3493756	15.43391378	DMA	Dominica	1	ANNUAL	METONS																
2017.Q2.G.01	EN_MAT_FTPRTN	Material footprint	214	-70.49847576	18.89832088	DOM	Dominican Republic	1	ANNUAL	METONS	46900000	46760000	47070000	40160000	38440000	43710000	46870000	49270000	48580000	40600000	44310000	45926000	2010	44310000	Environment Live	C
2017.Q2.G.01	EN_MAT_FTPRTN	Material footprint	218	-78.37005241	-1.447785891	ECU	Ecuador	1	ANNUAL	METONS	80260000	89860000	94120000	96190000	102820000	105900000	110110000	115760000	129500000	135840000	133610000	124964000	2010	133610000	Environment Live	C
2017.Q2.G.01	EN_MAT_FTPRTN	Material footprint	222	-88.86862995	13.73603564	SLV	El Salvador	1	ANNUAL	METONS	31490000	30300000	30160000	30670000	29170000	29290000	30870000	32050000	31410000	31190000	31360000	31376000	2010	31360000	Environment Live	C
2017.Q2.G.01	EN_MAT_FTPRTN	Material footprint	226	10.46535826	1.565792376	GNQ	Equatorial Guinea	1	ANNUAL	METONS																
2017.Q2.G.01	EN_MAT_FTPRTN	Material footprint	231	39.63505296	8.631223181	ETH	Ethiopia	1	ANNUAL	METONS	1787000	2351000	2506000	2994000	3334000	3485000	4797000	5391000	5203000	5557000	5710000	5331600	2010	5710000	Environment Live	C
2017.Q2.G.01	EN_MAT_FTPRTN	Material footprint	232	38.11074289	16.12894644	ERI	Eritrea	1	ANNUAL	METONS	4577000	5178000	4262000	4322000	4234000	4941000	4810000	5144800	3468500	3198500	3262700	3976900	2010	3262700	Environment Live	C
2017.Q2.G.01	EN_MAT_FTPRTN	Material footprint	233	25.84093481	58.68487172	EST	Estonia	1	ANNUAL	METONS	17030000	16900000	18960000	23560000	24250000	26010000	27980000	32410000	29500000	25810000	24180000	27976000	2010	24180000	Environment Live	C
2017.Q2.G.01	EN_MAT_FTPRTN	Material footprint	234	-7.122044325	62.21228119	FRO	Faroe Islands	1	ANNUAL	METONS																
2017.Q2.G.01	EN_MAT_FTPRTN	Material footprint	238	-58.75246778	-51.74562601	FLK	Falkland Islands (Malvinas)	1	ANNUAL	METONS																
2017.Q2.G.01	EN_MAT_FTPRTN	Material footprint	239	-36.90662765	-54.20736749	SGS	South Georgia and the South Sandwich Islands	1	ANNUAL	METONS																
2017.Q2.G.01	EN_MAT_FTPRTN	Material footprint	242	177.9660884	-17.83301566	FJI	Fiji	1	ANNUAL	METONS	4307000	4285000	4237000	4959000	5850000	5795000	6421000	6094000	5342000	4892000	4903000	5530400	2010	4903000	Environment Live	C
2017.Q2.G.01	EN_MAT_FTPRTN	Material footprint	246	23.308447	61.91586738	FIN	Finland	1	ANNUAL	METONS	190300000	186700000	191100000	201100000	205700000	204900000	206500000	216100000	205200000	191100000	184800000	200740000	2010	184800000	Environment Live	C
2017.Q2.G.01	EN_MAT_FTPRTN	Material footprint	248	19.80945969	60.1544901	ALA	Åland Islands	1	ANNUAL	METONS																
