geoAreaCode	sliceId	Age	Freq	Units	X	Y	OBJECTID	ISO3CD	geoAreaName	years	value
620	1	15+	ANNUAL	PER_100000_POP	-7.961599811	39.68509315	186	PRT	Portugal	2011-2015	181.59894
624	1	15+	ANNUAL	PER_100000_POP	-14.40182514	12.11760394	89	GNB	Guinea-Bissau	2011-2015	
626	1	15+	ANNUAL	PER_100000_POP	125.9451052	-8.797497247	228	TLS	Timor-Leste	2011-2015	4.238409
630	1	15+	ANNUAL	PER_100000_POP	-66.47591017	18.22753799	182	PRI	Puerto Rico	2011-2015	
634	1	15+	ANNUAL	PER_100000_POP	51.19152467	25.28355379	192	QAT	Qatar	2011-2015	62.391912
638	1	15+	ANNUAL	PER_100000_POP	55.53171398	-21.13183266	193	REU	Réunion	2011-2015	
642	1	15+	ANNUAL	PER_100000_POP	24.98481009	45.83893563	194	ROU	Romania	2011-2015	65.523502
643	1	15+	ANNUAL	PER_100000_POP	99.01404926	61.61899849	195	RUS	Russian Federation	2011-2015	154.67944
646	1	15+	ANNUAL	PER_100000_POP	29.92310194	-1.999842114	196	RWA	Rwanda	2011-2015	4.7698702
652	1	15+	ANNUAL	PER_100000_POP	-62.83173536	17.89513362	29	BLM	Saint Barthélemy	2011-2015	
654	1	15+	ANNUAL	PER_100000_POP	-5.705752501	-15.96503946	202	SHN	Saint Helena	2011-2015	
659	1	15+	ANNUAL	PER_100000_POP	-62.76628613	17.33994219	123	KNA	Saint Kitts and Nevis	2011-2015	85.20535
660	1	15+	ANNUAL	PER_100000_POP	-63.05651612	18.21525315	4	AIA	Anguilla	2011-2015	
662	1	15+	ANNUAL	PER_100000_POP	-60.96529553	13.89405601	130	LCA	Saint Lucia	2011-2015	45.76073
663	1	15+	ANNUAL	PER_100000_POP	-63.04505461	18.0882685	138	MAF	Saint Martin (French Part)	2011-2015	
666	1	15+	ANNUAL	PER_100000_POP	-56.33682442	46.85812735	209	SPM	Saint Pierre and Miquelon	2011-2015	
670	1	15+	ANNUAL	PER_100000_POP	-61.19024321	13.24627968	251	VCT	Saint Vincent and the Grenadines	2011-2015	28.60693
674	1	15+	ANNUAL	PER_100000_POP	12.46329038	43.93841766	207	SMR	San Marino	2011-2015	
678	1	15+	ANNUAL	PER_100000_POP	6.609772265	0.241554875	212	STP	Sao Tome and Principe	2011-2015	22.584762
682	1	15+	ANNUAL	PER_100000_POP	44.54763347	24.12594211	197	SAU	Saudi Arabia	2011-2015	66.277074
686	1	15+	ANNUAL	PER_100000_POP	-14.46636926	14.35920905	199	SEN	Senegal	2011-2015	4.9077782
688	1	15+	ANNUAL	PER_100000_POP	20.805876	44.03145697	210	SRB	Serbia	2011-2015	45.63425
690	1	15+	ANNUAL	PER_100000_POP	55.46561591	-4.678053059	219	SYC	Seychelles	2011-2015	59.369888
694	1	15+	ANNUAL	PER_100000_POP	-11.78306584	8.568604164	205	SLE	Sierra Leone	2011-2015	
702	1	15+	ANNUAL	PER_100000_POP	103.8107883	1.361009155	200	SGP	Singapore	2011-2015	60.628928
703	1	15+	ANNUAL	PER_100000_POP	19.48495604	48.70741446	214	SVK	Slovakia	2011-2015	56.295322
704	1	15+	ANNUAL	PER_100000_POP	105.802499	10.09643079	256	VNM	Viet Nam	2011-2015	21.969332
705	1	15+	ANNUAL	PER_100000_POP	14.82209486	46.11958061	215	SVN	Slovenia	2011-2015	99.657074
706	1	15+	ANNUAL	PER_100000_POP	46.20367477	4.406485729	208	SOM	Somalia	2011-2015	
710	1	15+	ANNUAL	PER_100000_POP	24.67184355	-29.99957544	283	ZAF	South Africa	2011-2015	62.308216
716	1	15+	ANNUAL	PER_100000_POP	29.86909584	-19.00075492	285	ZWE	Zimbabwe	2011-2015	4.8374152
724	1	15+	ANNUAL	PER_100000_POP	-3.554078296	40.39211472	71	ESP	Spain	2011-2015	129.75584
728	1	15+	ANNUAL	PER_100000_POP	30.32618773	7.290839152	211	SSD	South Sudan	2011-2015	0.7498902
732	1	15+	ANNUAL	PER_100000_POP	-13.13515523	24.66265342	70	ESH	Western Sahara	2011-2015	
736	1	15+	ANNUAL	PER_100000_POP	29.95650159	16.02643066	198	SDN	Sudan	2011-2015	
740	1	15+	ANNUAL	PER_100000_POP	-55.90626394	4.132603197	213	SUR	Suriname	2011-2015	43.62436
744	1	15+	ANNUAL	PER_100000_POP	13.38071013	78.82894131	203	SJM	Svalbard and Jan Mayen Islands	2011-2015	
748	1	15+	ANNUAL	PER_100000_POP	31.50149288	-26.56471011	217	SWZ	Swaziland	2011-2015	27.45059
752	1	15+	ANNUAL	PER_100000_POP	14.3775338	60.60103109	216	SWE	Sweden	2011-2015	41.89637
