geoAreaCode	years	Freq	Units	sliceId	X	Y	OBJECTID	ISO3CD	geoAreaName	series	seriesDescription	value	valueType	time_detail	source	Nature
380	2012	ANNUAL	PER_100000_POP	1	12.57022427	42.79917282	113	ITA	Italy	SH_HAP_MORT	Crude death rate attributed to household air pollution, total (deaths per 100,000 population)	0.00000000000000	Float		Global Health Observatory (GHO), World Health Organisation (WHO)	E
384	2012	ANNUAL	PER_100000_POP	1	-5.552690016	7.62211586	46	CIV	Côte d'Ivoire	SH_HAP_MORT	Crude death rate attributed to household air pollution, total (deaths per 100,000 population)	77.50095686937844	Float		Global Health Observatory (GHO), World Health Organisation (WHO)	E
388	2012	ANNUAL	PER_100000_POP	1	-77.31068409	18.15616857	114	JAM	Jamaica	SH_HAP_MORT	Crude death rate attributed to household air pollution, total (deaths per 100,000 population)	20.04211586127542	Float		Global Health Observatory (GHO), World Health Organisation (WHO)	E
392	2012	ANNUAL	PER_100000_POP	1	139.2716103	36.6554539	117	JPN	Japan	SH_HAP_MORT	Crude death rate attributed to household air pollution, total (deaths per 100,000 population)	0.00000000000000	Float		Global Health Observatory (GHO), World Health Organisation (WHO)	E
398	2012	ANNUAL	PER_100000_POP	1	66.65359159	48.01963494	118	KAZ	Kazakhstan	SH_HAP_MORT	Crude death rate attributed to household air pollution, total (deaths per 100,000 population)	36.60061462176722	Float		Global Health Observatory (GHO), World Health Organisation (WHO)	E
400	2012	ANNUAL	PER_100000_POP	1	37.13024774	30.65365973	116	JOR	Jordan	SH_HAP_MORT	Crude death rate attributed to household air pollution, total (deaths per 100,000 population)	0.61228195712296	Float		Global Health Observatory (GHO), World Health Organisation (WHO)	E
404	2012	ANNUAL	PER_100000_POP	1	37.86096816	0.534797278	119	KEN	Kenya	SH_HAP_MORT	Crude death rate attributed to household air pollution, total (deaths per 100,000 population)	50.98582207505562	Float		Global Health Observatory (GHO), World Health Organisation (WHO)	E
408	2012	ANNUAL	PER_100000_POP	1	127.1803633	40.1462645	183	PRK	Democratic People's Republic of Korea	SH_HAP_MORT	Crude death rate attributed to household air pollution, total (deaths per 100,000 population)	199.00161992422315	Float		Global Health Observatory (GHO), World Health Organisation (WHO)	E
410	2012	ANNUAL	PER_100000_POP	1	127.8610254	36.45201023	124	KOR	Republic of Korea	SH_HAP_MORT	Crude death rate attributed to household air pollution, total (deaths per 100,000 population)	0.62347472109789	Float		Global Health Observatory (GHO), World Health Organisation (WHO)	E
414	2012	ANNUAL	PER_100000_POP	1	47.49305029	29.53949468	125	KWT	Kuwait	SH_HAP_MORT	Crude death rate attributed to household air pollution, total (deaths per 100,000 population)	0.00000000000000	Float		Global Health Observatory (GHO), World Health Organisation (WHO)	E
417	2012	ANNUAL	PER_100000_POP	1	74.52324839	41.46204516	120	KGZ	Kyrgyzstan	SH_HAP_MORT	Crude death rate attributed to household air pollution, total (deaths per 100,000 population)	69.85319487642984	Float		Global Health Observatory (GHO), World Health Organisation (WHO)	E
418	2012	ANNUAL	PER_100000_POP	1	101.9901968	20.27482773	126	LAO	Lao People's Democratic Republic	SH_HAP_MORT	Crude death rate attributed to household air pollution, total (deaths per 100,000 population)	92.52658911942727	Float		Global Health Observatory (GHO), World Health Organisation (WHO)	E
422	2012	ANNUAL	PER_100000_POP	1	35.89391711	33.92152458	127	LBN	Lebanon	SH_HAP_MORT	Crude death rate attributed to household air pollution, total (deaths per 100,000 population)	0.73702240222004	Float		Global Health Observatory (GHO), World Health Organisation (WHO)	E
426	2012	ANNUAL	PER_100000_POP	1	28.25362195	-29.58041814	133	LSO	Lesotho	SH_HAP_MORT	Crude death rate attributed to household air pollution, total (deaths per 100,000 population)	63.07307302752864	Float		Global Health Observatory (GHO), World Health Organisation (WHO)	E
428	2012	ANNUAL	PER_100000_POP	1	26.42461876	56.64196636	136	LVA	Latvia	SH_HAP_MORT	Crude death rate attributed to household air pollution, total (deaths per 100,000 population)	27.89742200716702	Float		Global Health Observatory (GHO), World Health Organisation (WHO)	E
