series.release	series.code	series.description	geoAreaCode	X	Y	ISO3CD	geoAreaName	sliceId	Freq	Units	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	last.5.years.mean	latest.year	latest.value	latest.source	latest.nature
2017.Q2.G.01	EN_MAT_DOMCMPT	Domestic material consumption	116	104.922836	12.71163737	KHM	Cambodia	1	ANNUAL	METONS	25028096	25477986	24989024	27388038	27215322	29853222	32728918	34729744	34898972	41449488	93663064	47494037.2	2010	93663064	Environment Live	C
2017.Q2.G.01	EN_MAT_DOMCMPT	Domestic material consumption	120	12.7419827	5.692387031	CMR	Cameroon	1	ANNUAL	METONS	42386892	46952812	47468764	48533632	51518780	53576716	55298360	55032476	57805912	61863292	65078624	59015732.8	2010	65078624	Environment Live	C
2017.Q2.G.01	EN_MAT_DOMCMPT	Domestic material consumption	124	-101.6575058	57.72360191	CAN	Canada	1	ANNUAL	METONS	803817536	785951552	769723840	782053632	798793216	812735936	785683968	754496384	765754048	646600064	760913088	742689510.4	2010	760913088	Environment Live	C
2017.Q2.G.01	EN_MAT_DOMCMPT	Domestic material consumption	132	-23.63544151	15.07791834	CPV	Cabo Verde	1	ANNUAL	METONS	985987.88	1137038.5	1114319.62	1217148.75	1232849.62	1064003.25	1156921.25	1386819.75	1694874.38	1800753.5	1723244.25	1552522.626	2010	1723244.25	Environment Live	C
2017.Q2.G.01	EN_MAT_DOMCMPT	Domestic material consumption	136	-81.16740559	19.32266656	CYM	Cayman Islands	1	ANNUAL	METONS																
2017.Q2.G.01	EN_MAT_DOMCMPT	Domestic material consumption	140	20.93559492	7.003720791	CAF	Central African Republic	1	ANNUAL	METONS	11267119	11336015	11537211	11225575	11735347	11791093	12260903	12825856	12989711	13144466	13359336	12916054.4	2010	13359336	Environment Live	C
2017.Q2.G.01	EN_MAT_DOMCMPT	Domestic material consumption	144	80.70489654	7.614693343	LKA	Sri Lanka	1	ANNUAL	METONS	36018164	55083316	52066140	55474516	53655452	61959840	66872480	69108800	73100912	67499288	74635040	70243304	2010	74635040	Environment Live	C
2017.Q2.G.01	EN_MAT_DOMCMPT	Domestic material consumption	148	18.66618401	15.36279341	TCD	Chad	1	ANNUAL	METONS	21022830	23292758	23605264	25441568	26134158	28518608	28872252	29297198	29878058	30734596	31511180	30058656.8	2010	31511180	Environment Live	C
2017.Q2.G.01	EN_MAT_DOMCMPT	Domestic material consumption	152	-71.23029019	-35.2652885	CHL	Chile	1	ANNUAL	METONS	637331456	649520256	636469312	676344128	714999104	709882880	722183552	750709504	734469824	730353600	737464832	735036262.4	2010	737464832	Environment Live	C
2017.Q2.G.01	EN_MAT_DOMCMPT	Domestic material consumption	156	104.1403375	32.30955217	CHN	China	1	ANNUAL	METONS	9144244224	9771886592	10527994880	11956709376	13492370432	14642280448	16368317440	17872769024	18697312256	21555126272	23590995968	19616904192	2010	23590995968	Environment Live	C
2017.Q2.G.01	EN_MAT_DOMCMPT	Domestic material consumption	162	105.6426067	-10.4882473	CXR	Christmas Island	1	ANNUAL	METONS																
2017.Q2.G.01	EN_MAT_DOMCMPT	Domestic material consumption	166	96.82633757	-12.18600682	CCK	Cocos (Keeling) Islands	1	ANNUAL	METONS																
2017.Q2.G.01	EN_MAT_DOMCMPT	Domestic material consumption	170	-73.07446751	3.888209046	COL	Colombia	1	ANNUAL	METONS	227754800	196829744	188972736	216775808	219880848	243244016	236266704	247476768	262810496	260421136	250195744	251434169.6	2010	250195744	Environment Live	C
2017.Q2.G.01	EN_MAT_DOMCMPT	Domestic material consumption	174	43.34234565	-11.66121732	COM	Comoros	1	ANNUAL	METONS	963361	937554	990854	992678	1073654	1208823	1197864	1100158	1087417	1110057	1176663	1134431.8	2010	1176663	Environment Live	C
2017.Q2.G.01	EN_MAT_DOMCMPT	Domestic material consumption	175	45.14015057	-12.82217691	MYT	Mayotte	1	ANNUAL	METONS																
